DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
18-09-2023,22.2,23.3,22.2,23.3,23.3,23.3,22.2,1601,37292.3,45,23.29,BE
20-09-2023,24.45,24.45,24.45,24.45,24.45,24.45,22.2,343,8386.35,27,24.45,BE
21-09-2023,25.65,25.65,25.65,25.65,25.65,25.65,22.2,389,9977.85,17,25.65,BE
22-09-2023,26.9,26.9,26.9,26.9,26.9,26.9,22.2,359,9657.1,19,26.9,BE
25-09-2023,28.2,28.2,28.2,28.2,28.2,28.2,22.2,171,4822.2,7,28.2,BE
26-09-2023,29.6,29.6,29.6,29.6,29.6,29.6,22.2,122,3611.2,12,29.6,BE
27-09-2023,31.05,31.05,31.05,31.05,31.05,31.05,22.2,57,1769.85,7,31.05,BE
28-09-2023,32.6,32.6,32.6,32.6,32.6,32.6,22.2,306,9975.6,8,32.6,BE
29-09-2023,34.2,34.2,34.2,34.2,34.2,34.2,22.2,250,8550.0,8,34.2,BE
03-10-2023,35.9,35.9,35.9,35.9,35.9,35.9,22.2,47,1687.3,5,35.9,BE
04-10-2023,39.45,39.45,39.45,39.45,39.45,39.45,39.45,86,3392.7,10,39.45,EQ
05-10-2023,43.35,43.35,43.35,43.35,43.35,43.35,39.45,47,2037.45,7,43.35,EQ
06-10-2023,45.5,45.5,45.5,45.5,45.5,45.5,22.2,85,3867.5,8,45.5,BE
09-10-2023,47.75,47.75,47.75,47.75,47.75,47.75,22.2,97,4631.75,13,47.75,BE
10-10-2023,50.1,50.1,50.1,50.1,50.1,50.1,22.2,346,17334.6,8,50.1,BE
11-10-2023,52.6,52.6,52.6,52.6,52.6,52.6,22.2,11,578.6,4,52.6,BE
12-10-2023,55.2,55.2,55.2,55.2,55.2,55.2,22.2,15,828.0,6,55.2,BE
13-10-2023,57.95,57.95,57.95,57.95,57.95,57.95,22.2,115,6664.25,8,57.95,BE
16-10-2023,59.1,59.1,59.1,59.1,59.1,59.1,22.2,180,10638.0,6,59.1,BE
17-10-2023,60.25,60.25,60.25,60.25,60.25,60.25,22.2,45,2711.25,5,60.25,BE
18-10-2023,61.45,61.45,61.45,61.45,61.45,61.45,22.2,52,3195.4,7,61.45,BE
19-10-2023,62.65,62.65,62.65,62.65,62.65,62.65,22.2,39,2443.35,6,62.65,BE
20-10-2023,63.9,63.9,63.9,63.9,63.9,63.9,22.2,12,766.8,3,63.9,BE
23-10-2023,65.15,65.15,65.15,65.15,65.15,65.15,22.2,283,18437.45,4,65.15,BE
25-10-2023,66.45,66.45,66.45,66.45,66.45,66.45,22.2,262,17409.9,5,66.45,BE
26-10-2023,67.75,67.75,67.75,67.75,67.75,67.75,22.2,8,542.0,4,67.75,BE
27-10-2023,69.1,69.1,69.1,69.1,69.1,69.1,22.2,125,8637.5,6,69.1,BE
30-10-2023,70.45,70.45,70.45,70.45,70.45,70.45,22.2,170,11976.5,7,70.45,BE
31-10-2023,71.85,71.85,71.85,71.85,71.85,71.85,22.2,256,18393.6,8,71.85,BE
01-11-2023,73.25,73.25,73.25,73.25,73.25,73.25,22.2,109,7984.25,8,73.25,BE
02-11-2023,74.7,74.7,74.7,74.7,74.7,74.7,22.2,53,3959.1,4,74.7,BE
03-11-2023,76.15,76.15,76.15,76.15,76.15,76.15,22.2,83,6320.45,7,76.15,BE
06-11-2023,77.65,77.65,77.65,77.65,77.65,77.65,22.2,106,8230.9,6,77.65,BE
07-11-2023,79.2,79.2,79.2,79.2,79.2,79.2,22.2,77,6098.4,4,79.2,BE
08-11-2023,80.75,80.75,80.75,80.75,80.75,80.75,22.2,35,2826.25,5,80.75,BE
09-11-2023,82.35,82.35,82.35,82.35,82.35,82.35,22.2,50,4117.5,4,82.35,BE
10-11-2023,83.95,83.95,83.95,83.95,83.95,83.95,22.2,10,839.5,4,83.95,BE
12-11-2023,85.6,85.6,85.6,85.6,85.6,85.6,22.2,31,2653.6,2,85.6,BE
13-11-2023,87.3,87.3,87.3,87.3,87.3,87.3,22.2,37,3230.1,5,87.3,BE
15-11-2023,89.0,89.0,89.0,89.0,89.0,89.0,22.2,47,4183.0,5,89.0,BE
16-11-2023,90.75,90.75,90.75,90.75,90.75,90.75,22.2,64,5808.0,6,90.75,BE
17-11-2023,92.55,92.55,92.55,92.55,92.55,92.55,22.2,211,19528.05,9,92.55,BE
20-11-2023,94.0,94.4,94.0,94.4,94.4,94.4,22.2,105,9908.0,8,94.36,BE
21-11-2023,96.25,96.25,96.25,96.25,96.25,96.25,22.2,89,8566.25,6,96.25,BE
22-11-2023,98.15,98.15,98.15,98.15,98.15,98.15,22.2,1647,161653.05,8,98.15,BE
23-11-2023,100.1,100.1,100.1,100.1,100.1,100.1,22.2,79,7907.9,6,100.1,BE
24-11-2023,102.1,102.1,102.1,102.1,102.1,102.1,22.2,142,14498.2,12,102.1,BE
28-11-2023,104.1,104.1,104.1,104.1,104.1,104.1,22.2,43,4476.3,12,104.1,BE
