DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
14-03-2023,620.0,620.0,560.0,605.2,605.5,620.0,560.0,3414500,2037061149.7,64181,596.59,EQ
15-03-2023,608.9,635.0,591.0,610.55,612.85,635.0,560.0,716897,441603754.55,22258,615.99,EQ
16-03-2023,609.0,634.0,593.35,623.65,622.1,635.0,560.0,447954,275415571.65,16711,614.83,EQ
17-03-2023,630.0,641.0,621.1,625.25,625.0,641.0,560.0,194821,123120139.85,8298,631.97,EQ
20-03-2023,631.85,636.6,612.0,623.35,621.4,641.0,560.0,160904,100345531.1,8571,623.64,EQ
21-03-2023,627.85,639.0,612.2,636.2,638.1,641.0,560.0,167381,105580692.05,7999,630.78,EQ
22-03-2023,640.0,657.85,630.25,641.75,634.5,657.85,560.0,301752,194214644.45,14711,643.62,EQ
23-03-2023,634.8,659.85,632.75,654.95,656.5,659.85,560.0,128918,83398969.85,6535,646.91,EQ
24-03-2023,657.0,685.0,651.0,668.8,674.0,685.0,560.0,251807,169181665.85,11963,671.87,EQ
27-03-2023,670.0,677.65,633.15,660.8,672.0,685.0,560.0,170766,111166571.05,9193,650.99,EQ
28-03-2023,660.1,671.7,648.1,657.95,651.2,685.0,560.0,74930,49453919.9,5985,660.0,EQ
29-03-2023,652.25,660.0,635.0,640.5,644.4,685.0,560.0,103161,66322162.35,7776,642.9,EQ
31-03-2023,644.35,664.85,632.0,658.45,652.35,685.0,560.0,265637,171639385.85,9498,646.14,EQ
03-04-2023,657.95,662.0,647.85,656.0,652.5,685.0,560.0,35723,23398967.35,2939,655.01,EQ
05-04-2023,650.0,670.7,646.85,665.7,666.4,685.0,560.0,53505,35458389.15,4569,662.71,EQ
06-04-2023,666.0,674.65,652.2,664.65,662.4,685.0,560.0,27220,18144673.65,2367,666.59,EQ
10-04-2023,663.7,664.95,644.0,648.05,646.0,685.0,560.0,27851,18240183.6,2169,654.92,EQ
11-04-2023,649.65,661.7,642.7,659.45,655.6,685.0,560.0,52061,33943859.2,4212,652.0,EQ
12-04-2023,659.45,688.4,652.8,659.65,655.2,688.4,560.0,127788,86156254.0,10059,674.21,EQ
13-04-2023,656.0,677.4,656.0,673.9,670.0,688.4,560.0,42833,28639627.7,3459,668.63,EQ
17-04-2023,673.85,674.25,661.0,663.95,661.1,688.4,560.0,35077,23375541.15,2601,666.41,EQ
18-04-2023,659.1,669.6,651.0,656.95,655.65,688.4,560.0,70609,46632960.2,4029,660.44,EQ
19-04-2023,657.35,662.45,646.45,659.2,656.5,688.4,560.0,54376,35707179.4,8892,656.67,EQ
20-04-2023,660.85,664.9,653.0,655.7,654.0,688.4,560.0,20448,13487088.25,2912,659.58,EQ
21-04-2023,655.05,661.0,644.75,652.65,654.95,688.4,560.0,22794,14819874.0,2538,650.17,EQ
24-04-2023,646.5,659.1,644.1,645.7,644.25,688.4,560.0,17973,11709259.35,1735,651.49,EQ
25-04-2023,647.45,666.25,643.0,647.05,647.9,688.4,560.0,31504,20696582.9,2398,656.95,EQ
26-04-2023,647.0,659.0,647.0,650.95,650.2,688.4,560.0,14288,9298649.25,1949,650.8,EQ
27-04-2023,647.55,659.9,647.55,655.35,654.9,688.4,560.0,17200,11272665.95,1989,655.39,EQ
28-04-2023,659.0,661.45,653.3,656.8,655.0,688.4,560.0,19226,12657936.1,1284,658.38,EQ
02-05-2023,658.05,730.0,658.05,714.85,711.95,730.0,560.0,165274,116207681.5,11987,703.12,EQ
03-05-2023,712.0,748.0,712.0,737.85,731.5,748.0,560.0,93362,68273532.95,8831,731.28,EQ
04-05-2023,740.0,758.0,732.9,739.85,737.0,758.0,560.0,36730,27410745.8,4374,746.28,EQ
05-05-2023,739.85,753.9,718.0,730.25,732.0,758.0,560.0,32693,24001324.4,4243,734.14,EQ
08-05-2023,738.0,742.05,715.85,720.75,720.9,758.0,560.0,31764,23060954.45,6163,726.01,EQ
09-05-2023,732.5,734.95,694.6,716.95,715.8,758.0,560.0,42784,30682866.2,7928,717.16,EQ
10-05-2023,726.75,826.45,715.0,793.8,792.55,826.45,560.0,215849,169607618.1,21125,785.77,EQ
11-05-2023,793.6,810.9,772.0,777.75,774.2,826.45,560.0,88565,69690351.5,11806,786.88,EQ
12-05-2023,781.8,844.5,771.95,784.0,778.0,844.5,560.0,253899,204815549.45,21707,806.68,EQ
15-05-2023,785.0,793.75,732.0,739.05,734.0,844.5,560.0,99695,75708545.55,14718,759.4,EQ
16-05-2023,743.1,758.65,718.0,746.6,747.15,844.5,560.0,88325,65045513.45,9273,736.43,EQ
17-05-2023,751.0,762.4,740.45,745.2,743.0,844.5,560.0,54295,40798940.45,8395,751.43,EQ
18-05-2023,748.0,762.45,732.25,741.3,735.0,844.5,560.0,32230,24214766.65,3883,751.31,EQ
19-05-2023,730.05,748.7,712.3,717.55,719.0,844.5,560.0,99279,72315833.55,9018,728.41,EQ
22-05-2023,719.0,753.4,687.25,745.35,745.0,844.5,560.0,91664,66154037.65,13181,721.7,EQ
23-05-2023,745.35,773.0,745.35,768.4,770.0,844.5,560.0,130654,99945937.45,12589,764.97,EQ
24-05-2023,776.05,840.0,757.5,825.35,834.05,844.5,560.0,176414,141642137.4,13128,802.9,EQ
25-05-2023,820.05,924.25,820.0,826.3,829.65,924.25,560.0,625659,548083911.6,49860,876.01,EQ
26-05-2023,830.0,850.0,820.9,830.05,830.0,924.25,560.0,132030,109897222.85,8369,832.37,EQ
29-05-2023,830.05,850.95,813.6,831.8,832.9,924.25,560.0,86367,71805241.1,8346,831.4,EQ
30-05-2023,837.0,842.95,822.35,825.5,822.5,924.25,560.0,58951,49074994.5,7234,832.47,EQ
31-05-2023,829.7,858.9,825.55,842.4,844.75,924.25,560.0,103829,87895820.25,11431,846.54,EQ
01-06-2023,848.4,857.85,838.85,846.55,845.2,924.25,560.0,63014,53506925.7,5231,849.13,EQ
02-06-2023,855.85,890.0,844.0,850.55,850.0,924.25,560.0,162266,139582366.3,12064,860.21,EQ
05-06-2023,856.7,863.35,820.0,825.95,827.0,924.25,560.0,61848,52107254.3,4249,842.51,EQ
06-06-2023,845.7,846.6,813.05,819.8,820.2,924.25,560.0,33699,27747931.05,3056,823.41,EQ
07-06-2023,820.0,832.25,806.45,814.55,815.0,924.25,560.0,74213,60618471.65,5844,816.82,EQ
08-06-2023,814.5,822.2,798.0,802.65,801.35,924.25,560.0,59443,48238582.15,2743,811.51,EQ
09-06-2023,809.85,849.95,809.0,824.4,829.25,924.25,560.0,66100,55177901.0,6800,834.76,EQ
12-06-2023,833.85,855.0,823.0,825.65,827.0,924.25,560.0,94303,79375135.1,7416,841.7,EQ
13-06-2023,832.9,862.85,828.45,851.35,840.0,924.25,560.0,140476,119236973.2,5997,848.81,EQ
14-06-2023,851.35,894.95,851.0,864.0,867.9,924.25,560.0,211417,184692195.2,19508,873.59,EQ
15-06-2023,870.0,879.95,844.05,853.15,851.5,924.25,560.0,85378,72758564.8,3233,852.19,EQ
16-06-2023,852.0,864.95,836.0,839.35,840.0,924.25,560.0,52129,44284093.85,3109,849.51,EQ
19-06-2023,850.8,850.8,820.3,824.45,822.95,924.25,560.0,31930,26523918.75,3254,830.69,EQ
20-06-2023,820.05,826.0,807.8,815.25,814.6,924.25,560.0,28675,23425759.45,2162,816.94,EQ
21-06-2023,815.5,843.95,810.25,838.25,836.0,924.25,560.0,50295,41584970.75,3815,826.82,EQ
22-06-2023,845.25,857.5,837.0,840.1,841.25,924.25,560.0,64137,54175874.0,5454,844.69,EQ
23-06-2023,843.3,874.0,839.25,845.0,846.5,924.25,560.0,50896,43341170.35,5694,851.56,EQ
26-06-2023,849.0,867.4,844.3,853.8,854.0,924.25,560.0,18507,15828061.05,2995,855.25,EQ
27-06-2023,856.6,959.5,856.6,937.85,938.15,959.5,560.0,362082,336607541.9,28368,929.64,EQ
28-06-2023,936.05,965.55,902.1,910.9,918.8,965.55,560.0,94079,88134791.25,9728,936.82,EQ
30-06-2023,919.8,940.0,911.2,923.4,915.05,965.55,560.0,57978,53823042.4,10400,928.34,EQ
03-07-2023,933.4,1001.95,927.4,959.6,961.0,1001.95,560.0,171562,167137861.6,18987,974.21,EQ
04-07-2023,964.8,983.0,928.05,932.9,933.45,1001.95,560.0,51371,48923902.8,5700,952.36,EQ
05-07-2023,940.9,954.15,922.35,933.9,929.9,1001.95,560.0,51515,48276558.9,6088,937.14,EQ
06-07-2023,938.4,976.65,930.05,947.2,949.9,1001.95,560.0,58275,55403202.6,6413,950.72,EQ
07-07-2023,956.0,965.0,928.05,933.55,929.0,1001.95,560.0,56568,53795158.2,6592,950.98,EQ
10-07-2023,936.8,968.8,926.45,940.9,945.0,1001.95,560.0,64151,60819807.65,8305,948.07,EQ
11-07-2023,945.8,955.3,915.05,919.3,915.1,1001.95,560.0,45051,41805076.25,8309,927.95,EQ
12-07-2023,928.9,934.15,912.0,920.05,915.0,1001.95,560.0,33408,30833634.5,4786,922.94,EQ
13-07-2023,929.85,929.85,903.05,912.75,917.0,1001.95,560.0,20530,18866854.75,3467,918.99,EQ
14-07-2023,919.95,924.8,901.55,908.25,915.0,1001.95,560.0,22940,20933979.5,3730,912.55,EQ
17-07-2023,917.3,944.75,896.0,901.4,901.0,1001.95,560.0,57231,52749301.2,7365,921.69,EQ
18-07-2023,906.7,909.85,870.0,874.45,873.6,1001.95,560.0,58798,52031127.95,6955,884.91,EQ
19-07-2023,879.9,895.7,879.0,885.8,885.7,1001.95,560.0,41324,36738964.8,4905,889.05,EQ
20-07-2023,893.9,919.8,876.0,907.4,918.0,1001.95,560.0,49741,44420499.4,6972,893.04,EQ
21-07-2023,921.0,930.3,887.0,892.05,887.0,1001.95,560.0,57293,51562312.8,8561,899.98,EQ
24-07-2023,900.0,930.0,877.05,914.55,912.35,1001.95,560.0,55182,49477494.7,5796,896.62,EQ
25-07-2023,924.5,947.95,917.85,924.25,927.0,1001.95,560.0,61720,57642114.95,11462,933.93,EQ
26-07-2023,933.0,942.3,905.3,912.05,912.0,1001.95,560.0,32000,29604209.75,6095,925.13,EQ
27-07-2023,918.0,918.0,890.0,898.7,900.0,1001.95,560.0,30852,27777424.15,5540,900.34,EQ
28-07-2023,896.3,900.0,884.2,894.3,894.0,1001.95,560.0,28342,25233445.45,4530,890.32,EQ
31-07-2023,909.7,928.45,877.1,889.9,895.5,1001.95,560.0,57188,51700656.15,6583,904.05,EQ
01-08-2023,897.95,923.8,895.0,909.4,910.0,1001.95,560.0,76915,70090033.95,6797,911.27,EQ
02-08-2023,909.5,928.0,886.35,908.3,907.0,1001.95,560.0,38296,34788777.0,5251,908.42,EQ
03-08-2023,905.0,946.7,885.65,891.2,892.0,1001.95,560.0,75884,69212776.8,9510,912.09,EQ
04-08-2023,899.0,912.0,882.25,886.8,887.95,1001.95,560.0,80302,71996221.5,8929,896.57,EQ
07-08-2023,900.1,914.95,887.1,912.2,908.95,1001.95,560.0,46994,42382582.6,5376,901.87,EQ
08-08-2023,912.2,934.75,905.3,924.1,925.0,1001.95,560.0,37464,34473601.15,5349,920.18,EQ
09-08-2023,930.45,943.95,812.7,839.85,845.0,1001.95,560.0,214750,184755309.85,14723,860.33,EQ
10-08-2023,852.0,852.0,761.6,797.2,793.0,1001.95,560.0,227587,179705682.75,30418,789.61,EQ
11-08-2023,809.0,906.05,799.05,890.3,901.0,1001.95,560.0,379223,334194820.9,35232,881.26,EQ
14-08-2023,900.0,910.0,870.55,882.7,872.25,1001.95,560.0,71010,63178849.55,8908,889.72,EQ
16-08-2023,882.7,893.0,872.6,884.4,875.35,1001.95,560.0,27275,24014220.75,3655,880.45,EQ
17-08-2023,888.0,988.45,880.5,926.6,924.0,1001.95,560.0,200007,187405915.0,25106,937.0,EQ
18-08-2023,932.25,938.8,910.2,912.85,911.95,1001.95,560.0,35425,32638620.95,3585,921.34,EQ
21-08-2023,918.85,923.7,889.6,893.1,890.0,1001.95,560.0,45676,41366829.9,8606,905.66,EQ
22-08-2023,899.65,928.6,888.0,902.05,900.6,1001.95,560.0,51823,47352312.75,7004,913.73,EQ
23-08-2023,902.05,948.15,901.0,907.9,911.05,1001.95,560.0,56067,51851655.85,8377,924.82,EQ
24-08-2023,928.7,935.0,898.1,907.2,910.95,1001.95,560.0,32268,29572389.5,5654,916.46,EQ
25-08-2023,910.0,929.8,887.5,895.95,897.8,1001.95,560.0,39144,35441347.95,4855,905.41,EQ
28-08-2023,904.85,906.85,876.1,884.8,878.75,1001.95,560.0,72366,64519958.05,9068,891.58,EQ
29-08-2023,884.0,909.4,881.35,903.3,907.0,1001.95,560.0,28266,25237814.05,3813,892.87,EQ
30-08-2023,909.8,917.0,903.95,911.6,910.0,1001.95,560.0,15074,13713907.0,1967,909.77,EQ
31-08-2023,919.9,920.45,897.3,917.3,918.9,1001.95,560.0,34675,31662026.6,5441,913.11,EQ
01-09-2023,925.0,960.0,920.1,938.05,937.75,1001.95,560.0,53403,50270963.1,6624,941.35,EQ
04-09-2023,945.0,951.75,925.05,932.25,926.6,1001.95,560.0,17135,16084066.55,3086,938.67,EQ
05-09-2023,933.1,958.1,925.0,947.55,942.0,1001.95,560.0,28631,26946157.55,4369,941.15,EQ
06-09-2023,954.75,967.9,947.7,965.3,967.0,1001.95,560.0,47024,45236615.2,6355,961.99,EQ
07-09-2023,967.95,1045.0,960.35,1000.75,999.0,1045.0,560.0,148022,149185651.15,17406,1007.86,EQ
08-09-2023,1008.0,1038.9,988.0,991.05,991.0,1045.0,560.0,46734,47077237.8,6708,1007.34,EQ
11-09-2023,999.0,1002.65,970.7,986.25,990.0,1045.0,560.0,29575,29130253.4,3674,984.96,EQ
12-09-2023,986.95,995.95,890.0,937.75,955.0,1045.0,560.0,51661,48571366.5,8705,940.19,EQ
13-09-2023,937.5,951.45,915.05,945.2,949.8,1045.0,560.0,25305,23704019.8,5211,936.73,EQ
14-09-2023,958.0,979.2,936.0,968.65,967.0,1045.0,560.0,42546,40873867.5,6488,960.7,EQ
15-09-2023,978.65,991.8,949.2,957.45,967.8,1045.0,560.0,30217,29350838.7,4855,971.34,EQ
18-09-2023,964.9,980.0,950.25,960.5,953.0,1045.0,560.0,18854,18157425.35,3363,963.05,EQ
20-09-2023,964.6,973.65,940.1,959.45,961.0,1045.0,560.0,42276,40452970.2,5908,956.88,EQ
21-09-2023,949.0,957.75,934.0,941.85,940.5,1045.0,560.0,26579,25116120.2,5538,944.96,EQ
22-09-2023,950.0,950.0,930.7,935.9,935.0,1045.0,560.0,24217,22695422.6,4078,937.17,EQ
25-09-2023,944.0,962.25,938.05,949.15,944.1,1045.0,560.0,35635,33741990.1,5406,946.88,EQ
26-09-2023,950.0,1096.4,950.0,1048.95,1050.0,1096.4,560.0,561179,587795045.35,57102,1047.43,EQ
27-09-2023,1050.0,1074.9,1020.4,1047.25,1058.0,1096.4,560.0,115159,119633384.1,12124,1038.85,EQ
28-09-2023,1047.25,1072.95,1011.25,1033.15,1032.9,1096.4,560.0,56839,59264482.85,9037,1042.67,EQ
29-09-2023,1047.0,1053.15,1020.0,1041.25,1020.0,1096.4,560.0,29280,30313473.95,5392,1035.3,EQ
03-10-2023,1053.0,1053.0,1021.0,1038.45,1038.15,1096.4,560.0,18401,19080261.2,3309,1036.91,EQ
04-10-2023,1038.45,1070.0,1011.05,1013.45,1014.0,1096.4,560.0,44050,45539583.25,6883,1033.82,EQ
05-10-2023,1027.0,1085.0,1015.3,1047.9,1049.9,1096.4,560.0,86516,91377139.25,13500,1056.19,EQ
06-10-2023,1057.9,1079.5,1017.05,1068.5,1050.0,1096.4,560.0,53182,56070275.95,7321,1054.31,EQ
09-10-2023,1040.1,1060.1,1025.0,1033.45,1040.8,1096.4,560.0,28657,29803693.2,4149,1040.01,EQ
10-10-2023,1047.0,1058.9,1030.4,1033.95,1032.0,1096.4,560.0,19234,20074621.2,3294,1043.7,EQ
11-10-2023,1052.0,1063.0,1037.35,1040.4,1040.0,1096.4,560.0,31304,32872573.4,5076,1050.11,EQ
12-10-2023,1040.4,1061.55,1035.8,1056.95,1054.0,1096.4,560.0,26373,27694035.15,3741,1050.09,EQ
13-10-2023,1054.0,1150.0,1044.95,1091.8,1086.0,1150.0,560.0,117178,129285261.35,14089,1103.32,EQ
16-10-2023,1107.0,1140.35,1095.05,1122.75,1107.9,1150.0,560.0,54726,61421125.25,7715,1122.34,EQ
17-10-2023,1122.8,1134.95,1098.4,1113.35,1114.3,1150.0,560.0,24095,26953952.75,4261,1118.65,EQ
18-10-2023,1128.6,1140.0,1073.0,1078.1,1074.1,1150.0,560.0,1145551,1239849849.25,15462,1082.32,EQ
19-10-2023,1086.4,1125.0,1080.0,1096.2,1098.0,1150.0,560.0,64352,70947838.45,9781,1102.5,EQ
20-10-2023,1102.0,1120.4,1081.4,1087.45,1086.0,1150.0,560.0,32163,35358378.0,6004,1099.35,EQ
