DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
12-03-2003,155.0,183.9,155.0,176.25,176.0,0.0,0.0,1233452,219939925.75,,178.31,EQ
13-03-2003,174.0,186.65,174.0,180.0,180.0,183.9,155.0,1177678,213113293.6,,180.96,EQ
17-03-2003,180.0,180.0,167.65,171.0,173.5,186.65,155.0,176654,30922069.45,,175.04,EQ
19-03-2003,174.0,178.9,172.7,176.75,175.0,186.65,155.0,106862,18742030.7,,175.39,EQ
20-03-2003,175.8,191.2,175.0,183.55,182.8,186.65,155.0,433277,79905288.3,,184.42,EQ
21-03-2003,183.0,191.8,183.0,185.55,187.0,191.2,155.0,227349,42517829.95,,187.02,EQ
22-03-2003,188.0,195.0,187.1,193.2,194.0,191.8,155.0,148001,28294084.95,,191.17,EQ
24-03-2003,195.0,205.8,191.5,201.45,198.6,195.0,155.0,790914,158979528.0,,201.01,EQ
25-03-2003,200.4,222.0,196.8,218.0,216.85,205.8,155.0,1583444,336933351.4,,212.79,EQ
26-03-2003,218.8,231.8,217.0,219.7,218.9,222.0,155.0,1656273,374358092.1,,226.02,EQ
27-03-2003,220.05,221.6,205.0,207.4,208.15,231.8,155.0,1031428,218468148.75,,211.81,EQ
28-03-2003,205.0,240.85,205.0,234.45,231.9,231.8,155.0,2680172,604669429.2,,225.61,EQ
31-03-2003,228.0,234.75,217.0,219.15,221.1,240.85,155.0,1526826,346551514.3,,226.98,EQ
01-04-2003,224.0,238.3,220.95,230.75,229.95,240.85,155.0,1234990,287071694.7,,232.45,EQ
02-04-2003,233.9,237.95,230.5,235.8,236.65,240.85,155.0,585978,137601841.2,,234.82,EQ
03-04-2003,238.1,243.7,235.0,236.35,235.1,240.85,155.0,596968,142700330.15,,239.04,EQ
04-04-2003,236.1,238.4,233.0,233.65,234.0,243.7,155.0,332725,78245155.05,,235.16,EQ
07-04-2003,235.0,239.25,234.35,236.2,237.25,243.7,155.0,273976,64951379.0,,237.07,EQ
08-04-2003,235.0,260.8,235.0,250.5,250.4,243.7,155.0,1294743,326135583.65,,251.89,EQ
09-04-2003,251.05,263.85,251.05,255.65,255.95,260.8,155.0,701154,181456845.95,,258.8,EQ
10-04-2003,258.0,258.0,242.0,243.8,242.0,263.85,155.0,250513,62669914.05,,250.17,EQ
11-04-2003,244.5,253.9,241.0,248.1,251.5,263.85,155.0,136630,33845043.8,,247.71,EQ
15-04-2003,254.0,275.0,252.55,256.15,256.0,263.85,155.0,272453,71342329.05,,261.85,EQ
16-04-2003,259.5,262.0,249.15,251.95,252.25,275.0,155.0,165178,42131496.9,,255.07,EQ
17-04-2003,254.0,255.0,243.5,246.05,248.0,275.0,155.0,220243,54795891.05,,248.8,EQ
21-04-2003,250.0,253.75,244.25,245.35,245.35,275.0,155.0,104187,25809094.25,,247.72,EQ
22-04-2003,246.7,258.5,240.2,256.3,256.8,275.0,155.0,537677,135065903.85,,251.2,EQ
23-04-2003,259.7,263.85,254.0,259.85,260.0,275.0,155.0,420333,109340852.65,,260.13,EQ
24-04-2003,263.0,263.0,255.15,256.45,256.8,275.0,155.0,150244,38843574.95,,258.54,EQ
25-04-2003,257.65,259.8,248.0,255.1,255.1,275.0,155.0,127515,32747400.7,,256.81,EQ
28-04-2003,256.0,269.3,251.5,265.85,269.0,275.0,155.0,316043,82788487.85,,261.95,EQ
29-04-2003,267.0,283.3,267.0,277.65,279.5,275.0,155.0,952003,263869236.65,,277.17,EQ
30-04-2003,275.5,295.0,275.0,290.25,294.0,283.3,155.0,698681,199757749.45,,285.91,EQ
02-05-2003,295.9,301.4,286.15,289.6,290.0,295.0,155.0,884071,259871529.8,,293.95,EQ
05-05-2003,292.75,295.8,273.1,278.65,279.95,301.4,155.0,464233,132826008.1,,286.12,EQ
06-05-2003,281.9,293.7,280.0,288.2,287.0,301.4,155.0,490192,140766785.4,,287.17,EQ
07-05-2003,292.0,295.7,285.05,286.6,287.0,301.4,155.0,428378,124638565.55,,290.95,EQ
08-05-2003,285.0,289.4,278.3,279.85,280.5,301.4,155.0,256066,72513724.9,,283.18,EQ
09-05-2003,281.9,285.7,277.2,281.75,279.55,301.4,155.0,305672,86242299.3,,282.14,EQ
12-05-2003,285.0,294.0,282.05,289.05,289.55,301.4,155.0,355352,103186436.2,,290.38,EQ
13-05-2003,291.0,293.7,281.9,283.6,284.0,301.4,155.0,253599,72995844.7,,287.84,EQ
14-05-2003,285.65,288.8,283.5,285.4,285.65,301.4,155.0,177650,50821016.25,,286.07,EQ
15-05-2003,278.0,319.95,252.0,316.7,318.05,301.4,155.0,1371793,419659015.5,,305.92,EQ
16-05-2003,320.5,334.7,317.0,321.65,319.0,319.95,155.0,1024383,336269846.45,,328.27,EQ
19-05-2003,320.15,326.7,307.1,311.05,308.25,334.7,155.0,406096,129033143.65,,317.74,EQ
20-05-2003,309.65,335.0,309.0,331.55,334.0,334.7,155.0,891406,291597800.0,,327.12,EQ
21-05-2003,333.0,339.7,318.1,320.8,322.0,335.0,155.0,519096,170893321.15,,329.21,EQ
22-05-2003,325.0,335.0,316.0,331.1,331.0,339.7,155.0,807994,264377423.15,,327.2,EQ
23-05-2003,338.0,369.0,324.55,361.35,361.0,339.7,155.0,1747877,609723604.0,,348.84,EQ
26-05-2003,365.0,376.75,351.0,369.95,369.0,369.0,155.0,733394,271517367.95,,370.22,EQ
27-05-2003,370.5,374.7,364.0,366.55,366.5,376.75,155.0,406814,150462160.65,,369.85,EQ
28-05-2003,366.1,384.0,364.25,367.9,368.9,376.75,155.0,620142,231267018.65,,372.93,EQ
29-05-2003,370.0,376.35,365.65,367.6,365.8,384.0,155.0,267503,99380882.35,,371.51,EQ
30-05-2003,368.0,386.0,368.0,374.2,373.1,384.0,155.0,491858,186017972.35,,378.19,EQ
02-06-2003,377.4,386.45,372.65,377.9,378.75,386.0,155.0,310845,118308502.7,,380.6,EQ
03-06-2003,376.0,386.0,376.0,378.55,377.75,386.45,155.0,233063,88833561.9,,381.16,EQ
04-06-2003,378.0,399.75,378.0,396.65,397.05,386.45,155.0,674253,263583783.55,,390.93,EQ
05-06-2003,398.5,404.0,388.9,392.25,391.5,399.75,155.0,231452,91800233.25,,396.63,EQ
06-06-2003,400.0,400.0,386.55,392.25,390.3,404.0,155.0,168702,66048576.05,,391.51,EQ
09-06-2003,393.65,412.8,390.0,408.6,408.7,404.0,155.0,408059,165100283.3,,404.6,EQ
10-06-2003,408.0,408.4,388.05,394.1,390.05,412.8,155.0,150898,60715768.2,,402.36,EQ
11-06-2003,396.65,401.7,381.25,390.6,390.0,412.8,155.0,212180,83017348.55,,391.26,EQ
12-06-2003,393.0,398.85,382.1,386.3,386.0,412.8,155.0,132563,51832306.45,,391.0,EQ
13-06-2003,388.0,396.4,384.35,386.9,387.0,412.8,155.0,132693,51741011.4,,389.93,EQ
16-06-2003,385.0,408.3,385.0,405.05,405.75,412.8,155.0,536435,214514938.95,,399.89,EQ
17-06-2003,409.7,421.4,405.0,414.05,411.15,412.8,155.0,498155,207223072.65,,415.98,EQ
18-06-2003,411.25,437.8,411.25,432.4,435.35,421.4,155.0,532769,227327947.2,,426.69,EQ
19-06-2003,435.0,442.0,426.0,428.65,428.0,437.8,155.0,394618,171554974.95,,434.74,EQ
20-06-2003,430.0,438.95,425.0,436.1,437.5,442.0,155.0,185127,80129381.1,,432.83,EQ
23-06-2003,439.65,446.95,435.0,440.2,440.0,442.0,155.0,253701,112157248.35,,442.08,EQ
24-06-2003,430.0,442.25,430.0,436.9,435.5,446.95,155.0,212608,93116999.8,,437.98,EQ
25-06-2003,441.6,455.0,437.1,449.45,452.3,446.95,155.0,207627,92555201.35,,445.78,EQ
26-06-2003,452.0,474.0,451.0,467.1,472.5,455.0,155.0,246710,113636211.65,,460.61,EQ
27-06-2003,476.65,499.5,470.0,496.4,493.5,474.0,155.0,552340,268275662.4,,485.71,EQ
30-06-2003,497.65,581.5,497.65,556.45,552.0,499.5,155.0,1577684,869119503.45,,550.88,EQ
01-07-2003,563.0,571.4,556.0,560.5,558.0,581.5,155.0,598401,337209224.95,,563.52,EQ
02-07-2003,569.0,607.7,561.15,564.1,563.1,581.5,155.0,935703,544391433.25,,581.8,EQ
03-07-2003,578.6,582.1,560.2,568.4,567.4,607.7,155.0,404087,231287388.25,,572.37,EQ
04-07-2003,579.8,580.0,565.1,568.75,570.0,607.7,155.0,348456,199266409.25,,571.86,EQ
07-07-2003,577.8,577.8,548.4,554.45,553.0,607.7,155.0,235021,132414883.0,,563.42,EQ
08-07-2003,560.0,566.2,503.1,531.3,534.9,607.7,155.0,698498,372706213.9,,533.58,EQ
09-07-2003,519.25,549.0,515.15,526.25,524.1,607.7,155.0,535466,286080402.85,,534.26,EQ
10-07-2003,530.0,544.75,511.1,524.85,523.1,607.7,155.0,451007,238643691.8,,529.14,EQ
11-07-2003,527.65,547.0,524.0,527.9,529.0,607.7,155.0,250848,134236342.3,,535.13,EQ
14-07-2003,532.0,553.7,531.0,536.35,537.9,607.7,155.0,241207,130630128.85,,541.57,EQ
15-07-2003,543.4,543.4,512.1,518.3,520.0,607.7,155.0,220298,115622738.15,,524.85,EQ
16-07-2003,523.0,525.7,510.1,513.55,511.05,607.7,155.0,223318,115645248.65,,517.85,EQ
17-07-2003,515.0,536.9,514.0,521.5,520.0,607.7,155.0,324524,171074993.35,,527.16,EQ
18-07-2003,521.65,524.7,515.0,519.35,521.95,607.7,155.0,119169,61967762.3,,520.0,EQ
21-07-2003,524.65,526.0,499.0,502.65,501.0,607.7,155.0,134756,68980210.9,,511.89,EQ
22-07-2003,514.0,526.45,500.0,522.7,525.0,607.7,155.0,289952,149096445.0,,514.21,EQ
23-07-2003,528.65,533.7,504.0,507.3,506.65,607.7,155.0,242947,126105826.35,,519.07,EQ
24-07-2003,511.65,532.8,511.0,526.3,528.0,607.7,155.0,237314,123704131.15,,521.27,EQ
25-07-2003,528.0,528.0,518.0,525.65,527.0,607.7,155.0,127890,67056735.5,,524.33,EQ
28-07-2003,530.0,578.25,529.0,568.25,570.0,607.7,155.0,633478,356792021.55,,563.23,EQ
29-07-2003,575.0,577.7,546.5,570.25,569.0,607.7,155.0,550641,311021911.55,,564.84,EQ
30-07-2003,576.0,601.5,561.0,580.9,580.0,607.7,155.0,454357,267130195.4,,587.93,EQ
31-07-2003,585.0,592.75,560.0,563.95,563.8,607.7,155.0,200975,115944383.75,,576.91,EQ
01-08-2003,562.0,571.65,551.35,557.2,561.0,607.7,155.0,191189,107103345.8,,560.2,EQ
04-08-2003,562.65,565.8,552.5,557.35,561.1,607.7,155.0,113415,63502491.3,,559.91,EQ
05-08-2003,564.0,582.0,554.1,557.2,556.8,607.7,155.0,198430,112863937.0,,568.78,EQ
06-08-2003,556.0,566.8,538.25,543.05,541.0,607.7,155.0,147905,81556395.85,,551.41,EQ
07-08-2003,545.5,553.45,540.0,544.85,546.05,607.7,155.0,156626,85623862.3,,546.68,EQ
08-08-2003,546.1,567.0,546.1,562.5,567.0,607.7,155.0,150927,83979346.1,,556.42,EQ
11-08-2003,559.0,575.9,550.0,569.3,569.1,607.7,155.0,115551,65505216.0,,566.89,EQ
12-08-2003,573.9,578.8,543.25,548.35,551.0,607.7,155.0,180063,100425718.2,,557.73,EQ
13-08-2003,558.0,564.65,546.0,559.4,563.0,607.7,155.0,116240,64541632.6,,555.24,EQ
14-08-2003,563.0,570.0,560.0,564.45,566.0,607.7,155.0,103420,58359325.5,,564.29,EQ
18-08-2003,570.0,580.0,558.0,575.65,580.0,607.7,155.0,106295,60807208.05,,572.06,EQ
19-08-2003,580.9,580.9,565.5,570.9,570.55,607.7,155.0,65678,37661695.25,,573.43,EQ
20-08-2003,574.9,584.0,574.0,580.5,581.65,607.7,155.0,86389,50048319.25,,579.34,EQ
21-08-2003,584.0,616.0,584.0,603.1,600.0,607.7,155.0,210207,127053076.15,,604.42,EQ
22-08-2003,612.8,612.8,591.0,600.2,603.0,616.0,155.0,97573,58827461.55,,602.91,EQ
25-08-2003,610.0,632.9,580.0,602.2,602.5,616.0,155.0,199224,121916461.6,,611.96,EQ
26-08-2003,600.0,662.45,600.0,649.25,660.0,632.9,155.0,197398,125130138.45,,633.9,EQ
27-08-2003,660.0,683.0,660.0,670.2,670.0,662.45,155.0,127751,86120156.95,,674.13,EQ
28-08-2003,679.0,684.0,643.15,647.95,647.0,683.0,155.0,96858,64096707.95,,661.76,EQ
29-08-2003,660.0,710.0,650.0,700.4,700.6,684.0,155.0,195853,133704829.2,,682.68,EQ
01-09-2003,708.65,744.9,685.0,702.4,698.05,710.0,155.0,196823,141872776.8,,720.81,EQ
02-09-2003,704.0,739.0,703.0,732.45,734.0,744.9,155.0,220572,159431917.05,,722.81,EQ
03-09-2003,747.8,772.35,725.0,750.45,765.0,744.9,155.0,310775,233908866.3,,752.66,EQ
04-09-2003,757.65,825.5,753.0,823.85,825.5,772.35,155.0,436994,347550815.55,,795.32,EQ
05-09-2003,835.0,906.25,830.0,893.2,900.0,825.5,155.0,869709,771531446.15,,887.11,EQ
08-09-2003,906.0,968.0,906.0,938.95,933.0,906.25,155.0,547378,517888735.35,,946.13,EQ
09-09-2003,945.0,970.0,896.1,912.85,897.0,968.0,155.0,664434,618010865.95,,930.13,EQ
10-09-2003,921.15,945.0,860.0,913.45,940.0,970.0,155.0,433414,388820493.95,,897.11,EQ
11-09-2003,910.0,959.0,892.2,907.95,899.0,970.0,155.0,348172,324091269.45,,930.84,EQ
12-09-2003,915.8,930.0,855.1,869.9,857.0,970.0,155.0,331202,296603170.4,,895.54,EQ
15-09-2003,872.0,888.9,800.1,805.85,803.7,970.0,155.0,308638,257500439.0,,834.31,EQ
16-09-2003,818.0,844.0,790.0,824.05,820.25,970.0,155.0,346448,285063298.75,,822.82,EQ
17-09-2003,844.4,860.0,825.3,831.7,825.3,970.0,155.0,392332,330250905.45,,841.76,EQ
18-09-2003,837.0,847.0,810.0,818.35,828.9,970.0,155.0,178931,147016891.55,,821.64,EQ
19-09-2003,824.0,838.65,778.4,806.1,809.0,970.0,155.0,282190,227719453.6,,806.97,EQ
22-09-2003,818.9,827.0,762.1,774.9,764.1,970.0,155.0,207470,164777831.55,,794.22,EQ
23-09-2003,773.65,799.5,755.0,792.9,794.1,970.0,155.0,308400,238866271.8,,774.53,EQ
24-09-2003,807.0,829.0,796.2,803.0,804.0,970.0,155.0,329896,266500641.45,,807.83,EQ
25-09-2003,803.7,883.3,800.65,883.3,883.3,970.0,155.0,382759,329523940.35,,860.92,EQ
26-09-2003,902.0,939.0,880.0,885.45,885.0,970.0,155.0,283708,258130885.85,,909.85,EQ
29-09-2003,900.0,904.4,856.9,860.75,858.1,970.0,155.0,177792,155227471.4,,873.08,EQ
30-09-2003,869.0,904.0,865.0,891.9,888.0,970.0,155.0,275790,244109593.45,,885.13,EQ
01-10-2003,896.0,930.0,890.0,898.45,905.05,970.0,155.0,231542,210991045.35,,911.24,EQ
03-10-2003,910.0,920.0,882.0,889.3,887.5,970.0,155.0,119743,107586780.4,,898.48,EQ
06-10-2003,904.0,904.0,878.45,885.7,888.0,970.0,155.0,76552,68162509.3,,890.41,EQ
07-10-2003,895.0,924.5,882.2,899.4,898.0,970.0,155.0,200888,182148327.1,,906.72,EQ
08-10-2003,906.0,914.9,875.0,886.2,884.1,970.0,155.0,97102,86972153.55,,895.68,EQ
09-10-2003,900.0,900.0,885.0,890.7,888.0,970.0,155.0,53656,47843096.15,,891.66,EQ
10-10-2003,900.0,902.85,864.0,869.75,867.0,970.0,155.0,47381,41809334.8,,882.41,EQ
13-10-2003,879.9,915.1,871.05,905.95,905.0,970.0,155.0,110648,99661106.7,,900.7,EQ
14-10-2003,913.0,924.7,881.6,890.2,892.0,970.0,155.0,147772,133618326.35,,904.22,EQ
15-10-2003,904.95,908.85,875.1,884.65,885.1,970.0,155.0,95539,85222038.15,,892.01,EQ
16-10-2003,894.95,896.0,876.0,880.8,877.9,970.0,155.0,50066,44331294.5,,885.46,EQ
17-10-2003,887.4,907.0,871.0,900.7,906.0,970.0,155.0,79357,70656355.35,,890.36,EQ
20-10-2003,890.0,910.0,851.05,864.1,856.0,970.0,155.0,66759,58951245.85,,883.05,EQ
21-10-2003,868.8,873.0,805.2,814.7,815.25,970.0,155.0,114320,95683704.35,,836.98,EQ
22-10-2003,820.0,827.0,735.0,799.65,806.0,970.0,155.0,348154,270753558.95,,777.68,EQ
23-10-2003,810.0,810.0,760.0,768.55,762.0,970.0,155.0,128518,100009915.05,,778.18,EQ
24-10-2003,780.0,811.0,765.0,804.7,809.8,970.0,155.0,163084,128257854.7,,786.45,EQ
25-10-2003,810.0,817.8,800.0,805.55,806.0,970.0,155.0,38485,31054788.55,,806.93,EQ
27-10-2003,807.0,836.9,788.0,798.25,795.05,970.0,155.0,169566,137669089.9,,811.89,EQ
28-10-2003,795.0,815.0,757.0,775.75,763.8,970.0,155.0,99788,79199049.0,,793.67,EQ
29-10-2003,778.7,795.0,776.1,781.8,782.9,970.0,155.0,63306,49760483.85,,786.03,EQ
