DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
05-12-2022,189.8,195.0,181.1,186.9,185.65,195.0,181.1,10482,2005675.05,401,191.34,EQ
06-12-2022,190.0,190.0,180.05,181.95,180.05,195.0,180.05,4358,798192.85,199,183.16,EQ
07-12-2022,185.0,190.0,176.0,183.2,183.0,195.0,176.0,66102,12151387.2,739,183.83,EQ
08-12-2022,185.75,185.75,174.05,174.05,174.05,195.0,174.05,35183,6293098.5,300,178.87,EQ
09-12-2022,175.0,175.0,165.35,165.35,165.35,195.0,165.35,13704,2276067.65,285,166.09,EQ
12-12-2022,166.25,166.25,157.1,157.1,157.1,195.0,157.1,2302,361944.2,55,157.23,EQ
13-12-2022,155.0,155.0,149.25,149.25,149.25,195.0,149.25,15169,2277536.1,168,150.14,EQ
14-12-2022,141.8,156.7,141.8,156.7,156.7,195.0,141.8,8304,1230681.35,222,148.2,EQ
15-12-2022,164.5,164.5,164.5,164.5,164.5,195.0,141.8,4177,687116.5,14,164.5,EQ
16-12-2022,171.5,172.7,165.05,172.7,172.7,195.0,141.8,9167,1571077.85,189,171.38,EQ
19-12-2022,181.0,181.0,170.0,175.1,176.0,195.0,141.8,11164,1959058.35,407,175.48,EQ
20-12-2022,176.4,180.9,175.15,178.6,179.0,195.0,141.8,2622,468509.95,131,178.68,EQ
21-12-2022,179.65,179.65,169.7,169.7,177.0,195.0,141.8,8545,1471111.65,260,172.16,EQ
22-12-2022,174.0,174.0,161.5,162.3,161.55,195.0,141.8,13315,2183017.3,364,163.95,EQ
23-12-2022,154.5,156.0,154.2,154.2,154.2,195.0,141.8,2932,452260.4,31,154.25,EQ
26-12-2022,159.45,161.8,146.5,146.9,146.5,195.0,141.8,6022,896433.7,253,148.86,EQ
27-12-2022,148.55,153.0,144.05,149.7,153.0,195.0,141.8,3133,463835.6,120,148.05,EQ
28-12-2022,147.9,153.9,147.9,153.0,153.0,195.0,141.8,2656,396398.95,101,149.25,EQ
29-12-2022,155.95,155.95,148.55,149.9,149.2,195.0,141.8,1295,194609.65,78,150.28,EQ
30-12-2022,155.15,155.15,148.1,153.05,153.8,195.0,141.8,2520,380287.55,129,150.91,EQ
02-01-2023,153.8,153.8,145.4,145.4,145.4,195.0,141.8,6589,962697.35,155,146.11,EQ
03-01-2023,142.0,152.65,142.0,152.65,152.65,195.0,141.8,8189,1197723.2,314,146.26,EQ
04-01-2023,157.0,157.0,145.05,145.8,146.9,195.0,141.8,8720,1301167.9,332,149.22,EQ
05-01-2023,144.9,152.45,143.65,150.1,149.85,195.0,141.8,3106,461429.7,93,148.56,EQ
06-01-2023,146.1,154.8,144.95,152.4,150.0,195.0,141.8,7061,1038562.65,160,147.08,EQ
09-01-2023,152.1,153.9,148.0,150.75,152.4,195.0,141.8,2891,436328.15,153,150.93,EQ
