DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
20-12-2023,1400.0,1434.0,1302.0,1326.05,1302.95,1434.0,1302.0,14609923,20333150978.25,582857,1391.74,EQ
21-12-2023,1272.0,1368.7,1225.6,1347.1,1360.35,1434.0,1225.6,2219262,2899226779.15,108019,1306.39,EQ
22-12-2023,1359.95,1367.15,1293.05,1307.0,1310.35,1434.0,1225.6,699513,929659875.55,40023,1329.01,EQ
26-12-2023,1314.1,1320.65,1275.05,1288.95,1284.0,1434.0,1225.6,535672,692581651.1,31741,1292.92,EQ
27-12-2023,1290.1,1333.95,1261.05,1276.45,1279.9,1434.0,1225.6,502560,653657820.25,29755,1300.66,EQ
28-12-2023,1285.0,1295.0,1262.1,1273.15,1270.75,1434.0,1225.6,418411,532559468.2,26380,1272.81,EQ
29-12-2023,1270.0,1273.0,1245.0,1250.8,1252.0,1434.0,1225.6,412193,517576881.35,19871,1255.67,EQ
01-01-2024,1250.8,1285.0,1245.55,1278.3,1278.0,1434.0,1225.6,260880,332345808.55,19047,1273.94,EQ
02-01-2024,1283.85,1292.7,1262.0,1281.9,1280.7,1434.0,1225.6,211794,270436542.15,16522,1276.88,EQ
03-01-2024,1280.0,1300.0,1271.0,1294.45,1285.05,1434.0,1225.6,180756,232782655.45,16726,1287.83,EQ
04-01-2024,1285.1,1315.7,1285.1,1311.9,1310.0,1434.0,1225.6,198156,258882443.45,15922,1306.46,EQ
05-01-2024,1310.05,1325.0,1310.0,1321.85,1320.0,1434.0,1225.6,113809,150305484.8,6782,1320.68,EQ
08-01-2024,1325.3,1328.0,1309.0,1311.75,1315.0,1434.0,1225.6,150847,198560971.35,13821,1316.31,EQ
09-01-2024,1320.0,1355.0,1311.0,1349.65,1335.25,1434.0,1225.6,168773,226044775.4,9473,1339.34,EQ
10-01-2024,1335.05,1368.25,1325.0,1336.4,1339.45,1434.0,1225.6,130662,176523907.2,8150,1351.0,EQ
11-01-2024,1340.05,1537.35,1338.1,1497.4,1519.0,1537.35,1225.6,1625991,2404597206.3,95571,1478.85,EQ
12-01-2024,1525.0,1568.0,1495.0,1521.3,1512.0,1568.0,1225.6,495355,756718350.6,32025,1527.63,EQ
15-01-2024,1540.35,1540.35,1472.1,1501.75,1501.0,1568.0,1225.6,214136,320630525.6,15651,1497.32,EQ
16-01-2024,1527.7,1527.7,1475.0,1486.35,1475.3,1568.0,1225.6,119326,178328163.3,11536,1494.46,EQ
17-01-2024,1459.95,1460.0,1420.0,1447.75,1445.0,1568.0,1225.6,442540,636922381.15,38292,1439.24,EQ
18-01-2024,1440.0,1455.9,1396.0,1425.2,1419.0,1568.0,1225.6,130917,187415247.9,14598,1431.56,EQ
19-01-2024,1427.0,1467.95,1420.8,1432.85,1425.0,1568.0,1225.6,175624,252632646.55,12482,1438.49,EQ
20-01-2024,1447.8,1447.8,1418.0,1424.95,1429.0,1568.0,1225.6,49004,69879731.4,9361,1426.0,EQ
23-01-2024,1433.0,1476.7,1399.9,1413.15,1427.2,1568.0,1225.6,175524,251250146.15,16241,1431.43,EQ
