DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
21-04-2008,55.2,620.6,55.2,619.55,620.6,620.6,55.2,2733,928211.55,,339.63,EQ
22-04-2008,743.5,743.5,625.0,743.5,743.5,743.5,55.2,8518,6189787.75,,726.67,EQ
23-04-2008,815.0,892.0,630.0,810.9,800.0,892.0,55.2,52036,41475378.6,,797.05,EQ
24-04-2008,810.9,810.9,755.0,793.05,802.0,892.0,55.2,13330,10431465.75,,782.56,EQ
25-04-2008,760.0,940.0,760.0,857.55,915.0,940.0,55.2,9178,7559810.15,,823.69,EQ
28-04-2008,877.0,1029.1,877.0,1029.1,1029.1,1029.1,55.2,19513,19352935.8,,991.8,EQ
29-04-2008,1051.0,1132.05,1050.0,1132.05,1132.05,1132.05,55.2,9058,10004320.5,,1104.47,EQ
30-04-2008,1245.3,1245.3,1061.2,1181.25,1210.0,1245.3,55.2,20083,24154889.05,,1202.75,EQ
02-05-2008,1251.0,1280.0,1100.0,1210.2,1240.0,1280.0,55.2,14334,16943440.5,,1182.05,EQ
05-05-2008,1211.25,1265.0,1150.0,1153.6,1150.0,1280.0,55.2,2412,2919167.75,,1210.27,BE
06-05-2008,1100.0,1130.0,1095.95,1095.95,1095.95,1280.0,55.2,757,832664.5,,1099.95,BE
07-05-2008,1084.0,1084.0,1041.15,1041.15,1041.15,1280.0,55.2,90,93834.95,,1042.61,BE
08-05-2008,989.1,989.1,989.1,989.1,989.1,1280.0,55.2,56,55389.6,,989.1,BE
09-05-2008,939.65,939.65,939.65,939.65,939.65,1280.0,55.2,10,9396.5,,939.65,BE
12-05-2008,892.7,892.7,892.7,892.7,892.7,1280.0,55.2,1,892.7,,892.7,BE
13-05-2008,848.1,848.1,848.1,848.1,848.1,1280.0,55.2,15,12721.5,,848.1,BE
