DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
10-03-2021,128.8,135.2,128.8,135.2,135.2,135.2,128.8,653,88266.4,40,135.17,BE
12-03-2021,141.95,141.95,141.95,141.95,141.95,141.95,128.8,3464,491714.8,48,141.95,BE
15-03-2021,149.0,149.0,149.0,149.0,149.0,149.0,128.8,2411,359239.0,29,149.0,BE
16-03-2021,156.45,156.45,156.45,156.45,156.45,156.45,128.8,196,30664.2,16,156.45,BE
17-03-2021,164.25,164.25,164.25,164.25,164.25,164.25,128.8,20,3285.0,12,164.25,BE
18-03-2021,172.45,172.45,172.45,172.45,172.45,172.45,128.8,2619,451646.55,13,172.45,BE
19-03-2021,181.05,181.05,179.5,181.0,181.05,181.05,128.8,77957,14113426.8,635,181.04,BE
22-03-2021,190.05,190.05,189.8,190.05,190.05,190.05,128.8,5312,1009429.85,91,190.03,BE
23-03-2021,199.55,199.55,199.55,199.55,199.55,199.55,128.8,264,52681.2,15,199.55,BE
24-03-2021,209.5,209.5,209.5,209.5,209.5,209.5,128.8,40,8380.0,7,209.5,BE
25-03-2021,230.45,230.45,230.45,230.45,230.45,230.45,230.45,1800,414810.0,28,230.45,EQ
26-03-2021,253.45,253.45,253.45,253.45,253.45,253.45,230.45,185,46888.25,16,253.45,EQ
30-03-2021,278.75,278.75,278.75,278.75,278.75,278.75,230.45,535,149131.25,16,278.75,EQ
31-03-2021,292.65,292.65,264.85,292.65,292.65,292.65,230.45,46749,13320649.45,2190,284.94,EQ
01-04-2021,307.25,307.25,307.25,307.25,307.25,307.25,230.45,4156,1276931.0,60,307.25,EQ
05-04-2021,322.0,322.6,322.0,322.6,322.6,322.6,230.45,3871,1247185.0,91,322.19,EQ
06-04-2021,338.7,338.7,338.7,338.7,338.7,338.7,230.45,594,201187.8,21,338.7,EQ
07-04-2021,355.6,355.6,338.7,355.6,355.6,355.6,230.45,9686,3428176.35,178,353.93,EQ
08-04-2021,373.35,373.35,337.85,337.85,337.85,373.35,128.8,24613,9072806.4,410,368.62,BE
09-04-2021,321.0,321.0,321.0,321.0,321.0,373.35,128.8,468,150228.0,32,321.0,BE
12-04-2021,304.95,304.95,304.95,304.95,304.95,373.35,128.8,78,23786.1,54,304.95,BE
13-04-2021,289.75,320.15,289.75,319.65,320.15,373.35,128.8,32597,9609442.25,652,294.8,BE
15-04-2021,307.0,317.0,303.7,303.7,303.7,373.35,128.8,4745,1452400.95,80,306.09,BE
16-04-2021,288.55,300.45,288.55,289.0,288.55,373.35,128.8,4495,1298277.35,128,288.83,BE
19-04-2021,274.55,274.55,274.55,274.55,274.55,373.35,128.8,2207,605931.85,22,274.55,BE
20-04-2021,260.85,260.85,260.85,260.85,260.85,373.35,128.8,510,133033.5,29,260.85,BE
22-04-2021,250.85,273.85,247.85,255.15,273.85,373.35,128.8,10896,2762714.5,185,253.55,BE
23-04-2021,242.4,267.9,242.4,267.7,267.9,373.35,128.8,9860,2510279.35,282,254.59,BE
26-04-2021,280.95,281.05,254.35,281.05,281.05,373.35,128.8,7981,2216199.6,246,277.68,BE
27-04-2021,295.0,295.1,268.0,294.4,295.0,373.35,128.8,10286,2958973.15,211,287.67,BE
28-04-2021,294.2,308.95,280.0,290.9,295.0,373.35,128.8,7063,2112730.85,202,299.13,BE
29-04-2021,280.9,298.0,276.4,276.4,276.4,373.35,128.8,2731,759849.9,75,278.23,BE
30-04-2021,262.6,262.6,262.6,262.6,262.6,373.35,128.8,534,140228.4,24,262.6,BE
03-05-2021,252.0,252.0,249.5,249.5,249.5,373.35,128.8,606,151212.0,36,249.52,BE
04-05-2021,237.1,237.1,237.05,237.05,237.05,373.35,128.8,812,192485.1,52,237.05,BE
05-05-2021,225.2,237.05,225.2,225.4,228.05,373.35,128.8,3567,803767.05,104,225.33,BE
06-05-2021,218.6,236.5,214.15,216.15,226.2,373.35,128.8,5099,1117389.5,234,219.14,BE
