DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
24-04-1996,70.0,70.0,70.0,70.0,,,,100,7000.0,,70.0,EQ
26-04-1996,74.75,76.9,74.75,76.5,,,,400,30290.0,,75.73,EQ
29-04-1996,76.5,80.0,76.5,80.0,,,,1500,118745.0,,79.16,EQ
30-04-1996,80.0,85.0,83.0,85.0,,,,1200,100915.0,,84.1,EQ
01-05-1996,90.0,90.0,86.6,90.0,,,,1300,116205.0,,89.39,EQ
02-05-1996,90.0,91.0,88.2,89.0,,,,2400,215210.0,,89.67,EQ
03-05-1996,90.0,92.0,89.95,92.0,,,,2400,217845.0,,90.77,EQ
06-05-1996,89.0,90.0,87.25,89.9,,,,1100,97275.0,,88.43,EQ
07-05-1996,90.0,90.0,90.0,90.0,,,,900,81000.0,,90.0,EQ
08-05-1996,89.0,92.0,89.0,91.25,,,,1600,144010.0,,90.01,EQ
09-05-1996,87.0,93.0,87.0,93.0,,,,1400,128140.0,,91.53,EQ
10-05-1996,92.0,92.5,90.0,92.0,,,,1300,119450.0,,91.88,EQ
13-05-1996,92.25,94.25,92.25,94.25,,,,1000,93325.0,,93.33,EQ
14-05-1996,94.0,96.0,94.0,94.7,,,,3100,293785.0,,94.77,EQ
15-05-1996,96.5,98.0,96.5,98.0,,,,2300,223900.0,,97.35,EQ
16-05-1996,98.0,103.0,99.5,100.25,,,,3600,362405.0,,100.67,EQ
17-05-1996,102.0,104.0,101.5,102.55,,,,1900,194970.0,,102.62,EQ
20-05-1996,102.55,103.0,101.75,101.75,,,,1300,133070.0,,102.36,EQ
21-05-1996,101.75,102.0,99.0,101.75,,,,5600,565395.0,,100.96,EQ
22-05-1996,102.0,102.5,101.5,102.5,,,,1900,193825.0,,102.01,EQ
23-05-1996,102.5,103.0,101.0,102.0,,,,3700,377745.0,,102.09,EQ
24-05-1996,101.5,102.5,101.25,101.4,,,,4900,499485.0,,101.94,EQ
27-05-1996,101.4,103.0,101.0,102.25,,,,3500,356340.0,,101.81,EQ
28-05-1996,102.5,107.95,102.5,106.0,,,,1900,196960.0,,103.66,EQ
29-05-1996,106.0,106.0,105.1,106.0,,,,1600,169305.0,,105.82,EQ
30-05-1996,106.0,109.0,106.0,106.0,,,,1600,171505.0,,107.19,EQ
31-05-1996,107.2,108.5,107.0,108.0,,,,2900,312155.0,,107.64,EQ
03-06-1996,108.0,110.75,106.1,110.1,,,,2900,317950.0,,109.64,EQ
04-06-1996,110.1,108.5,103.0,104.75,,,,4000,426550.0,,106.64,EQ
