DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
01-06-2022,270.0,279.0,256.0,257.9,256.0,279.0,256.0,7383750,1951105380.35,142264,264.24,EQ
02-06-2022,255.9,259.0,253.75,255.9,256.45,279.0,253.75,965938,247409568.2,16718,256.13,EQ
03-06-2022,256.1,261.0,255.15,256.2,258.0,279.0,253.75,871504,224093884.5,17214,257.13,EQ
06-06-2022,256.2,259.6,254.05,257.5,257.0,279.0,253.75,325169,83352895.7,8550,256.34,EQ
07-06-2022,253.3,260.4,253.3,258.85,255.15,279.0,253.3,333655,85880981.1,7488,257.39,EQ
08-06-2022,256.0,259.0,253.05,255.35,254.2,279.0,253.05,178072,45608026.8,4408,256.12,EQ
09-06-2022,255.35,258.0,254.45,255.95,255.8,279.0,253.05,164921,42226776.6,3489,256.04,EQ
10-06-2022,253.9,255.0,252.0,253.2,253.0,279.0,252.0,132439,33530889.45,3848,253.18,EQ
13-06-2022,253.0,253.0,245.1,247.55,245.9,279.0,245.1,260250,64872359.2,6221,249.27,EQ
14-06-2022,245.0,256.0,244.1,255.0,255.0,279.0,244.1,235625,59179259.45,6153,251.16,EQ
15-06-2022,257.9,258.8,253.9,256.6,254.15,279.0,244.1,219168,56355172.15,5947,257.13,EQ
16-06-2022,256.1,258.75,253.75,256.85,257.5,279.0,244.1,301391,77348082.55,6764,256.64,EQ
17-06-2022,253.1,257.5,251.85,255.65,255.0,279.0,244.1,197431,50581265.65,10732,256.2,EQ
20-06-2022,252.25,254.3,248.05,251.25,250.9,279.0,244.1,118670,29709740.15,3642,250.36,EQ
21-06-2022,251.55,253.9,236.55,243.65,239.9,279.0,236.55,64248,15874076.65,2859,247.08,EQ
22-06-2022,240.95,253.2,236.3,246.45,244.65,279.0,236.3,119991,29017230.35,4286,241.83,EQ
23-06-2022,246.4,249.8,239.5,240.8,240.3,279.0,236.3,43188,10543661.55,2630,244.13,EQ
24-06-2022,243.8,244.75,239.0,239.45,239.45,279.0,236.3,35442,8536585.45,1853,240.86,EQ
27-06-2022,240.1,243.4,238.0,239.5,238.55,279.0,236.3,31530,7612050.95,1642,241.42,EQ
28-06-2022,238.55,251.0,237.2,246.3,246.0,279.0,236.3,115028,28304512.25,3552,246.07,EQ
29-06-2022,246.05,255.0,243.9,253.5,250.2,279.0,236.3,96624,24264564.95,4155,251.12,EQ
