DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
08-02-1996,22.0,22.0,22.0,22.0,,,,200,4400.0,,22.0,EQ
12-02-1996,23.5,23.5,23.5,23.5,,,,100,2350.0,,23.5,EQ
22-02-1996,23.0,23.0,23.0,23.0,,,,100,2300.0,,23.0,EQ
23-02-1996,25.0,25.0,25.0,25.0,,,,100,2500.0,,25.0,EQ
26-03-1996,25.0,25.0,25.0,25.0,,,,100,2500.0,,25.0,EQ
25-04-1996,25.0,25.0,25.0,25.0,,,,1000,25000.0,,25.0,EQ
29-04-1996,24.5,25.0,24.5,25.0,,,,700,17400.0,,24.86,EQ
07-05-1996,25.0,25.0,25.0,25.0,,,,100,2500.0,,25.0,EQ
06-11-1996,25.0,25.0,25.0,25.0,,29.0,21.5,100,2500.0,,25.0,EQ
09-12-1996,23.5,23.5,23.5,23.5,,25.0,21.5,100,2350.0,,23.5,EQ
19-12-1996,22.25,22.25,22.25,22.25,,25.0,21.5,200,4450.0,,22.25,EQ
20-12-1996,21.15,21.15,21.15,21.15,,25.0,21.5,100,2115.0,,21.15,EQ
26-12-1996,20.0,20.0,19.9,19.9,,25.0,21.15,300,5990.0,,19.97,EQ
31-12-1996,18.6,18.6,18.6,18.6,,25.0,19.9,300,5580.0,,18.6,EQ
01-01-1997,18.0,19.5,18.0,18.6,,25.0,18.6,8100,152205.0,,18.79,EQ
02-01-1997,18.95,18.95,18.25,18.5,,25.0,18.0,6200,115760.0,,18.67,EQ
03-01-1997,18.5,18.5,17.5,18.0,,25.0,18.0,600,10800.0,,18.0,EQ
06-01-1997,18.3,18.4,17.0,17.55,,25.0,17.5,2400,42655.0,,17.77,EQ
07-01-1997,17.5,18.5,17.5,17.85,,25.0,17.0,1300,23485.0,,18.07,EQ
08-01-1997,18.5,19.0,18.0,19.0,,25.0,17.0,4200,77475.0,,18.45,EQ
09-01-1997,19.0,19.0,18.0,18.35,,25.0,17.0,106700,1923700.0,,18.03,EQ
10-01-1997,18.3,19.5,18.3,19.5,,25.0,17.0,2000,38260.0,,19.13,EQ
13-01-1997,20.2,20.25,19.2,20.0,,25.0,17.0,9200,180835.0,,19.66,EQ
14-01-1997,21.35,21.4,20.0,20.55,,25.0,17.0,11600,240885.0,,20.77,EQ
15-01-1997,20.75,21.35,20.75,21.0,,25.0,17.0,5100,107750.0,,21.13,EQ
16-01-1997,22.0,22.0,21.5,22.0,,25.0,17.0,2000,43550.0,,21.78,EQ
17-01-1997,21.5,21.5,20.5,20.5,,25.0,17.0,1000,20700.0,,20.7,EQ
20-01-1997,20.95,21.0,19.8,19.85,,25.0,17.0,1800,36455.0,,20.25,EQ
21-01-1997,18.5,18.55,18.5,18.5,,25.0,17.0,2400,44430.0,,18.51,EQ
22-01-1997,18.0,19.45,18.0,18.05,,25.0,17.0,8300,151165.0,,18.21,EQ
24-01-1997,18.25,18.25,18.25,18.25,,25.0,17.0,100,1825.0,,18.25,EQ
27-01-1997,18.0,18.0,17.75,18.0,,25.0,17.0,900,16175.0,,17.97,EQ
28-01-1997,18.0,18.0,17.6,17.6,,25.0,17.0,300,5360.0,,17.87,EQ
29-01-1997,18.0,18.0,18.0,18.0,,25.0,17.0,200,3600.0,,18.0,EQ
30-01-1997,18.0,18.25,18.0,18.0,,25.0,17.0,500,9025.0,,18.05,EQ
31-01-1997,17.55,17.55,17.05,17.1,,25.0,17.0,1400,24100.0,,17.21,EQ
03-02-1997,16.55,17.0,16.0,17.0,,25.0,17.0,1800,29555.0,,16.42,EQ
04-02-1997,16.25,17.0,16.25,16.55,,25.0,16.0,700,11685.0,,16.69,EQ
06-02-1997,17.5,17.5,17.5,17.5,,25.0,16.0,200,3500.0,,17.5,EQ
10-02-1997,18.0,18.0,18.0,18.0,,25.0,16.0,100,1800.0,,18.0,EQ
11-02-1997,17.6,17.6,17.5,17.5,,25.0,16.0,300,5270.0,,17.57,EQ
12-02-1997,18.0,18.75,18.0,18.75,,25.0,16.0,300,5550.0,,18.5,EQ
13-02-1997,17.75,17.75,17.75,17.75,,25.0,16.0,100,1775.0,,17.75,EQ
14-02-1997,17.55,17.55,17.5,17.5,,25.0,16.0,200,3505.0,,17.53,EQ
17-02-1997,17.5,17.5,17.5,17.5,,25.0,16.0,300,5250.0,,17.5,EQ
18-02-1997,17.8,18.25,17.8,18.25,,25.0,16.0,900,16135.0,,17.93,EQ
19-02-1997,18.05,18.05,18.0,18.05,,25.0,16.0,600,10820.0,,18.03,EQ
20-02-1997,18.15,18.15,18.05,18.05,,25.0,16.0,1000,18100.0,,18.1,EQ
21-02-1997,18.0,18.0,17.75,18.0,,25.0,16.0,65800,1184260.0,,18.0,EQ
24-02-1997,18.0,18.25,17.5,17.8,,25.0,16.0,3800,67320.0,,17.72,EQ
25-02-1997,18.25,18.25,17.7,17.75,,25.0,16.0,2100,37275.0,,17.75,EQ
26-02-1997,16.75,18.75,16.75,17.7,,25.0,16.0,4500,79930.0,,17.76,EQ
27-02-1997,17.65,18.0,17.65,18.0,,25.0,16.0,900,16060.0,,17.84,EQ
28-02-1997,18.5,18.5,18.5,18.5,,25.0,16.0,100,1850.0,,18.5,EQ
01-03-1997,19.0,19.5,19.0,19.5,,25.0,16.0,5900,112365.0,,19.04,EQ
03-03-1997,20.4,20.8,20.0,20.0,,25.0,16.0,19500,394940.0,,20.25,EQ
04-03-1997,19.6,20.4,19.5,19.95,,25.0,16.0,6900,138280.0,,20.04,EQ
05-03-1997,21.0,21.2,21.0,21.2,,25.0,16.0,4000,84240.0,,21.06,EQ
06-03-1997,21.8,22.0,20.6,21.9,,25.0,16.0,4200,90170.0,,21.47,EQ
10-03-1997,20.4,20.4,20.4,20.4,,25.0,16.0,200,4080.0,,20.4,EQ
11-03-1997,20.0,20.4,19.0,19.0,,25.0,16.0,2000,39240.0,,19.62,EQ
12-03-1997,17.7,18.9,17.7,18.9,,25.0,16.0,500,8970.0,,17.94,EQ
13-03-1997,18.5,18.5,18.0,18.0,,25.0,16.0,700,12750.0,,18.21,EQ
17-03-1997,17.9,18.15,17.85,17.85,,25.0,16.0,1900,33980.0,,17.88,EQ
18-03-1997,18.1,18.1,17.85,18.0,,25.0,16.0,1200,21590.0,,17.99,EQ
