DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
18-11-2022,318.8,319.8,303.15,306.5,307.0,319.8,303.15,26949,8424738.05,825,312.62,EQ
21-11-2022,306.55,306.55,290.0,292.25,292.95,319.8,290.0,16125,4735979.2,699,293.7,EQ
22-11-2022,290.0,295.75,284.1,287.25,292.0,319.8,284.1,7829,2269169.45,425,289.84,EQ
23-11-2022,299.0,299.0,284.0,286.45,284.0,319.8,284.0,5677,1656850.45,280,291.85,EQ
24-11-2022,293.15,293.15,276.1,282.15,286.0,319.8,276.1,10232,2887772.95,631,282.23,EQ
25-11-2022,292.0,292.0,273.15,276.4,278.0,319.8,273.15,7344,2048089.55,546,278.88,EQ
28-11-2022,281.5,282.35,270.35,273.05,270.75,319.8,270.35,7779,2150680.3,457,276.47,EQ
29-11-2022,277.45,280.45,268.05,273.05,275.4,319.8,268.05,10680,2900685.65,784,271.6,EQ
30-11-2022,279.3,282.95,274.0,281.35,282.95,319.8,268.05,5335,1484684.65,377,278.29,EQ
01-12-2022,287.0,311.1,285.0,304.05,306.0,319.8,268.05,18162,5435994.15,1693,299.31,EQ
02-12-2022,312.0,312.0,304.95,309.5,310.5,319.8,268.05,9704,2994395.25,920,308.57,EQ
05-12-2022,314.75,314.75,296.5,302.2,299.85,319.8,268.05,10828,3277694.35,683,302.71,EQ
06-12-2022,300.95,308.9,247.8,287.25,288.0,319.8,247.8,29227,8215165.1,1528,281.08,EQ
07-12-2022,289.15,291.75,287.0,290.25,290.35,319.8,247.8,4644,1345193.95,436,289.66,EQ
08-12-2022,298.95,298.95,252.7,278.45,279.0,319.8,247.8,35274,9765494.2,1633,276.85,EQ
09-12-2022,285.85,288.0,276.6,279.45,278.85,319.8,247.8,7457,2101557.35,912,281.82,EQ
12-12-2022,287.0,287.0,271.05,280.25,280.0,319.8,247.8,4469,1244593.45,529,278.49,EQ
13-12-2022,280.5,288.0,275.0,279.25,281.0,319.8,247.8,14956,4191169.8,1074,280.23,EQ
14-12-2022,280.0,288.0,278.05,281.85,286.45,319.8,247.8,6199,1747171.9,527,281.85,EQ
15-12-2022,288.45,288.45,282.1,285.2,286.85,319.8,247.8,5813,1658925.85,393,285.38,EQ
16-12-2022,284.15,289.0,270.0,282.6,286.0,319.8,247.8,15114,4175023.8,874,276.24,EQ
19-12-2022,287.9,287.9,274.2,277.0,276.85,319.8,247.8,6488,1802232.3,424,277.78,EQ
20-12-2022,274.65,279.7,274.65,277.55,278.0,319.8,247.8,2561,709379.9,255,276.99,EQ
21-12-2022,278.6,280.0,256.0,264.5,269.75,319.8,247.8,9940,2693926.3,597,271.02,EQ
