DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
30-11-2023,138.0,148.25,133.0,140.25,139.3,148.25,133.0,33768075,4791053443.95,188552,141.88,EQ
01-12-2023,141.5,144.8,141.3,142.55,142.2,148.25,133.0,5428331,777377813.85,36853,143.21,EQ
04-12-2023,144.15,146.3,140.6,141.5,141.05,148.25,133.0,3850479,552897443.15,28648,143.59,EQ
05-12-2023,141.85,142.5,135.05,136.6,136.9,148.25,133.0,2270739,315444522.05,28155,138.92,EQ
06-12-2023,137.05,139.4,135.0,137.45,137.1,148.25,133.0,1569037,215082716.75,18455,137.08,EQ
07-12-2023,136.95,140.2,136.3,139.05,140.0,148.25,133.0,1080402,149968918.3,11945,138.81,EQ
08-12-2023,139.8,141.1,136.5,136.95,136.8,148.25,133.0,1778418,246820627.9,17057,138.79,EQ
11-12-2023,138.25,140.0,136.5,137.35,137.0,148.25,133.0,2070721,286501741.75,19725,138.36,EQ
12-12-2023,140.0,152.8,139.25,146.3,146.4,152.8,133.0,12224375,1780168477.95,79804,145.62,EQ
13-12-2023,147.2,149.85,145.9,147.0,147.15,152.8,133.0,3413491,503165364.0,23528,147.4,EQ
14-12-2023,148.0,148.85,145.6,147.45,147.35,152.8,133.0,3762961,553093691.05,21018,146.98,EQ
15-12-2023,147.45,153.6,146.35,147.7,147.4,153.6,133.0,4182407,625879330.0,33169,149.65,EQ
18-12-2023,147.9,148.65,143.65,146.0,146.0,153.6,133.0,1543605,225269458.85,15455,145.94,EQ
19-12-2023,146.0,148.35,145.0,145.5,145.95,153.6,133.0,1451007,212802148.65,11375,146.66,EQ
20-12-2023,146.0,148.05,139.5,140.5,140.25,153.6,133.0,2484641,359124607.25,21014,144.54,EQ
21-12-2023,135.0,142.45,135.0,141.35,141.1,153.6,133.0,1038729,145394216.1,9611,139.97,EQ
22-12-2023,142.3,143.05,140.1,141.05,140.7,153.6,133.0,614557,86948296.15,6181,141.48,EQ
26-12-2023,141.25,142.9,140.0,140.85,140.5,153.6,133.0,624148,88152899.85,7019,141.24,EQ
27-12-2023,140.85,142.0,140.1,140.6,140.45,153.6,133.0,588694,82919466.6,5688,140.85,EQ
28-12-2023,140.15,141.45,138.25,138.6,138.7,153.6,133.0,713747,99483396.4,7802,139.38,EQ
29-12-2023,138.95,138.95,135.5,136.15,135.75,153.6,133.0,1366932,187160286.85,14929,136.92,EQ
01-01-2024,136.15,138.3,136.15,137.2,137.25,153.6,133.0,415643,57077213.65,5704,137.32,EQ
02-01-2024,137.95,139.4,136.2,137.8,137.75,153.6,133.0,842877,115941564.8,10355,137.55,EQ
03-01-2024,137.8,138.05,136.55,137.2,137.1,153.6,133.0,603217,82820542.45,8129,137.3,EQ
04-01-2024,137.15,138.45,137.15,138.0,137.95,153.6,133.0,695205,95783094.2,10836,137.78,EQ
05-01-2024,138.05,139.2,137.05,138.55,138.2,153.6,133.0,966911,133753121.3,9967,138.33,EQ
