DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
13-08-2024,651.0,707.7,640.0,679.1,673.5,707.7,640.0,61142512,41170825034.75,615046,673.36,EQ
14-08-2024,669.9,677.7,633.3,641.95,643.1,707.7,633.3,6852935,4466404551.05,223397,651.75,EQ
16-08-2024,640.0,688.0,636.1,669.9,669.0,707.7,633.3,8853277,5932548102.05,164714,670.1,EQ
19-08-2024,674.0,704.0,658.65,671.65,669.05,707.7,633.3,3466502,2353654810.75,94959,678.97,EQ
20-08-2024,675.95,684.95,628.3,632.1,637.0,707.7,628.3,3365425,2174275372.5,123729,646.06,EQ
21-08-2024,633.15,644.65,621.9,627.3,625.55,707.7,621.9,1507649,952040471.65,84349,631.47,EQ
22-08-2024,629.45,662.4,628.95,642.0,645.55,707.7,621.9,1875742,1210406648.8,102472,645.29,EQ
23-08-2024,645.0,657.0,635.0,638.65,640.0,707.7,621.9,1199216,773805453.45,62618,645.26,EQ
26-08-2024,639.95,643.6,621.0,625.95,626.5,707.7,621.0,831690,523900362.05,53187,629.92,EQ
27-08-2024,626.5,641.0,622.8,628.35,630.0,707.7,621.0,1029636,647098072.5,63665,628.47,EQ
28-08-2024,631.95,640.95,621.45,623.4,623.35,707.7,621.0,954516,597902124.45,63563,626.39,EQ
29-08-2024,625.0,636.0,623.05,628.3,627.5,707.7,621.0,1268583,796807730.7,22799,628.11,EQ
30-08-2024,632.45,650.5,627.3,640.55,640.0,707.7,621.0,1613201,1033454723.15,56759,640.62,EQ
02-09-2024,639.05,650.0,624.1,632.2,632.0,707.7,621.0,1355319,855896466.3,23708,631.51,EQ
03-09-2024,635.0,637.2,621.6,625.15,625.0,707.7,621.0,894678,559167004.55,52840,624.99,EQ
04-09-2024,621.0,626.75,605.0,612.85,612.75,707.7,605.0,637472,390168865.85,46816,612.06,EQ
05-09-2024,615.0,619.55,610.0,614.05,611.4,707.7,605.0,382162,234535809.95,22477,613.71,EQ
06-09-2024,616.4,635.0,611.0,622.8,623.5,707.7,605.0,891796,556587485.5,36152,624.12,EQ
09-09-2024,623.0,625.0,587.6,601.7,604.5,707.7,587.6,1780571,1070603564.0,109480,601.27,EQ
10-09-2024,604.25,617.35,599.0,606.85,604.0,707.7,587.6,694207,421355877.35,39760,606.96,EQ
11-09-2024,606.5,644.9,604.05,639.35,640.0,707.7,587.6,1418481,899590156.35,50146,634.19,EQ
12-09-2024,640.1,657.9,633.25,652.35,650.0,707.7,587.6,1328028,859377077.8,31592,647.11,EQ
13-09-2024,649.35,663.3,646.05,655.75,655.0,707.7,587.6,571772,374915580.25,16423,655.71,EQ
16-09-2024,660.0,661.45,638.0,641.1,642.0,707.7,587.6,557166,358873267.05,16805,644.1,EQ
17-09-2024,640.05,645.0,635.0,639.75,642.0,707.7,587.6,307613,196578516.55,17965,639.04,EQ
18-09-2024,641.0,645.55,635.85,641.35,640.0,707.7,587.6,591487,379553419.95,37361,641.69,EQ
19-09-2024,676.95,688.45,632.75,645.75,649.95,707.7,587.6,2634494,1737335331.95,71303,659.46,EQ
20-09-2024,653.9,673.65,644.45,652.45,650.0,707.7,587.6,1091515,710201969.55,23956,650.66,EQ
23-09-2024,656.05,658.2,641.2,653.05,651.0,707.7,587.6,687652,447924269.5,18519,651.38,EQ
24-09-2024,649.9,672.95,641.5,665.5,665.0,707.7,587.6,647755,427017321.1,20017,659.23,EQ
25-09-2024,664.9,664.9,652.0,657.9,661.0,707.7,587.6,391143,256940592.3,14421,656.9,EQ
26-09-2024,658.1,662.65,648.7,657.95,656.0,707.7,587.6,502127,329940832.6,13920,657.09,EQ
27-09-2024,651.25,656.95,621.1,625.75,631.0,707.7,587.6,288771,183614256.05,11508,635.85,EQ
30-09-2024,625.75,648.0,611.4,644.0,642.0,707.7,587.6,644641,407565929.25,22103,632.24,EQ
01-10-2024,635.0,662.0,634.0,646.2,646.0,707.7,587.6,1462403,948624106.4,35889,648.67,EQ
03-10-2024,639.15,668.0,626.6,654.9,652.0,707.7,587.6,630223,412447653.85,23063,654.45,EQ
04-10-2024,647.3,661.45,646.4,653.0,649.0,707.7,587.6,633310,413571642.4,15220,653.03,EQ
07-10-2024,645.1,659.65,622.75,625.5,626.95,707.7,587.6,718955,455547069.5,31199,633.62,EQ
08-10-2024,621.0,653.45,617.8,642.65,641.1,707.7,587.6,564362,362262261.5,21135,641.9,EQ
09-10-2024,643.9,654.5,633.05,641.35,647.6,707.7,587.6,347463,222255720.35,8081,639.65,EQ
10-10-2024,649.05,684.0,646.05,672.25,673.0,707.7,587.6,1072093,717630772.95,33334,669.37,EQ
11-10-2024,678.95,697.5,669.0,682.4,680.7,707.7,587.6,904147,621546698.7,28477,687.44,EQ
14-10-2024,682.4,724.0,673.0,718.25,714.0,724.0,587.6,1355436,955427243.55,44746,704.89,EQ
15-10-2024,726.0,734.0,707.25,722.8,720.15,734.0,587.6,1011167,730215517.9,44010,722.15,EQ
16-10-2024,720.0,720.15,690.5,697.35,695.8,734.0,587.6,561781,394054085.95,21228,701.44,EQ
17-10-2024,695.65,706.9,678.25,692.9,690.0,734.0,587.6,516351,355350071.8,18057,688.19,EQ
18-10-2024,687.95,714.8,675.35,682.4,682.6,734.0,587.6,450511,313945134.5,20989,696.86,EQ
21-10-2024,688.95,697.7,659.05,664.0,664.9,734.0,587.6,304865,206193828.1,12546,676.34,EQ
22-10-2024,662.1,669.45,630.2,632.8,635.0,734.0,587.6,527672,338470444.1,23694,641.44,EQ
23-10-2024,640.0,644.9,622.4,625.2,629.0,734.0,587.6,349765,220209802.65,28804,629.59,EQ
24-10-2024,630.0,645.0,625.0,638.4,639.8,734.0,587.6,288568,184041340.1,10835,637.77,EQ
25-10-2024,643.5,645.95,617.0,619.8,620.5,734.0,587.6,295427,184254977.6,19186,623.69,EQ
28-10-2024,621.0,629.9,612.0,616.8,617.0,734.0,587.6,127702,79068266.15,7602,619.16,EQ
29-10-2024,623.45,705.15,610.0,694.25,688.0,734.0,587.6,1144702,764668004.75,34973,668.01,EQ
30-10-2024,681.0,684.65,647.55,654.8,651.95,734.0,587.6,328862,218480476.0,14233,664.35,EQ
31-10-2024,652.0,658.45,625.05,627.9,627.0,734.0,587.6,435207,276980665.45,20148,636.43,EQ
01-11-2024,631.0,643.9,630.05,635.2,634.0,734.0,587.6,60957,38885697.1,2662,637.92,EQ
04-11-2024,634.65,637.1,606.7,617.55,618.0,734.0,587.6,457585,282209111.65,14622,616.74,EQ
05-11-2024,613.0,624.4,608.0,616.9,617.1,734.0,587.6,335215,206792090.65,12440,616.89,EQ
06-11-2024,624.95,630.85,614.75,626.0,623.0,734.0,587.6,273307,170392272.4,17779,623.45,EQ
07-11-2024,616.0,625.0,587.75,590.9,589.95,734.0,587.6,631686,380050039.5,33711,601.64,EQ
08-11-2024,595.8,600.9,552.85,564.45,564.8,734.0,552.85,1696337,978329230.3,60008,576.73,EQ
11-11-2024,570.0,575.15,520.0,526.4,527.0,734.0,520.0,1293306,694038320.8,66860,536.64,EQ
12-11-2024,528.0,554.9,518.35,530.35,531.7,734.0,518.35,1371030,728416876.75,95610,531.29,EQ
13-11-2024,532.0,544.0,514.5,518.45,521.45,734.0,514.5,1249195,653466189.7,64817,523.11,EQ
14-11-2024,522.5,535.7,516.35,519.05,519.8,734.0,514.5,680886,355641278.85,49981,522.32,EQ
18-11-2024,544.0,582.0,526.05,547.1,539.0,734.0,514.5,4516069,2496551994.6,167017,552.82,EQ
19-11-2024,542.95,563.95,536.95,553.5,550.0,734.0,514.5,1277327,700891460.35,36072,548.72,EQ
21-11-2024,545.0,568.0,539.45,564.9,564.0,734.0,514.5,693156,385587947.85,29833,556.28,EQ
22-11-2024,563.05,563.75,543.1,545.4,546.85,734.0,514.5,337798,187022241.3,17718,553.65,EQ
25-11-2024,553.7,558.45,542.1,543.45,544.5,734.0,514.5,332981,182839696.65,17344,549.1,EQ
26-11-2024,543.6,590.8,543.6,571.95,577.0,734.0,514.5,1025812,589284889.4,32288,574.46,EQ
27-11-2024,569.7,591.75,560.9,587.7,585.85,734.0,514.5,346618,200277736.1,13345,577.81,EQ
28-11-2024,592.0,620.95,591.95,609.9,609.1,734.0,514.5,787910,481003399.45,27032,610.48,EQ
29-11-2024,609.95,615.3,597.2,604.35,601.8,734.0,514.5,638682,387112389.5,14091,606.11,EQ
02-12-2024,598.0,601.75,582.45,595.7,594.0,734.0,514.5,671929,397278864.5,27972,591.25,EQ
03-12-2024,596.0,612.1,588.5,608.2,602.25,734.0,514.5,405512,242913831.55,23464,599.03,EQ
04-12-2024,614.75,617.9,602.15,605.55,604.5,734.0,514.5,336708,204786972.45,17455,608.2,EQ
05-12-2024,611.8,611.95,585.6,589.4,590.25,734.0,514.5,329236,194490875.95,15935,590.73,EQ
06-12-2024,594.35,598.7,585.95,591.2,590.05,734.0,514.5,129219,76283608.8,7561,590.34,EQ
09-12-2024,591.1,595.2,585.35,588.5,592.0,734.0,514.5,116715,68764460.6,10390,589.17,EQ
10-12-2024,595.95,602.75,578.05,587.4,588.4,734.0,514.5,906410,530486420.1,13875,585.26,EQ
11-12-2024,587.4,607.95,585.35,599.45,598.25,734.0,514.5,283022,169506477.15,12062,598.92,EQ
12-12-2024,620.05,623.7,602.2,605.3,603.2,734.0,514.5,841171,514362376.45,26881,611.48,EQ
13-12-2024,596.0,607.0,588.85,590.45,591.4,734.0,514.5,301106,178790002.9,15980,593.78,EQ
16-12-2024,594.65,617.0,594.65,616.15,613.05,734.0,514.5,420132,257410086.75,18394,612.69,EQ
17-12-2024,618.8,618.8,605.0,607.0,609.0,734.0,514.5,246612,150847787.75,11074,611.68,EQ
18-12-2024,605.1,642.4,605.1,624.05,621.0,734.0,514.5,850057,534788596.9,46049,629.12,EQ
19-12-2024,613.0,614.95,602.95,606.15,606.0,734.0,514.5,203943,123990623.2,15139,607.97,EQ
20-12-2024,603.15,654.35,603.15,638.75,625.0,734.0,514.5,1998219,1264505506.55,36996,632.82,EQ
23-12-2024,634.05,634.05,606.15,614.85,615.9,734.0,514.5,332593,204787318.3,17382,615.73,EQ
24-12-2024,620.45,636.4,604.3,630.15,626.5,734.0,514.5,347344,215684620.5,15114,620.95,EQ
26-12-2024,627.0,640.05,620.0,638.1,636.0,734.0,514.5,576228,365039804.65,18394,633.5,EQ
27-12-2024,651.0,651.0,625.05,636.1,633.2,734.0,514.5,328077,208544489.5,16783,635.66,EQ
