DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
09-05-2007,110.0,110.0,98.05,100.15,100.0,110.0,98.05,22950815,2362101598.5,,102.92,EQ
10-05-2007,101.6,105.9,100.1,101.65,101.55,110.0,98.05,6763044,700262910.5,,103.54,EQ
11-05-2007,99.0,102.4,98.0,100.5,101.0,110.0,98.0,2991496,301427747.5,,100.76,EQ
14-05-2007,103.0,103.3,100.5,100.9,100.85,110.0,98.0,1118231,113774208.25,,101.74,EQ
15-05-2007,102.0,102.0,97.1,97.7,97.4,110.0,97.1,1479512,146216361.55,,98.83,EQ
16-05-2007,99.0,99.0,96.6,97.15,96.95,110.0,96.6,674369,65903994.9,,97.73,EQ
17-05-2007,97.75,101.2,96.65,97.2,96.65,110.0,96.6,1439051,141922886.15,,98.62,EQ
18-05-2007,97.5,97.5,94.55,95.0,94.6,110.0,94.55,706310,67792282.95,,95.98,EQ
21-05-2007,94.0,95.15,89.55,90.35,90.15,110.0,89.55,2486929,227439984.0,,91.45,EQ
22-05-2007,90.5,95.4,90.0,92.3,92.4,110.0,89.55,2758594,257915174.25,,93.5,EQ
23-05-2007,92.9,94.45,91.0,91.3,91.4,110.0,89.55,1081075,100218547.1,,92.7,EQ
24-05-2007,91.9,93.15,90.6,91.9,91.9,110.0,89.55,1054225,96810857.05,,91.83,EQ
25-05-2007,91.1,93.0,90.5,91.85,92.0,110.0,89.55,740830,68332430.9,,92.24,EQ
28-05-2007,93.95,96.7,92.85,93.1,93.3,110.0,89.55,874379,82388151.95,,94.22,EQ
29-05-2007,92.6,93.9,92.05,92.25,92.3,110.0,89.55,426051,39453618.3,,92.6,EQ
30-05-2007,91.2,93.4,87.7,88.45,88.0,110.0,87.7,852585,77145687.2,,90.48,EQ
31-05-2007,88.0,91.0,85.75,87.65,87.75,110.0,85.75,1036438,91719203.15,,88.49,EQ
01-06-2007,88.1,88.95,87.5,87.8,87.7,110.0,85.75,499479,44001815.35,,88.1,EQ
04-06-2007,88.25,98.45,88.0,93.0,92.8,110.0,85.75,3039862,286313606.15,,94.19,EQ
05-06-2007,93.8,93.8,91.8,92.1,92.2,110.0,85.75,620458,57271170.6,,92.3,EQ
06-06-2007,92.95,93.05,90.0,90.25,90.5,110.0,85.75,447408,40874423.2,,91.36,EQ
07-06-2007,90.95,90.95,89.1,89.7,89.8,110.0,85.75,350570,31501718.85,,89.86,EQ
08-06-2007,86.0,89.25,86.0,88.65,88.95,110.0,85.75,268780,23851359.6,,88.74,EQ
11-06-2007,90.0,90.0,88.2,88.65,88.7,110.0,85.75,220018,19633512.3,,89.24,EQ
12-06-2007,88.65,89.9,86.55,89.1,89.8,110.0,85.75,334058,29382065.05,,87.95,EQ
13-06-2007,89.0,89.0,87.5,87.95,88.0,110.0,85.75,148456,13086463.4,,88.15,EQ
14-06-2007,89.1,89.85,88.05,88.55,88.5,110.0,85.75,243004,21578198.8,,88.8,EQ
15-06-2007,88.7,88.95,86.75,87.2,86.95,110.0,85.75,233522,20558738.55,,88.04,EQ
18-06-2007,87.55,88.2,86.05,86.45,86.05,110.0,85.75,254222,22137927.9,,87.08,EQ
19-06-2007,86.3,86.95,85.65,86.0,85.8,110.0,85.65,139526,12034521.45,,86.25,EQ
20-06-2007,86.85,86.85,85.75,85.9,86.2,110.0,85.65,196862,16957087.95,,86.14,EQ
21-06-2007,85.55,88.0,85.3,86.25,86.05,110.0,85.3,343938,29692333.8,,86.33,EQ
22-06-2007,88.0,88.0,85.4,85.55,85.55,110.0,85.3,167747,14391700.05,,85.79,EQ
25-06-2007,85.55,85.95,84.9,85.2,85.0,110.0,84.9,169507,14470013.15,,85.37,EQ
26-06-2007,85.95,86.5,84.5,84.7,84.5,110.0,84.5,129819,11041828.9,,85.06,EQ
27-06-2007,84.1,85.15,84.0,84.1,84.0,110.0,84.0,113028,9531157.35,,84.33,EQ
28-06-2007,83.5,84.0,82.05,82.25,82.15,110.0,82.05,265083,21935508.35,,82.75,EQ
29-06-2007,83.5,84.9,81.25,82.65,82.1,110.0,81.25,539825,44684534.55,,82.78,EQ
