DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
22-02-2007,90.1,90.1,76.55,79.55,79.5,90.1,76.55,53656750,4390340739.2,,81.82,EQ
23-02-2007,80.9,82.2,78.65,80.05,80.2,90.1,76.55,17554890,1412042179.1,,80.44,EQ
26-02-2007,80.7,85.5,78.1,81.85,81.15,90.1,76.55,13470061,1110972775.6,,82.48,EQ
27-02-2007,82.0,84.35,80.2,82.6,82.1,90.1,76.55,8050388,667347010.6,,82.9,EQ
28-02-2007,78.9,80.7,74.1,78.4,79.25,90.1,74.1,4480363,353521441.3,,78.9,EQ
01-03-2007,80.5,80.55,77.8,78.05,78.1,90.1,74.1,3122780,245235715.35,,78.53,EQ
02-03-2007,86.3,86.3,77.05,79.0,79.0,90.1,74.1,2978973,235389543.5,,79.02,EQ
05-03-2007,76.5,77.9,68.6,70.75,71.0,90.1,68.6,2930744,215064245.45,,73.38,EQ
06-03-2007,74.15,75.0,68.65,70.9,71.75,90.1,68.6,3020075,217629221.2,,72.06,EQ
07-03-2007,72.9,72.9,64.0,64.65,64.7,90.1,64.0,2233027,149888181.2,,67.12,EQ
08-03-2007,68.45,68.45,61.15,65.4,65.0,90.1,61.15,2130798,138112513.75,,64.82,EQ
09-03-2007,66.0,66.75,63.55,64.05,63.55,90.1,61.15,1594394,103778014.85,,65.09,EQ
12-03-2007,64.7,70.2,63.75,69.55,69.55,90.1,61.15,2282968,156076131.25,,68.37,EQ
13-03-2007,70.2,81.3,69.6,78.05,77.55,90.1,61.15,7450148,574869260.0,,77.16,EQ
14-03-2007,75.0,75.0,71.35,72.25,71.8,90.1,61.15,2599215,191279450.95,,73.59,EQ
15-03-2007,82.0,82.0,73.45,74.35,74.0,90.1,61.15,2611703,196453737.45,,75.22,EQ
16-03-2007,75.0,75.7,71.8,73.0,73.5,90.1,61.15,1024200,74918774.3,,73.15,EQ
19-03-2007,73.7,74.9,72.7,73.5,73.5,90.1,61.15,731335,53712420.7,,73.44,EQ
20-03-2007,74.1,75.0,71.8,72.2,72.3,90.1,61.15,899272,66358030.8,,73.79,EQ
21-03-2007,72.65,76.85,71.5,75.6,76.6,90.1,61.15,1334608,99624472.6,,74.65,EQ
22-03-2007,78.0,78.95,76.5,77.1,76.7,90.1,61.15,1475778,114125398.7,,77.33,EQ
23-03-2007,78.0,78.0,73.4,73.95,74.25,90.1,61.15,870374,65128262.3,,74.83,EQ
26-03-2007,74.5,74.5,68.9,69.9,70.35,90.1,61.15,1055304,74921256.2,,70.99,EQ
28-03-2007,69.0,72.3,68.3,71.2,71.3,90.1,61.15,675802,47977664.8,,70.99,EQ
29-03-2007,70.95,74.0,70.5,73.7,73.75,90.1,61.15,638136,46171211.4,,72.35,EQ
30-03-2007,73.2,74.0,72.0,72.25,72.3,90.1,61.15,300215,21926665.25,,73.04,EQ
02-04-2007,71.0,72.0,70.0,70.2,70.25,90.1,61.15,211212,14937043.9,,70.72,EQ
03-04-2007,71.0,71.9,69.5,71.05,71.0,90.1,61.15,266046,18740280.2,,70.44,EQ
04-04-2007,71.4,73.0,70.55,71.3,71.55,90.1,61.15,358760,25678171.3,,71.57,EQ
05-04-2007,71.5,72.75,70.55,71.1,71.0,90.1,61.15,312766,22350602.6,,71.46,EQ
09-04-2007,71.9,73.5,71.55,72.1,72.0,90.1,61.15,421326,30470979.6,,72.32,EQ
10-04-2007,72.5,73.95,72.0,73.3,73.2,90.1,61.15,680905,49858543.75,,73.22,EQ
11-04-2007,73.4,74.85,72.85,73.8,73.7,90.1,61.15,565874,41794549.9,,73.86,EQ
12-04-2007,72.3,75.4,72.25,74.25,74.25,90.1,61.15,476789,35382988.15,,74.21,EQ
13-04-2007,75.5,76.7,74.0,75.4,75.2,90.1,61.15,952755,71977500.85,,75.55,EQ
16-04-2007,76.0,77.95,75.75,76.6,76.7,90.1,61.15,729585,56243531.3,,77.09,EQ
17-04-2007,76.75,81.7,74.65,78.75,78.8,90.1,61.15,2157772,170792355.9,,79.15,EQ
18-04-2007,79.6,80.85,77.1,77.4,77.1,90.1,61.15,1148816,90979273.85,,79.19,EQ
19-04-2007,77.0,78.9,75.85,78.15,78.9,90.1,61.15,688076,53457863.35,,77.69,EQ
20-04-2007,78.95,80.5,78.0,78.45,78.0,90.1,61.15,492279,38831672.4,,78.88,EQ
23-04-2007,78.8,91.25,78.8,86.4,86.7,91.25,61.15,13295497,1154902532.5,,86.86,EQ
24-04-2007,88.45,88.7,83.55,84.3,84.4,91.25,61.15,4198618,363214856.95,,86.51,EQ
25-04-2007,85.0,88.5,83.7,85.55,85.85,91.25,61.15,4905672,425741522.15,,86.79,EQ
26-04-2007,87.1,88.0,84.0,84.85,85.0,91.25,61.15,1692931,145944607.9,,86.21,EQ
27-04-2007,87.25,87.9,81.1,82.4,82.5,91.25,61.15,3748311,317673246.7,,84.75,EQ
30-04-2007,82.5,83.6,80.75,81.65,82.0,91.25,61.15,2211708,181731471.65,,82.17,EQ
03-05-2007,82.8,91.45,82.5,89.15,88.85,91.45,61.15,9805125,871868541.3,,88.92,EQ
04-05-2007,90.0,92.4,87.15,88.0,88.15,92.4,61.15,6762900,607262944.65,,89.79,EQ
07-05-2007,89.0,91.3,88.0,88.45,88.2,92.4,61.15,4078224,365317927.95,,89.58,EQ
08-05-2007,88.9,89.6,84.75,85.15,85.4,92.4,61.15,1737301,151655794.55,,87.29,EQ
09-05-2007,85.55,87.2,84.0,86.15,86.15,92.4,61.15,1605104,137689795.25,,85.78,EQ
10-05-2007,87.4,89.0,85.3,85.7,85.85,92.4,61.15,1856754,161935575.2,,87.21,EQ
11-05-2007,85.0,86.3,83.5,85.05,84.95,92.4,61.15,1621701,138248408.25,,85.25,EQ
14-05-2007,86.6,89.0,86.25,87.45,87.8,92.4,61.15,2160491,189881558.15,,87.89,EQ
15-05-2007,88.35,93.2,86.75,91.85,91.55,93.2,61.15,8536158,781465682.05,,91.55,EQ
16-05-2007,92.0,92.75,89.2,89.6,89.8,93.2,61.15,2834721,257531844.8,,90.85,EQ
17-05-2007,90.3,92.3,89.1,89.9,90.0,93.2,61.15,2197910,199815799.7,,90.91,EQ
18-05-2007,90.0,92.0,88.3,89.15,89.2,93.2,61.15,2397794,216952155.15,,90.48,EQ
21-05-2007,90.1,91.4,88.5,88.75,88.8,93.2,61.15,1603687,143953987.3,,89.76,EQ
22-05-2007,89.0,89.45,84.5,85.35,85.1,93.2,61.15,2343545,203127185.65,,86.68,EQ
23-05-2007,86.0,86.8,81.5,81.9,82.0,93.2,61.15,2839718,239383024.65,,84.3,EQ
24-05-2007,82.25,85.0,82.05,83.7,84.0,93.2,61.15,1907547,159982478.1,,83.87,EQ
25-05-2007,83.15,85.4,82.05,84.6,85.4,93.2,61.15,1227045,102978019.45,,83.92,EQ
28-05-2007,86.0,86.5,83.75,84.2,84.4,93.2,61.15,1232117,104752557.65,,85.02,EQ
29-05-2007,85.25,85.25,83.05,83.45,83.7,93.2,61.15,764212,64023098.5,,83.78,EQ
30-05-2007,84.0,84.35,82.05,82.25,82.4,93.2,61.15,752070,62495393.65,,83.1,EQ
31-05-2007,83.0,83.4,82.05,82.55,82.8,93.2,61.15,550267,45583048.4,,82.84,EQ
01-06-2007,83.0,86.75,82.5,85.2,85.4,93.2,61.15,2722923,232477098.0,,85.38,EQ
04-06-2007,86.0,87.8,84.0,84.55,84.65,93.2,61.15,1842583,158772924.8,,86.17,EQ
05-06-2007,85.0,85.05,84.0,84.55,84.5,93.2,61.15,640674,54020572.05,,84.32,EQ
06-06-2007,85.0,88.3,84.0,84.2,84.0,93.2,61.15,3968416,342282565.5,,86.25,EQ
07-06-2007,83.9,85.4,83.4,84.5,84.7,93.2,61.15,1295918,109599040.65,,84.57,EQ
08-06-2007,84.0,84.5,82.0,82.85,82.55,93.2,61.15,870139,72723729.35,,83.58,EQ
11-06-2007,83.95,85.5,82.15,82.35,82.35,93.2,61.15,768290,64374577.85,,83.79,EQ
12-06-2007,83.3,83.3,80.6,81.7,82.15,93.2,61.15,898475,73405889.15,,81.7,EQ
13-06-2007,81.75,82.4,80.7,81.4,81.3,93.2,61.15,549372,44765515.1,,81.48,EQ
14-06-2007,82.0,83.7,81.65,83.1,83.55,93.2,61.15,792514,65567214.0,,82.73,EQ
15-06-2007,83.8,87.0,82.8,84.65,84.65,93.2,61.15,2797490,238879800.65,,85.39,EQ
18-06-2007,85.1,85.8,83.0,83.25,83.15,93.2,61.15,784353,66179972.0,,84.38,EQ
19-06-2007,83.4,83.85,82.5,83.15,83.25,93.2,61.15,474523,39381295.15,,82.99,EQ
20-06-2007,83.15,85.7,83.15,85.2,85.5,93.2,61.15,679415,57437904.45,,84.54,EQ
21-06-2007,85.7,88.5,85.1,87.5,87.0,93.2,61.15,2639580,230361185.1,,87.27,EQ
22-06-2007,88.1,88.1,85.4,85.85,86.15,93.2,61.15,815187,70392043.8,,86.35,EQ
25-06-2007,86.05,86.05,83.2,83.6,83.85,93.2,61.15,782852,66099460.2,,84.43,EQ
26-06-2007,84.15,84.35,83.5,83.75,84.0,93.2,61.15,391244,32856979.55,,83.98,EQ
27-06-2007,84.0,84.25,83.0,83.15,83.05,93.2,61.15,363672,30355860.95,,83.47,EQ
28-06-2007,88.0,88.5,83.25,83.6,83.6,93.2,61.15,353397,29643969.85,,83.88,EQ
29-06-2007,84.0,85.75,83.6,84.2,84.0,93.2,61.15,536329,45300686.9,,84.46,EQ
02-07-2007,84.5,86.5,83.75,85.8,86.3,93.2,61.15,1048114,89326114.5,,85.23,EQ
03-07-2007,86.0,87.35,84.4,84.65,84.6,93.2,61.15,648392,55685042.9,,85.88,EQ
04-07-2007,85.0,85.0,83.5,84.0,84.05,93.2,61.15,272809,22940492.75,,84.09,EQ
05-07-2007,84.45,84.45,82.0,82.4,82.2,93.2,61.15,371049,30680306.8,,82.69,EQ
06-07-2007,83.0,83.4,81.8,81.95,82.0,93.2,61.15,846992,69742968.25,,82.34,EQ
09-07-2007,82.9,83.4,82.35,82.7,82.9,93.2,61.15,318277,26363023.35,,82.83,EQ
10-07-2007,82.75,84.25,82.0,82.15,82.2,93.2,61.15,400698,33251996.9,,82.99,EQ
11-07-2007,82.0,82.4,80.25,81.25,81.6,93.2,61.15,285484,23307911.65,,81.64,EQ
12-07-2007,82.05,83.5,80.5,81.0,81.0,93.2,61.15,725769,59087532.1,,81.41,EQ
13-07-2007,82.8,83.0,80.45,80.7,80.65,93.2,61.15,513692,41720488.4,,81.22,EQ
16-07-2007,81.9,81.9,79.6,80.1,79.9,93.2,61.15,405361,32506021.8,,80.19,EQ
17-07-2007,80.1,80.75,78.2,78.45,78.4,93.2,61.15,492853,39307328.4,,79.75,EQ
18-07-2007,78.45,80.6,77.1,78.9,79.1,93.2,61.15,616259,48689449.15,,79.01,EQ
19-07-2007,79.95,81.5,79.1,79.9,79.85,93.2,61.15,758353,60703547.3,,80.05,EQ
20-07-2007,80.5,83.3,80.0,82.35,83.3,93.2,61.15,1037179,84840916.8,,81.8,EQ
23-07-2007,83.0,84.25,81.5,82.0,81.7,93.2,61.15,709711,58833031.25,,82.9,EQ
24-07-2007,81.0,82.45,80.9,81.05,81.0,93.2,61.15,390724,31761443.4,,81.29,EQ
25-07-2007,81.0,81.0,78.6,79.3,79.3,93.2,61.15,301956,23960937.25,,79.35,EQ
26-07-2007,80.0,84.25,80.0,81.55,81.85,93.2,61.15,433085,35565501.45,,82.12,EQ
27-07-2007,77.0,81.1,77.0,77.3,77.75,93.2,61.15,663991,52080450.85,,78.44,EQ
30-07-2007,79.0,80.8,78.3,78.95,78.95,93.2,61.15,555122,44107946.65,,79.46,EQ
31-07-2007,80.4,82.3,79.25,81.8,82.0,93.2,61.15,689366,55759572.25,,80.89,EQ
01-08-2007,81.0,81.9,78.55,79.0,79.0,93.2,61.15,397866,31760848.7,,79.83,EQ
02-08-2007,79.05,79.5,78.0,78.1,78.05,93.2,61.15,249024,19585489.3,,78.65,EQ
03-08-2007,79.0,79.8,78.1,78.45,78.25,93.2,61.15,209254,16505762.8,,78.88,EQ
06-08-2007,78.0,80.5,76.5,80.05,80.5,93.2,61.15,347397,27234494.4,,78.4,EQ
07-08-2007,80.1,81.0,78.0,79.15,79.2,93.2,61.15,254445,20324669.65,,79.88,EQ
08-08-2007,80.35,83.25,80.0,82.9,82.7,93.2,61.15,736350,60239445.6,,81.81,EQ
09-08-2007,83.85,84.75,79.05,79.7,79.4,93.2,61.15,602862,49457316.0,,82.04,EQ
10-08-2007,78.5,79.4,77.35,77.95,78.35,93.2,61.15,602921,47176598.5,,78.25,EQ
13-08-2007,78.5,79.6,78.0,78.45,78.5,93.2,61.15,175559,13812797.45,,78.68,EQ
14-08-2007,79.8,80.0,78.0,78.1,78.2,93.2,61.15,124136,9719488.15,,78.3,EQ
16-08-2007,77.0,77.25,75.1,76.85,76.5,93.2,61.15,477747,36718216.05,,76.86,EQ
17-08-2007,77.7,78.2,74.6,75.1,75.2,93.2,61.15,298366,22566758.85,,75.63,EQ
20-08-2007,77.55,77.6,73.4,74.2,74.0,93.2,61.15,481259,36089973.2,,74.99,EQ
21-08-2007,75.45,75.45,69.15,69.85,70.2,93.2,61.15,513737,36767766.45,,71.57,EQ
22-08-2007,70.0,72.15,69.2,70.25,70.9,93.2,61.15,817110,57809152.4,,70.75,EQ
23-08-2007,72.0,80.0,70.05,70.45,70.75,93.2,61.15,361204,26075441.65,,72.19,EQ
24-08-2007,70.15,71.85,69.05,70.65,70.9,93.2,61.15,157629,11115168.05,,70.51,EQ
27-08-2007,72.45,75.0,72.45,73.2,73.5,93.2,61.15,360702,26419980.35,,73.25,EQ
28-08-2007,73.8,73.8,71.8,72.25,72.35,93.2,61.15,150841,10908491.3,,72.32,EQ
29-08-2007,72.0,80.65,70.3,79.5,79.4,93.2,61.15,2600724,204199060.25,,78.52,EQ
30-08-2007,81.5,83.2,79.8,80.55,80.75,93.2,61.15,2111665,172699930.65,,81.78,EQ
31-08-2007,78.6,84.4,78.6,83.85,84.0,93.2,61.15,1293507,107661981.0,,83.23,EQ
03-09-2007,84.25,84.35,80.65,80.95,80.9,93.2,61.15,486057,39784158.4,,81.85,EQ
04-09-2007,81.7,84.0,81.0,83.8,83.7,93.2,61.15,543993,45095458.15,,82.9,EQ
05-09-2007,84.0,84.8,81.85,82.95,83.0,93.2,61.15,277984,23010590.25,,82.78,EQ
06-09-2007,81.1,82.7,80.9,81.2,81.25,93.2,61.15,276363,22548557.0,,81.59,EQ
07-09-2007,81.5,83.0,81.0,81.2,81.5,93.2,61.15,234423,19197643.5,,81.89,EQ
10-09-2007,80.0,81.6,80.0,80.9,81.0,93.2,61.15,181253,14662982.2,,80.9,EQ
11-09-2007,80.15,81.85,80.15,80.75,80.8,93.2,61.15,134845,10922536.6,,81.0,EQ
12-09-2007,81.9,82.5,80.65,81.6,81.0,93.2,61.15,374080,30613092.0,,81.84,EQ
13-09-2007,81.9,82.0,78.5,80.85,81.05,93.2,61.15,1270821,102918016.35,,80.99,EQ
14-09-2007,81.3,82.25,79.6,80.0,80.0,93.2,61.15,284289,22969138.3,,80.8,EQ
17-09-2007,80.2,80.7,77.7,78.05,77.9,93.2,61.15,131010,10319603.8,,78.77,EQ
18-09-2007,78.2,79.6,78.0,78.75,78.85,93.2,61.15,266608,21011329.8,,78.81,EQ
19-09-2007,80.5,80.55,77.25,77.55,77.7,93.2,61.15,305166,23841731.7,,78.13,EQ
20-09-2007,78.0,79.4,76.55,77.05,76.55,93.2,61.15,276797,21552993.8,,77.87,EQ
21-09-2007,76.75,77.0,73.35,74.3,74.5,93.2,61.15,463472,34622469.3,,74.7,EQ
