DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
15-11-2022,359.5,364.8,321.1,324.8,323.4,364.8,321.1,16728869,5750900727.8,162201,343.77,EQ
16-11-2022,325.0,348.65,323.5,345.45,343.9,364.8,321.1,3678285,1249159938.5,41398,339.6,EQ
17-11-2022,343.0,346.4,334.3,340.45,342.2,364.8,321.1,598178,203584878.15,14595,340.34,EQ
18-11-2022,341.95,344.5,335.0,336.65,335.0,364.8,321.1,382364,129418826.4,8287,338.47,EQ
21-11-2022,336.0,347.0,327.7,342.95,343.0,364.8,321.1,1246319,423637618.5,14121,339.91,EQ
22-11-2022,340.1,347.0,339.0,341.7,342.5,364.8,321.1,399287,136529627.6,6287,341.93,EQ
23-11-2022,341.7,343.9,335.05,337.3,339.0,364.8,321.1,194186,65850467.25,4662,339.11,EQ
24-11-2022,339.9,356.0,338.0,345.65,344.8,364.8,321.1,845293,294235486.95,15551,348.09,EQ
25-11-2022,347.2,365.9,347.2,360.25,362.75,365.9,321.1,1847437,664438369.2,34677,359.65,EQ
28-11-2022,365.0,378.55,363.65,375.35,378.05,378.55,321.1,2421780,897852381.85,33648,370.74,EQ
29-11-2022,386.0,391.0,363.85,366.15,364.0,391.0,321.1,2731172,1030211654.75,40455,377.2,EQ
30-11-2022,368.0,370.8,360.25,366.9,370.0,391.0,321.1,719966,263260088.55,9767,365.66,EQ
01-12-2022,371.4,379.0,370.3,373.55,372.95,391.0,321.1,1070080,400722046.7,13466,374.48,EQ
02-12-2022,373.55,382.0,369.0,379.95,378.5,391.0,321.1,1111142,419838580.8,12780,377.84,EQ
05-12-2022,381.85,384.0,376.05,381.95,380.8,391.0,321.1,547728,208557923.8,9402,380.77,EQ
06-12-2022,380.15,387.7,375.0,380.3,380.65,391.0,321.1,430531,164436350.4,7321,381.94,EQ
07-12-2022,379.7,403.2,379.1,389.55,389.0,403.2,321.1,1990339,785489577.2,32311,394.65,EQ
08-12-2022,392.5,394.6,385.5,387.95,392.95,403.2,321.1,408752,159338888.05,8609,389.82,EQ
09-12-2022,390.0,390.75,374.4,376.75,376.5,403.2,321.1,311271,118761396.25,5332,381.54,EQ
12-12-2022,375.95,399.5,374.45,390.0,390.0,403.2,321.1,987898,386713060.45,20730,391.45,EQ
