DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
02-04-1997,98.0,98.0,98.0,98.0,,0.0,0.0,100,9800.0,,98.0,EQ
03-04-1997,107.5,107.5,105.0,106.5,,98.0,98.0,11600,1244280.0,,107.27,EQ
04-04-1997,112.0,113.65,110.1,113.55,,107.5,98.0,33100,3758470.0,,113.55,EQ
07-04-1997,113.65,113.65,110.25,110.8,,113.65,98.0,16500,1850505.0,,112.15,EQ
09-04-1997,121.0,121.85,120.0,121.85,,113.65,98.0,45700,5556120.0,,121.58,EQ
10-04-1997,121.0,129.75,116.05,121.7,,121.85,98.0,41400,5090495.0,,122.96,EQ
11-04-1997,119.0,124.0,117.5,119.2,,129.75,98.0,23600,2839130.0,,120.3,EQ
12-04-1997,119.05,120.85,116.0,118.2,,129.75,98.0,9300,1100325.0,,118.31,EQ
15-04-1997,122.0,124.5,114.0,116.25,,129.75,98.0,33300,3968735.0,,119.18,EQ
17-04-1997,120.3,123.75,118.0,121.9,,129.75,98.0,75900,9081245.0,,119.65,EQ
21-04-1997,125.0,125.0,120.1,122.25,,129.75,98.0,6200,757920.0,,122.25,EQ
22-04-1997,122.5,122.5,118.05,118.2,,129.75,98.0,12800,1523100.0,,118.99,EQ
23-04-1997,123.2,123.2,119.3,121.0,,129.75,98.0,45800,5533230.0,,120.81,EQ
24-04-1997,116.5,133.1,116.5,130.7,,129.75,98.0,56400,7156975.0,,126.9,EQ
25-04-1997,132.75,143.75,131.5,140.05,,133.1,98.0,61900,8617625.0,,139.22,EQ
28-04-1997,140.0,147.0,140.0,146.05,,143.75,98.0,188000,27362315.0,,145.54,EQ
29-04-1997,146.55,147.6,142.75,145.1,,147.0,98.0,41600,6082485.0,,146.21,EQ
30-04-1997,155.0,159.6,149.25,152.5,,147.6,98.0,108100,16931035.0,,156.62,EQ
02-05-1997,151.05,152.65,145.75,147.6,,159.6,98.0,55700,8287385.0,,148.79,EQ
05-05-1997,140.0,146.7,139.0,143.8,,159.6,98.0,20600,2964190.0,,143.89,EQ
06-05-1997,144.0,146.5,129.65,134.1,,159.6,98.0,172600,23313665.0,,135.07,EQ
07-05-1997,138.0,147.55,133.0,147.55,,159.6,98.0,178300,24781620.0,,138.99,EQ
08-05-1997,149.8,154.8,147.75,148.25,,159.6,98.0,111300,16821575.0,,151.14,EQ
09-05-1997,149.75,149.95,145.0,148.45,,159.6,98.0,18300,2703125.0,,147.71,EQ
12-05-1997,146.0,149.0,142.1,143.05,,159.6,98.0,31800,4619390.0,,145.26,EQ
13-05-1997,140.6,145.7,138.0,141.95,,159.6,98.0,64000,9086895.0,,141.98,EQ
14-05-1997,148.0,150.0,143.15,147.85,,159.6,98.0,68100,9917305.0,,145.63,EQ
15-05-1997,148.9,152.0,146.5,149.75,,159.6,98.0,56200,8412380.0,,149.69,EQ
16-05-1997,149.95,150.0,148.0,148.8,,159.6,98.0,23200,3456075.0,,148.97,EQ
19-05-1997,150.0,151.7,148.5,149.05,,159.6,98.0,33300,4990595.0,,149.87,EQ
20-05-1997,149.15,149.15,142.0,143.9,,159.6,98.0,49500,7169155.0,,144.83,EQ
21-05-1997,147.0,149.0,144.15,144.95,,159.6,98.0,17100,2506080.0,,146.55,EQ
22-05-1997,145.9,145.9,143.55,143.8,,159.6,98.0,2500,360455.0,,144.18,EQ
23-05-1997,143.95,144.95,140.5,142.55,,159.6,98.0,9600,1366990.0,,142.39,EQ
26-05-1997,141.25,141.55,131.05,134.55,,159.6,98.0,25800,3518300.0,,136.37,EQ
27-05-1997,132.35,135.0,127.0,131.1,,159.6,98.0,25600,3354610.0,,131.04,EQ
28-05-1997,136.0,142.0,133.1,140.8,,159.6,98.0,74800,10427205.0,,139.4,EQ
29-05-1997,138.05,145.0,138.05,144.95,,159.6,98.0,154300,22180055.0,,143.75,EQ
30-05-1997,145.8,158.0,145.8,154.45,,159.6,98.0,79100,11969285.0,,151.32,EQ
02-06-1997,154.0,157.75,151.05,154.4,,159.6,98.0,52800,8168240.0,,154.7,EQ
03-06-1997,155.0,159.0,155.0,157.8,,159.6,98.0,200400,31729555.0,,158.33,EQ
04-06-1997,159.0,164.95,157.5,161.9,,159.6,98.0,181700,29569610.0,,162.74,EQ
