DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
09-09-2024,721.1,757.15,721.1,757.15,757.15,757.15,721.1,788897,581676586.55,18562,737.33,BE
10-09-2024,759.0,774.0,725.0,741.75,739.0,774.0,721.1,569060,424907369.0,36024,746.68,BE
11-09-2024,720.0,726.95,704.7,721.75,722.1,774.0,704.7,273664,196241879.7,10356,717.09,BE
12-09-2024,697.05,719.0,685.7,708.35,712.0,774.0,685.7,241736,168794787.15,9576,698.26,BE
13-09-2024,699.0,743.75,699.0,743.75,743.75,774.0,685.7,215206,157818459.15,4342,733.34,BE
16-09-2024,756.95,758.0,708.0,720.55,723.0,774.0,685.7,136949,100010480.75,4838,730.28,BE
17-09-2024,720.55,720.55,694.8,704.9,706.0,774.0,685.7,78646,55174338.75,5709,701.55,BE
18-09-2024,682.0,708.0,682.0,693.45,695.25,774.0,682.0,52664,36560015.25,4255,694.21,BE
19-09-2024,691.0,722.2,691.0,712.7,719.0,774.0,682.0,112195,79472131.5,3592,708.34,BE
20-09-2024,723.0,730.0,695.0,724.8,722.05,774.0,682.0,83338,60005891.0,3666,720.03,BE
23-09-2024,735.0,819.0,725.0,800.7,797.55,819.0,682.0,594185,466110464.6,18520,784.45,EQ
24-09-2024,802.95,803.85,771.0,780.3,782.0,819.0,682.0,110481,86499002.9,4559,782.93,EQ
25-09-2024,775.0,783.45,754.0,765.4,763.05,819.0,682.0,84062,64156616.9,3708,763.21,EQ
26-09-2024,765.1,789.9,759.1,785.05,784.0,819.0,682.0,110564,85914165.7,5210,777.05,EQ
27-09-2024,787.0,870.0,776.3,828.45,828.0,870.0,682.0,370823,307926618.55,21038,830.39,EQ
30-09-2024,826.0,826.95,768.0,792.7,792.0,870.0,682.0,147684,116633094.7,10596,789.75,EQ
01-10-2024,782.0,811.0,780.0,799.45,810.0,870.0,682.0,49569,39145385.25,2692,789.72,EQ
03-10-2024,780.0,791.25,751.0,772.5,775.0,870.0,682.0,91849,70922436.05,4730,772.16,EQ
04-10-2024,769.7,784.25,745.0,773.8,764.1,870.0,682.0,79329,61277043.4,3231,772.44,EQ
07-10-2024,774.0,790.0,722.25,732.0,730.0,870.0,682.0,124886,93750050.85,7789,750.69,EQ
08-10-2024,721.1,798.0,720.1,788.55,790.0,870.0,682.0,89594,68703712.6,4172,766.83,EQ
09-10-2024,800.4,825.0,788.55,812.75,814.0,870.0,682.0,69047,55788136.8,3718,807.97,EQ
10-10-2024,811.6,840.0,810.0,827.1,830.0,870.0,682.0,72548,59976520.7,3920,826.72,EQ
11-10-2024,826.9,839.95,815.0,828.85,830.4,870.0,682.0,52819,43706096.8,3597,827.47,EQ
14-10-2024,830.0,850.0,810.0,830.45,828.0,870.0,682.0,57756,47787877.5,4408,827.41,EQ
15-10-2024,824.0,839.6,815.0,817.65,815.0,870.0,682.0,39400,32419741.45,3319,822.84,EQ
16-10-2024,825.85,944.9,814.15,927.6,925.0,944.9,682.0,479508,433672781.05,26847,904.41,EQ
17-10-2024,930.0,975.0,903.0,919.75,921.0,975.0,682.0,255885,240189459.95,17143,938.66,EQ
18-10-2024,940.0,959.95,905.0,938.1,940.0,975.0,682.0,142144,133004607.65,9020,935.7,EQ
21-10-2024,940.0,948.0,861.1,897.2,886.0,975.0,682.0,57727,52957342.95,5701,917.38,EQ
22-10-2024,897.15,910.1,822.5,837.2,842.0,975.0,682.0,98220,84384212.15,8327,859.13,EQ
23-10-2024,837.0,924.65,837.0,893.55,919.55,975.0,682.0,104305,90994215.95,6874,872.39,EQ
24-10-2024,910.0,941.5,900.0,911.1,900.0,975.0,682.0,102548,94285942.5,7763,919.43,EQ
25-10-2024,903.0,903.0,836.0,845.95,869.9,975.0,682.0,105858,90681519.6,6350,856.63,EQ
28-10-2024,875.0,896.8,850.75,878.5,875.0,975.0,682.0,64107,56124558.15,4745,875.48,EQ
29-10-2024,877.0,960.05,867.05,940.1,958.0,975.0,682.0,114519,105075924.65,8392,917.54,EQ
30-10-2024,989.0,1128.1,954.05,1113.55,1128.1,1128.1,682.0,660844,696465492.2,34273,1053.9,EQ
31-10-2024,1174.95,1225.0,1092.2,1135.15,1110.0,1225.0,682.0,614625,717923163.2,37462,1168.07,EQ
01-11-2024,1127.65,1173.95,1101.8,1143.2,1139.0,1225.0,682.0,38748,44309033.7,2423,1143.52,EQ
04-11-2024,1139.85,1139.85,1043.85,1068.5,1078.75,1225.0,682.0,111063,121616065.85,9127,1095.02,EQ
05-11-2024,1065.95,1161.95,1052.75,1083.0,1085.0,1225.0,682.0,160499,177769116.1,10134,1107.6,EQ
06-11-2024,1097.25,1142.15,1072.0,1118.8,1112.0,1225.0,682.0,78027,85543691.55,4875,1096.33,EQ
07-11-2024,1137.95,1342.55,1124.55,1310.35,1275.0,1342.55,682.0,614448,780833667.1,29388,1270.79,EQ
08-11-2024,1277.95,1284.4,1200.0,1217.75,1218.0,1342.55,682.0,154817,193192269.0,10814,1247.88,EQ
11-11-2024,1217.75,1314.45,1178.2,1228.4,1221.5,1342.55,682.0,205128,258349512.65,15225,1259.46,EQ
12-11-2024,1228.4,1296.0,1201.0,1210.45,1201.0,1342.55,682.0,100420,125286335.8,7812,1247.62,EQ
13-11-2024,1218.0,1235.85,1125.1,1139.05,1144.0,1342.55,682.0,117318,136778905.85,11703,1165.88,EQ
14-11-2024,1149.0,1195.0,1050.0,1073.9,1074.05,1342.55,682.0,119036,133822554.2,10722,1124.22,EQ
18-11-2024,1089.95,1147.45,1062.0,1115.4,1105.0,1342.55,682.0,121520,134742441.05,8463,1108.81,EQ
19-11-2024,1131.15,1196.9,1082.5,1108.7,1095.0,1342.55,682.0,108184,124377565.65,6269,1149.69,EQ
21-11-2024,1122.65,1122.65,1013.35,1067.35,1070.0,1342.55,682.0,69434,74422065.05,5881,1071.84,EQ
22-11-2024,1060.0,1099.0,1060.0,1070.35,1066.0,1342.55,682.0,38323,41196501.5,2120,1074.98,EQ
25-11-2024,1127.95,1127.95,1064.2,1072.4,1075.7,1342.55,682.0,45011,49373686.25,2578,1096.92,EQ
26-11-2024,1079.0,1112.0,1065.2,1085.7,1082.1,1342.55,682.0,21077,22936659.85,1885,1088.23,EQ
27-11-2024,1130.0,1130.0,1045.0,1057.15,1060.0,1342.55,682.0,39462,42568275.6,2369,1078.72,EQ
