DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
31-01-2007,167.0,168.75,149.5,149.95,149.5,168.75,149.5,3738,597965.5,,159.97,EQ
01-02-2007,148.05,154.0,141.0,153.95,154.0,168.75,141.0,1041,153967.45,,147.9,EQ
02-02-2007,152.0,152.0,146.1,146.1,146.1,168.75,141.0,242,36105.6,,149.2,EQ
05-02-2007,156.9,168.8,155.0,155.85,155.0,168.8,141.0,590,95858.85,,162.47,EQ
06-02-2007,168.0,168.0,156.1,156.1,156.1,168.8,141.0,45,7430.5,,165.12,EQ
07-02-2007,148.0,166.0,148.0,151.55,151.5,168.8,141.0,2300,359289.5,,156.21,EQ
08-02-2007,159.25,159.25,156.0,156.1,156.0,168.8,141.0,325,51080.0,,157.17,EQ
09-02-2007,142.35,160.0,142.35,150.05,150.05,168.8,141.0,515,79133.0,,153.66,EQ
12-02-2007,143.6,143.6,143.6,143.6,143.6,168.8,141.0,25,3590.0,,143.6,EQ
19-02-2007,143.05,149.0,143.05,149.0,149.0,168.8,141.0,202,28904.0,,143.09,EQ
20-02-2007,144.0,155.0,144.0,148.0,148.0,168.8,141.0,13000,1954400.0,,150.34,EQ
22-02-2007,144.0,154.0,144.0,149.3,152.5,168.8,141.0,8000,1193800.0,,149.23,EQ
23-02-2007,143.0,155.5,142.8,146.0,149.0,168.8,141.0,26125,3837625.0,,146.89,EQ
26-02-2007,141.3,141.3,141.0,141.0,141.0,168.8,141.0,200,28215.0,,141.08,EQ
27-02-2007,140.2,154.45,140.2,140.75,140.75,168.8,140.2,70,9962.0,,142.31,EQ
28-02-2007,138.0,149.0,138.0,143.0,138.0,168.8,138.0,2200,314600.0,,143.0,EQ
01-03-2007,139.9,148.1,139.9,140.85,144.0,168.8,138.0,4125,593605.0,,143.9,EQ
02-03-2007,142.0,142.0,135.2,139.25,135.2,168.8,135.2,75,10445.6,,139.27,EQ
05-03-2007,125.0,150.0,125.0,139.2,147.9,168.8,125.0,14430,2002119.65,,138.75,EQ
07-03-2007,136.0,138.5,134.0,138.5,138.5,168.8,125.0,260,35265.0,,135.63,EQ
08-03-2007,141.0,141.0,135.0,138.0,138.0,168.8,125.0,2225,306925.0,,137.94,EQ
09-03-2007,138.0,140.0,138.0,140.0,140.0,168.8,125.0,55,7640.0,,138.91,EQ
13-03-2007,134.05,147.5,134.05,146.0,146.0,168.8,125.0,1065,149951.25,,140.8,EQ
14-03-2007,146.0,146.0,138.0,138.0,138.0,168.8,125.0,12,1702.5,,141.88,EQ
