DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
03-04-2007,79.0,83.0,72.05,80.4,80.95,83.0,72.05,40972,3195263.9,,77.99,EQ
04-04-2007,83.0,84.95,77.0,79.45,81.0,84.95,72.05,7285,589444.95,,80.91,EQ
05-04-2007,81.0,81.0,76.05,78.75,78.5,84.95,72.05,4267,338157.9,,79.25,EQ
09-04-2007,81.0,81.0,79.05,79.95,80.0,84.95,72.05,7350,587562.5,,79.94,EQ
10-04-2007,80.0,83.0,80.0,81.8,81.1,84.95,72.05,5599,460576.95,,82.26,EQ
11-04-2007,80.65,85.0,80.65,82.4,83.0,85.0,72.05,10074,844139.05,,83.79,EQ
12-04-2007,81.0,86.0,81.0,85.8,86.0,86.0,72.05,40204,3372295.25,,83.88,EQ
13-04-2007,85.0,87.0,85.0,86.0,86.0,87.0,72.05,11534,992250.0,,86.03,EQ
16-04-2007,88.0,98.45,88.0,95.85,95.95,98.45,72.05,44740,4213800.6,,94.18,EQ
17-04-2007,97.9,97.9,95.0,95.1,95.5,98.45,72.05,65872,6280906.35,,95.35,EQ
18-04-2007,94.0,96.95,89.0,90.75,92.55,98.45,72.05,8139,761526.4,,93.57,EQ
19-04-2007,90.3,94.9,90.0,92.4,93.0,98.45,72.05,2452,224985.8,,91.76,EQ
20-04-2007,95.0,95.0,91.05,93.0,91.05,98.45,72.05,6711,632824.7,,94.3,EQ
23-04-2007,95.3,101.5,94.1,95.45,96.0,101.5,72.05,6691,644332.45,,96.3,EQ
24-04-2007,97.5,107.0,96.35,105.05,105.5,107.0,72.05,56060,5831942.35,,104.03,EQ
25-04-2007,109.0,119.9,103.0,115.9,118.8,119.9,72.05,58908,6603536.35,,112.1,EQ
26-04-2007,120.0,121.0,111.0,112.6,112.9,121.0,72.05,62814,7347685.8,,116.98,EQ
