DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
10-10-2017,5.7,5.7,5.65,5.65,5.65,5.7,5.65,51494,290941.15,33,5.65,EQ
12-10-2017,5.4,5.4,5.4,5.4,5.4,5.7,5.4,5,27.0,1,5.4,EQ
13-10-2017,5.15,5.65,5.15,5.25,5.65,5.7,5.15,454508,2359152.2,85,5.19,EQ
16-10-2017,5.25,5.25,5.0,5.0,5.0,5.7,5.0,34811,174413.75,63,5.01,EQ
17-10-2017,4.75,5.25,4.75,5.25,5.25,5.7,4.75,13349,68267.45,36,5.11,EQ
18-10-2017,5.0,5.2,5.0,5.0,5.0,5.7,4.75,8072,40464.65,21,5.01,EQ
19-10-2017,4.75,5.15,4.75,4.75,4.95,5.7,4.75,42161,200271.85,32,4.75,EQ
23-10-2017,4.55,4.95,4.55,4.8,4.65,5.7,4.55,27783,132474.35,35,4.77,EQ
24-10-2017,4.6,4.6,4.6,4.6,4.6,5.7,4.55,3959,18211.4,17,4.6,EQ
25-10-2017,4.8,4.8,4.4,4.4,4.4,5.7,4.4,2003,8833.6,15,4.41,EQ
26-10-2017,4.2,4.2,4.2,4.2,4.2,5.7,4.2,4187,17585.4,9,4.2,EQ
27-10-2017,4.0,4.0,4.0,4.0,4.0,5.7,4.0,137345,549380.0,14,4.0,EQ
30-10-2017,3.8,3.8,3.8,3.8,3.8,5.7,3.8,3939,14968.2,12,3.8,EQ
31-10-2017,3.65,3.85,3.65,3.65,3.65,5.7,3.65,285735,1094174.2,47,3.83,EQ
01-11-2017,3.65,3.8,3.5,3.55,3.55,5.7,3.5,17266,63355.35,37,3.67,EQ
02-11-2017,3.5,3.65,3.5,3.5,3.5,5.7,3.5,8234,28886.5,22,3.51,EQ
03-11-2017,3.5,3.65,3.35,3.5,3.5,5.7,3.35,6050,21052.65,32,3.48,EQ
