DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
06-03-2020,41.0,41.0,37.5,37.5,37.5,41.0,37.5,10554,427914.1,43,40.55,EQ
09-03-2020,41.0,41.0,38.5,38.5,38.5,41.0,37.5,700,27950.0,6,39.93,EQ
11-03-2020,41.0,41.0,41.0,41.0,41.0,41.0,37.5,12,492.0,4,41.0,EQ
12-03-2020,38.5,41.0,38.5,41.0,41.0,41.0,37.5,1132,46169.5,5,40.79,EQ
13-03-2020,41.0,41.0,38.5,41.0,41.0,41.0,37.5,1010,41397.5,4,40.99,EQ
16-03-2020,41.0,41.0,41.0,41.0,41.0,41.0,37.5,2105,86305.0,5,41.0,EQ
17-03-2020,41.0,41.0,39.0,39.0,39.0,41.0,37.5,147,6017.0,7,40.93,EQ
18-03-2020,40.0,41.0,40.0,41.0,41.0,41.0,37.5,522,20902.0,4,40.04,EQ
19-03-2020,41.0,41.0,40.0,40.25,40.25,41.0,37.5,2690,108402.0,10,40.3,EQ
20-03-2020,38.5,41.0,38.5,40.0,40.0,41.0,37.5,6134,245404.0,16,40.01,EQ
23-03-2020,38.5,39.85,38.5,38.5,38.5,41.0,37.5,10503,404371.9,12,38.5,EQ
24-03-2020,38.0,40.95,31.1,38.5,38.5,41.0,31.1,10315,395728.25,12,38.36,EQ
25-03-2020,37.0,41.0,37.0,37.0,37.0,41.0,31.1,55,2063.0,11,37.51,EQ
26-03-2020,41.0,41.0,40.85,40.85,40.85,41.0,31.1,262,10741.8,7,41.0,EQ
27-03-2020,48.65,48.65,40.85,45.0,45.0,48.65,31.1,5833,249180.65,68,42.72,EQ
30-03-2020,54.0,54.0,43.85,47.95,48.0,54.0,31.1,5821,266244.5,75,45.74,EQ
31-03-2020,57.5,57.5,42.0,49.75,49.0,57.5,31.1,14059,695570.15,115,49.48,EQ
01-04-2020,46.0,51.0,46.0,48.05,49.9,57.5,31.1,5310,263843.5,61,49.69,EQ
03-04-2020,51.0,51.0,46.0,46.0,46.0,57.5,31.1,3408,163870.2,22,48.08,EQ
