DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
07-10-2020,55.65,55.65,53.0,54.9,54.95,55.65,53.0,822081,44677568.2,846,54.35,EQ
08-10-2020,57.4,57.6,57.4,57.55,57.6,57.6,53.0,206299,11877206.95,224,57.57,EQ
09-10-2020,58.1,58.4,57.45,57.45,57.45,58.4,53.0,258829,15038319.3,606,58.1,EQ
12-10-2020,58.5,58.5,56.5,56.95,57.1,58.5,53.0,118283,6764218.95,140,57.19,EQ
13-10-2020,56.2,56.2,54.5,54.95,54.5,58.5,53.0,37413,2071422.6,94,55.37,EQ
14-10-2020,54.55,56.65,53.25,54.1,53.5,58.5,53.0,11815,644548.05,53,54.55,EQ
15-10-2020,53.9,56.8,51.4,56.8,56.75,58.5,51.4,324211,17967183.75,655,55.42,EQ
16-10-2020,57.0,58.0,57.0,57.1,57.0,58.5,51.4,86803,4966451.8,199,57.22,EQ
19-10-2020,57.2,58.5,55.4,56.4,57.0,58.5,51.4,90396,5152745.3,396,57.0,EQ
20-10-2020,56.6,57.85,55.5,55.75,55.55,58.5,51.4,74202,4224411.75,208,56.93,EQ
21-10-2020,56.85,58.5,55.5,58.5,58.5,58.5,51.4,154057,8975134.1,128,58.26,EQ
22-10-2020,58.45,60.45,56.2,56.95,56.2,60.45,51.4,54806,3171187.35,242,57.86,EQ
23-10-2020,57.0,58.6,56.3,56.3,56.3,60.45,51.4,22850,1311663.35,75,57.4,EQ
26-10-2020,56.6,58.2,55.9,56.1,55.9,60.45,51.4,21158,1197795.45,77,56.61,EQ
27-10-2020,55.75,58.8,55.3,55.6,55.3,60.45,51.4,14352,816103.4,64,56.86,EQ
28-10-2020,56.7,57.35,54.2,54.4,54.2,60.45,51.4,38227,2124523.35,62,55.58,EQ
29-10-2020,55.05,56.55,52.3,52.65,52.3,60.45,51.4,13763,756126.85,106,54.94,EQ
30-10-2020,53.45,54.75,51.05,52.5,51.05,60.45,51.05,25320,1348657.75,114,53.26,EQ
02-11-2020,53.0,54.75,50.8,51.45,51.05,60.45,50.8,66511,3550662.9,313,53.38,EQ
03-11-2020,53.4,54.0,51.0,53.8,54.0,60.45,50.8,72719,3900145.45,199,53.63,EQ
04-11-2020,55.35,55.35,53.75,53.9,53.8,60.45,50.8,8417,458990.15,40,54.53,EQ
05-11-2020,53.95,54.35,53.25,53.55,53.6,60.45,50.8,13111,703707.45,50,53.67,EQ
06-11-2020,53.75,54.95,52.85,53.05,54.0,60.45,50.8,15839,847931.9,95,53.53,EQ
09-11-2020,54.5,55.45,53.0,53.4,53.45,60.45,50.8,15678,842259.75,45,53.72,EQ
10-11-2020,54.35,56.05,54.1,56.0,56.05,60.45,50.8,23233,1284020.7,110,55.27,EQ
11-11-2020,55.35,56.95,55.25,55.85,56.0,60.45,50.8,10285,576442.85,62,56.05,EQ
12-11-2020,55.55,56.75,55.1,56.05,56.75,60.45,50.8,14157,792032.75,71,55.95,EQ
13-11-2020,55.25,57.0,55.2,56.85,56.85,60.45,50.8,4553,254823.65,39,55.97,EQ
14-11-2020,57.0,57.45,56.0,56.05,56.95,60.45,50.8,5001,282617.75,58,56.51,EQ
17-11-2020,56.5,56.95,55.15,55.95,55.95,60.45,50.8,41755,2322315.55,114,55.62,EQ
18-11-2020,56.3,56.35,55.0,55.9,55.9,60.45,50.8,3488,194431.3,24,55.74,EQ
19-11-2020,55.95,56.75,54.9,55.4,54.9,60.45,50.8,8748,486747.5,23,55.64,EQ
