DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
07-01-1998,144.5,148.5,140.5,147.2,,0.0,0.0,268050,38989562.5,,145.46,EQ
08-01-1998,145.25,145.55,139.5,139.85,,148.5,140.5,121000,17173580.0,,141.93,EQ
09-01-1998,138.55,143.5,131.5,132.65,,148.5,139.5,243150,34226202.5,,140.76,EQ
12-01-1998,124.25,126.75,122.0,124.8,,148.5,131.5,73050,9098515.0,,124.55,EQ
13-01-1998,126.0,131.75,124.0,125.4,,148.5,122.0,100500,12821322.5,,127.58,EQ
14-01-1998,133.0,133.0,126.1,127.7,,148.5,122.0,27000,3480352.5,,128.9,EQ
15-01-1998,127.0,128.25,123.8,126.65,,148.5,122.0,14950,1880585.0,,125.79,EQ
16-01-1998,127.95,128.0,124.75,127.8,,148.5,122.0,13300,1685302.5,,126.71,EQ
19-01-1998,129.1,129.1,126.5,127.3,,148.5,122.0,12400,1581772.5,,127.56,EQ
20-01-1998,128.75,128.75,126.0,127.0,,148.5,122.0,21800,2773902.5,,127.24,EQ
21-01-1998,127.5,127.5,124.25,126.5,,148.5,122.0,7350,926427.5,,126.04,EQ
22-01-1998,125.25,127.1,124.8,126.45,,148.5,122.0,9700,1224802.5,,126.27,EQ
23-01-1998,125.5,127.0,125.15,126.5,,148.5,122.0,7250,916200.0,,126.37,EQ
27-01-1998,124.1,126.5,124.05,125.0,,148.5,122.0,19700,2463617.5,,125.06,EQ
28-01-1998,124.95,125.5,118.5,121.8,,148.5,122.0,18650,2291175.0,,122.85,EQ
29-01-1998,120.3,120.3,113.0,114.9,,148.5,118.5,16400,1889547.5,,115.22,EQ
30-01-1998,115.0,118.85,115.0,117.55,,148.5,113.0,9050,1059155.0,,117.03,EQ
02-02-1998,116.5,117.3,116.5,117.0,,148.5,113.0,6000,702405.0,,117.07,EQ
03-02-1998,116.0,116.05,106.0,106.55,,148.5,113.0,8850,963260.0,,108.84,EQ
04-02-1998,110.0,110.0,107.25,108.05,,148.5,106.0,4150,451412.5,,108.77,EQ
05-02-1998,106.5,106.75,104.1,105.0,,148.5,106.0,10600,1113812.5,,105.08,EQ
06-02-1998,101.25,106.9,96.0,99.35,,148.5,104.1,12000,1183062.5,,98.59,EQ
09-02-1998,97.15,97.5,93.35,94.95,,148.5,96.0,5700,541362.5,,94.98,EQ
10-02-1998,97.25,97.25,87.75,90.2,,148.5,93.35,8500,767905.0,,90.34,EQ
11-02-1998,84.0,89.7,84.0,88.4,,148.5,87.75,9300,815387.5,,87.68,EQ
12-02-1998,88.1,97.15,86.7,95.25,,148.5,84.0,15900,1458192.5,,91.71,EQ
