DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
05-06-2007,54.8,64.9,52.65,53.65,52.65,64.9,52.65,313627,18283041.8,,58.3,EQ
06-06-2007,54.8,58.0,52.9,53.3,53.5,64.9,52.65,126340,7017666.15,,55.55,EQ
07-06-2007,54.0,55.0,52.0,52.7,52.0,64.9,52.0,28992,1548612.7,,53.42,EQ
08-06-2007,52.5,52.7,50.0,50.95,51.45,64.9,50.0,16037,825354.7,,51.47,EQ
11-06-2007,52.0,54.0,52.0,53.05,53.8,64.9,50.0,19219,1017736.7,,52.95,EQ
12-06-2007,53.8,54.0,51.75,52.95,54.0,64.9,50.0,9786,513736.4,,52.5,EQ
13-06-2007,54.0,58.1,53.1,56.3,57.0,64.9,50.0,44372,2472297.3,,55.72,EQ
14-06-2007,57.9,57.9,54.0,54.2,54.45,64.9,50.0,21746,1203039.95,,55.32,EQ
15-06-2007,54.05,54.05,50.0,50.8,50.5,64.9,50.0,24740,1266665.3,,51.2,EQ
18-06-2007,51.0,52.65,50.5,50.95,51.0,64.9,50.0,6349,326851.4,,51.48,EQ
19-06-2007,50.95,51.8,50.6,50.9,50.95,64.9,50.0,3144,160645.1,,51.1,EQ
20-06-2007,51.85,51.85,50.5,50.7,51.0,64.9,50.0,3269,165851.15,,50.73,EQ
21-06-2007,50.05,51.45,50.05,50.8,51.45,64.9,50.0,3197,161981.75,,50.67,EQ
22-06-2007,51.5,51.5,50.05,50.65,50.8,64.9,50.0,4029,204354.25,,50.72,EQ
25-06-2007,50.05,53.4,50.05,51.4,51.7,64.9,50.0,9431,488194.85,,51.76,EQ
26-06-2007,51.5,51.5,49.6,50.8,50.85,64.9,49.6,1435,72113.95,,50.25,EQ
27-06-2007,50.8,51.0,49.15,49.15,49.15,64.9,49.15,2596,130720.15,,50.35,EQ
28-06-2007,51.45,51.45,49.45,49.95,50.5,64.9,49.15,2027,101198.35,,49.93,EQ
29-06-2007,49.85,51.2,49.85,50.25,50.0,64.9,49.15,2619,131991.2,,50.4,EQ
02-07-2007,50.1,52.0,50.1,50.2,50.1,64.9,49.15,2611,132612.45,,50.79,EQ
03-07-2007,50.0,51.65,50.0,51.15,51.65,64.9,49.15,2354,119673.35,,50.84,EQ
