DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
11-07-2016,250.0,250.0,239.0,240.85,240.2,250.0,239.0,4188,1027700.5,77,245.39,EQ
12-07-2016,242.0,245.35,233.0,244.7,245.35,250.0,233.0,13612,3298703.65,88,242.34,EQ
13-07-2016,245.0,249.95,238.5,243.0,243.0,250.0,233.0,15161,3676925.7,72,242.53,EQ
14-07-2016,244.0,249.95,240.25,241.95,242.05,250.0,233.0,13467,3249293.05,191,241.28,EQ
15-07-2016,242.0,247.0,225.0,239.95,240.0,250.0,225.0,13343,3207162.05,81,240.36,EQ
18-07-2016,240.0,248.0,239.9,242.6,246.0,250.0,225.0,13073,3153379.0,184,241.21,EQ
19-07-2016,243.0,243.9,236.0,242.95,243.8,250.0,225.0,13530,3273737.2,160,241.96,EQ
20-07-2016,241.5,243.8,225.9,241.2,241.5,250.0,225.0,12890,3111948.55,142,241.42,EQ
21-07-2016,241.5,241.65,237.0,237.0,237.0,250.0,225.0,12184,2933689.0,143,240.78,EQ
22-07-2016,240.0,249.0,238.0,239.2,242.0,250.0,225.0,14694,3525197.9,52,239.91,EQ
25-07-2016,250.4,250.4,240.4,241.6,244.0,250.4,225.0,14779,3587877.8,220,242.77,EQ
26-07-2016,242.0,248.95,238.0,238.0,238.0,250.4,225.0,12332,3012233.95,76,244.26,EQ
27-07-2016,240.0,249.0,231.0,236.55,231.5,250.4,225.0,15542,3755091.5,160,241.61,EQ
28-07-2016,240.0,243.95,232.2,235.0,235.0,250.4,225.0,15841,3776969.65,113,238.43,EQ
29-07-2016,236.0,242.05,236.0,239.5,239.5,250.4,225.0,12732,3062464.4,150,240.53,EQ
01-08-2016,240.0,246.0,201.5,228.3,229.5,250.4,201.5,16831,3886683.15,188,230.92,EQ
02-08-2016,240.0,245.95,220.0,230.55,226.5,250.4,201.5,26497,6107382.65,286,230.49,EQ
03-08-2016,233.0,237.6,229.0,236.75,231.0,250.4,201.5,39224,9122200.4,398,232.57,EQ
04-08-2016,236.0,244.0,225.0,241.05,237.5,250.4,201.5,37068,8853322.25,414,238.84,EQ
05-08-2016,242.0,249.0,235.0,237.5,238.0,250.4,201.5,30459,7297499.35,205,239.58,EQ
08-08-2016,239.0,247.0,234.0,238.3,236.5,250.4,201.5,20146,4784255.75,215,237.48,EQ
09-08-2016,240.0,244.0,234.5,240.8,241.0,250.4,201.5,22109,5255261.2,254,237.7,EQ
10-08-2016,240.2,248.5,237.0,245.35,245.45,250.4,201.5,18511,4483526.05,177,242.21,EQ
11-08-2016,245.0,254.0,240.0,245.85,245.0,254.0,201.5,19532,4792150.75,103,245.35,EQ
12-08-2016,246.0,250.0,231.0,235.3,236.0,254.0,201.5,14728,3630171.85,95,246.48,EQ
16-08-2016,242.0,248.9,235.0,244.0,244.1,254.0,201.5,73924,17764146.85,281,240.3,EQ
17-08-2016,245.0,247.5,241.0,242.35,241.0,254.0,201.5,13969,3419210.45,94,244.77,EQ
18-08-2016,235.0,247.5,235.0,244.9,244.2,254.0,201.5,26291,6371523.25,197,242.35,EQ
19-08-2016,242.5,257.95,242.5,252.1,252.55,257.95,201.5,27948,6927168.05,218,247.86,EQ
22-08-2016,255.0,255.25,239.0,252.05,251.15,257.95,201.5,19202,4832056.35,228,251.64,EQ
23-08-2016,255.0,257.5,241.5,250.7,250.9,257.95,201.5,14661,3735630.15,76,254.8,EQ
24-08-2016,250.0,254.9,248.0,253.0,253.0,257.95,201.5,14965,3786177.2,75,253.0,EQ
25-08-2016,253.0,259.0,250.5,253.0,253.0,259.0,201.5,15315,3901031.1,188,254.72,EQ
