DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
06-03-1996,90.0,89.0,86.0,88.75,,,,10600,928410.0,,87.59,EQ
07-03-1996,88.0,88.0,80.0,80.0,,,,19800,1669240.0,,84.31,EQ
08-03-1996,80.0,82.5,76.0,79.75,,,,35000,2752080.0,,78.63,EQ
11-03-1996,79.75,78.95,76.0,78.0,,,,26100,2010640.0,,77.04,EQ
12-03-1996,78.0,76.75,72.1,73.1,,,,19900,1480140.0,,74.38,EQ
13-03-1996,73.1,74.0,70.05,73.5,,,,4100,298205.0,,72.73,EQ
14-03-1996,73.5,74.0,73.0,74.0,,,,3300,241605.0,,73.21,EQ
15-03-1996,74.0,73.5,72.0,73.5,,,,2200,161050.0,,73.2,EQ
18-03-1996,73.5,75.0,73.0,74.4,,,,13700,1014840.0,,74.08,EQ
19-03-1996,74.4,82.2,73.5,81.75,,,,24600,1956030.0,,79.51,EQ
21-03-1996,81.75,88.0,83.0,83.5,,,,13100,1121280.0,,85.59,EQ
22-03-1996,83.5,84.05,78.55,80.0,,,,7400,604585.0,,81.7,EQ
25-03-1996,80.0,80.0,78.25,78.85,,,,10000,793575.0,,79.36,EQ
26-03-1996,78.85,79.0,76.5,78.6,,,,4200,324565.0,,77.28,EQ
27-03-1996,78.6,85.0,75.0,78.05,,,,13900,1172725.0,,84.37,EQ
28-03-1996,78.05,78.65,78.2,78.2,,,,3000,235310.0,,78.44,EQ
29-03-1996,78.2,79.1,77.0,77.5,,,,6200,487610.0,,78.65,EQ
01-04-1996,77.5,77.55,77.0,77.25,,,,1500,115855.0,,77.24,EQ
02-04-1996,77.25,77.05,69.3,73.05,,,,13700,1004050.0,,73.29,EQ
03-04-1996,73.05,78.0,70.0,72.0,,,,7400,541435.0,,73.17,EQ
04-04-1996,72.0,70.0,65.0,69.65,,,,1300,89800.0,,69.08,EQ
08-04-1996,69.65,71.3,67.5,70.75,,,,7700,533695.0,,69.31,EQ
09-04-1996,70.75,71.0,68.05,68.65,,,,10700,739185.0,,69.08,EQ
10-04-1996,68.65,75.5,70.5,74.5,,,,5600,409445.0,,73.12,EQ
11-04-1996,74.5,76.95,74.5,75.25,,,,4800,362555.0,,75.53,EQ
12-04-1996,75.25,77.75,74.75,74.8,,,,5700,435860.0,,76.47,EQ
15-04-1996,74.8,74.5,69.0,69.15,,,,6700,475230.0,,70.93,EQ
16-04-1996,70.0,70.0,61.9,61.9,,,,10000,648580.0,,64.86,EQ
17-04-1996,60.0,63.25,60.0,62.0,,,,6900,427550.0,,61.96,EQ
18-04-1996,62.0,68.4,61.0,66.85,,,,14600,939120.0,,64.32,EQ
19-04-1996,66.0,73.25,66.0,71.2,,,,22900,1599150.0,,69.83,EQ
22-04-1996,71.2,78.5,74.0,77.85,,,,47500,3647485.0,,76.79,EQ
23-04-1996,77.85,81.75,73.0,73.75,,,,84800,6595660.0,,77.78,EQ
24-04-1996,73.75,76.5,75.0,75.95,,,,2100,159345.0,,75.88,EQ
25-04-1996,75.95,73.6,73.25,73.25,,,,700,51340.0,,73.34,EQ
26-04-1996,73.25,72.0,65.75,69.3,,,,19500,1349115.0,,69.19,EQ
29-04-1996,67.0,68.0,67.0,68.0,,,,2400,161900.0,,67.46,EQ
30-04-1996,65.05,69.0,61.0,62.9,,,,22000,1410445.0,,64.11,EQ
01-05-1996,62.9,69.5,63.0,67.45,,,,29900,1999010.0,,66.86,EQ
02-05-1996,67.45,73.5,68.05,69.9,,,,37900,2695340.0,,71.12,EQ
03-05-1996,69.9,71.0,66.0,66.35,,,,15900,1085520.0,,68.27,EQ
06-05-1996,67.3,67.3,60.0,60.0,,,,11500,708640.0,,61.62,EQ
07-05-1996,60.0,60.5,54.5,55.7,,,,12600,716990.0,,56.9,EQ
08-05-1996,55.7,57.75,50.0,50.8,,,,18700,969725.0,,51.86,EQ
09-05-1996,50.8,52.45,46.0,46.35,,,,13000,610390.0,,46.95,EQ
10-05-1996,46.35,47.0,43.0,44.25,,,,10400,467255.0,,44.93,EQ
13-05-1996,44.15,44.15,43.0,43.6,,,,17400,758100.0,,43.57,EQ
14-05-1996,43.6,43.0,41.8,41.8,,,,3600,151770.0,,42.16,EQ
15-05-1996,41.8,41.0,37.5,37.5,,,,5700,225635.0,,39.59,EQ
16-05-1996,37.5,40.0,33.6,36.85,,,,9100,341005.0,,37.47,EQ
17-05-1996,36.85,39.5,36.0,36.95,,,,9700,362775.0,,37.4,EQ
20-05-1996,36.95,35.5,35.0,35.05,,,,2800,98855.0,,35.31,EQ
21-05-1996,35.05,35.5,34.0,35.05,,,,5000,173555.0,,34.71,EQ
22-05-1996,35.05,35.0,35.0,35.0,,,,1300,45500.0,,35.0,EQ
23-05-1996,35.0,34.6,33.0,34.6,,,,1400,47980.0,,34.27,EQ
24-05-1996,34.6,33.0,32.8,33.0,,,,1200,39500.0,,32.92,EQ
27-05-1996,33.0,30.25,30.25,30.25,,,,1200,36300.0,,30.25,EQ
28-05-1996,30.25,29.9,27.6,29.2,,,,900,26190.0,,29.1,EQ
29-05-1996,29.2,29.25,29.0,29.0,,,,1100,31925.0,,29.02,EQ
30-05-1996,29.0,29.0,29.0,29.0,,,,100,2900.0,,29.0,EQ
31-05-1996,29.0,28.25,28.25,28.25,,,,100,2825.0,,28.25,EQ
03-06-1996,28.25,30.0,28.1,28.1,,,,2000,58520.0,,29.26,EQ
04-06-1996,28.1,28.25,27.75,28.0,,,,1800,50400.0,,28.0,EQ
05-06-1996,27.2,27.45,27.0,27.45,,,,900,24385.0,,27.09,EQ
06-06-1996,25.15,25.15,24.75,24.95,,,,1300,32485.0,,24.99,EQ
07-06-1996,22.75,23.0,22.5,22.55,,,,17700,400270.0,,22.61,EQ
10-06-1996,23.5,24.95,23.5,24.95,,,,3800,91150.0,,23.99,EQ
11-06-1996,27.4,27.5,25.5,26.0,,,,6000,160700.0,,26.78,EQ
12-06-1996,27.5,28.4,27.05,27.2,,,,7500,209200.0,,27.89,EQ
13-06-1996,27.5,27.75,27.5,27.55,,,,3200,88125.0,,27.54,EQ
14-06-1996,27.25,28.0,27.25,28.0,,,,5500,151975.0,,27.63,EQ
17-06-1996,25.75,27.0,25.75,26.25,,,,2200,59200.0,,26.91,EQ
18-06-1996,26.95,27.2,26.5,26.55,,,,14100,377580.0,,26.78,EQ
19-06-1996,26.25,27.0,26.25,27.0,,,,5000,134765.0,,26.95,EQ
20-06-1996,27.1,27.1,27.0,27.1,,,,1500,40610.0,,27.07,EQ
21-06-1996,27.0,27.25,26.75,27.0,,,,2000,54100.0,,27.05,EQ
