DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
07-09-2022,467.0,498.0,455.0,474.5,475.0,498.0,455.0,103140,49221704.0,6892,477.23,EQ
08-09-2022,486.95,490.0,451.0,465.6,467.5,498.0,451.0,27728,12980854.4,2296,468.15,EQ
09-09-2022,451.95,474.7,442.8,446.35,443.0,498.0,442.8,30550,13745367.2,3356,449.93,EQ
12-09-2022,448.0,470.0,427.5,449.75,455.0,498.0,427.5,42067,18913684.45,3242,449.61,EQ
13-09-2022,449.75,474.4,443.0,463.85,464.4,498.0,427.5,124036,56852597.5,5747,458.36,EQ
14-09-2022,444.15,464.05,441.0,446.75,441.0,498.0,427.5,41340,18662683.65,4025,451.44,EQ
15-09-2022,452.9,452.9,436.3,442.7,442.75,498.0,427.5,104519,46451773.15,2269,444.43,EQ
16-09-2022,443.0,446.55,424.05,430.95,429.0,498.0,424.05,45715,19784418.0,1821,432.78,EQ
19-09-2022,430.95,430.95,412.05,417.55,414.8,498.0,412.05,28575,11949661.15,5673,418.19,EQ
20-09-2022,419.3,433.35,405.0,408.9,408.75,498.0,405.0,47116,19612741.15,6011,416.26,EQ
21-09-2022,410.0,424.8,392.1,414.45,421.0,498.0,392.1,69145,27906099.85,7887,403.59,EQ
22-09-2022,418.0,423.35,404.0,410.7,408.9,498.0,392.1,49976,20640400.6,8483,413.01,EQ
23-09-2022,410.7,415.55,395.0,398.9,399.95,498.0,392.1,34759,13937500.1,5242,400.98,EQ
26-09-2022,399.9,404.75,382.0,384.3,384.0,498.0,382.0,13758,5339730.05,2129,388.12,EQ
27-09-2022,387.65,398.95,382.0,383.1,384.7,498.0,382.0,23402,9169570.85,2530,391.83,EQ
28-09-2022,382.0,391.1,369.0,376.95,369.0,498.0,369.0,15033,5762194.0,3337,383.3,EQ
29-09-2022,373.4,387.0,370.35,373.2,373.9,498.0,369.0,9423,3562245.85,1277,378.04,EQ
30-09-2022,370.0,421.8,370.0,394.75,420.2,498.0,369.0,33815,13049422.05,4968,385.91,EQ
03-10-2022,403.0,434.0,398.0,404.8,402.0,498.0,369.0,56516,23246453.0,4417,411.33,EQ
04-10-2022,410.85,419.9,405.3,410.35,411.0,498.0,369.0,14086,5774191.15,2920,409.92,EQ
06-10-2022,412.0,417.95,395.65,401.55,401.8,498.0,369.0,10138,4125483.3,1584,406.93,EQ
07-10-2022,404.9,407.6,392.95,396.2,396.25,498.0,369.0,40376,16233270.8,2132,402.05,EQ
10-10-2022,396.2,396.2,380.05,393.4,389.4,498.0,369.0,7146,2793511.1,1571,390.92,EQ
11-10-2022,384.15,396.45,384.15,389.2,386.05,498.0,369.0,9158,3586603.0,966,391.64,EQ
12-10-2022,389.35,394.0,336.95,375.6,375.8,498.0,336.95,59700,22700891.6,3612,380.25,EQ
13-10-2022,381.25,424.9,377.4,398.1,397.0,498.0,336.95,39520,15253992.15,3827,385.98,EQ
14-10-2022,410.05,411.65,379.3,382.8,383.0,498.0,336.95,41444,16222772.45,2472,391.44,EQ
17-10-2022,377.05,388.55,362.55,366.1,367.0,498.0,336.95,49183,18390345.85,4766,373.92,EQ
18-10-2022,369.75,374.95,355.0,363.05,359.35,498.0,336.95,61942,22510154.05,4113,363.41,EQ
19-10-2022,359.45,369.15,359.1,363.8,365.0,498.0,336.95,45600,16601702.55,3049,364.07,EQ
20-10-2022,362.7,385.9,362.1,374.7,377.0,498.0,336.95,97969,36041957.1,2292,367.89,EQ
21-10-2022,374.65,379.9,355.85,359.6,361.9,498.0,336.95,50869,18665474.0,3803,366.93,EQ
24-10-2022,365.0,384.0,365.0,374.9,370.0,498.0,336.95,29494,11095408.3,1609,376.19,EQ
25-10-2022,374.0,386.95,365.75,382.65,383.85,498.0,336.95,102737,38517349.55,11857,374.91,EQ
27-10-2022,388.4,393.8,365.1,372.75,370.0,498.0,336.95,94614,35541987.2,7900,375.65,EQ
28-10-2022,374.05,379.95,364.0,365.3,368.0,498.0,336.95,41010,15224490.55,3668,371.24,EQ
31-10-2022,368.95,382.6,362.0,370.05,365.0,498.0,336.95,96327,35703204.65,5076,370.65,EQ
01-11-2022,375.65,375.65,364.1,366.3,366.0,498.0,336.95,43194,15857005.6,3250,367.11,EQ
02-11-2022,371.6,372.9,360.2,368.95,369.0,498.0,336.95,35361,13003369.95,3950,367.73,EQ
03-11-2022,372.65,372.65,360.0,368.6,366.05,498.0,336.95,53592,19596473.1,4091,365.66,EQ
04-11-2022,370.0,372.85,360.0,362.85,365.0,498.0,336.95,67574,24650564.75,4069,364.79,EQ
07-11-2022,366.9,370.95,360.0,361.55,362.5,498.0,336.95,35554,12972796.9,1804,364.88,EQ
09-11-2022,362.0,379.7,359.65,373.7,372.0,498.0,336.95,72860,26720735.4,4701,366.74,EQ
10-11-2022,377.45,383.0,365.0,365.75,366.15,498.0,336.95,38122,14126955.8,3261,370.57,EQ
11-11-2022,366.15,374.4,366.15,369.15,368.0,498.0,336.95,37079,13769029.4,3062,371.34,EQ
14-11-2022,372.0,372.0,359.9,361.8,363.0,498.0,336.95,31523,11470130.9,2865,363.87,EQ
15-11-2022,353.0,361.95,351.0,352.2,352.35,498.0,336.95,37537,13282260.5,3088,353.84,EQ
16-11-2022,364.0,364.0,350.0,351.45,350.95,498.0,336.95,39339,13935786.1,2897,354.25,EQ
17-11-2022,356.5,363.0,350.2,357.15,355.0,498.0,336.95,38102,13509602.15,4112,354.56,EQ
18-11-2022,362.0,362.0,350.0,355.8,357.9,498.0,336.95,42246,15052887.9,4426,356.32,EQ
21-11-2022,357.9,362.0,346.0,358.4,355.0,498.0,336.95,50808,17908700.35,5192,352.48,EQ
22-11-2022,355.55,364.0,348.5,352.1,354.0,498.0,336.95,70420,25196423.8,5690,357.8,EQ
23-11-2022,354.0,357.95,351.0,352.65,353.2,498.0,336.95,35055,12445377.55,3500,355.02,EQ
24-11-2022,350.1,353.95,346.05,349.65,346.3,498.0,336.95,59301,20738504.25,2463,349.72,EQ
25-11-2022,351.3,352.95,337.0,342.4,342.05,498.0,336.95,40342,13943997.5,2676,345.64,EQ
28-11-2022,339.0,352.6,338.05,346.4,351.0,498.0,336.95,83809,28839108.4,6697,344.11,EQ
29-11-2022,341.2,350.5,341.2,348.1,346.4,498.0,336.95,56688,19639752.3,4180,346.45,EQ
30-11-2022,353.3,372.6,349.95,367.5,367.0,498.0,336.95,119573,43302462.2,6060,362.14,EQ
01-12-2022,372.95,384.0,361.7,373.35,366.0,498.0,336.95,65116,24054009.95,7605,369.4,EQ
02-12-2022,374.0,379.9,362.4,369.75,366.05,498.0,336.95,73357,27410352.7,8383,373.66,EQ
05-12-2022,373.95,380.45,355.55,358.15,362.0,498.0,336.95,80111,29400859.95,8270,367.0,EQ
