DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
09-11-2006,32.15,56.85,32.15,43.5,43.5,56.85,32.15,22965170,1060915739.6,,46.2,EQ
10-11-2006,44.0,44.0,39.1,39.95,39.8,56.85,32.15,5066705,204238554.5,,40.31,EQ
13-11-2006,39.85,47.2,39.1,46.4,46.0,56.85,32.15,12412992,556463034.0,,44.83,EQ
14-11-2006,47.0,48.3,44.0,44.55,44.05,56.85,32.15,7960683,364307441.8,,45.76,EQ
15-11-2006,44.7,45.4,41.25,41.55,41.5,56.85,32.15,2392489,103427496.3,,43.23,EQ
16-11-2006,42.4,44.55,41.5,42.65,42.45,56.85,32.15,3971324,170657502.1,,42.97,EQ
17-11-2006,43.0,43.05,39.8,40.65,40.65,56.85,32.15,1962316,80906060.25,,41.23,EQ
20-11-2006,40.7,40.7,38.5,39.6,39.5,56.85,32.15,1412646,55817044.5,,39.51,EQ
21-11-2006,39.6,43.3,39.6,42.4,42.3,56.85,32.15,2563673,107679718.8,,42.0,EQ
22-11-2006,43.0,43.1,41.0,41.3,41.15,56.85,32.15,1217516,51156861.85,,42.02,EQ
23-11-2006,41.7,43.1,40.25,41.55,41.55,56.85,32.15,1965136,82248564.35,,41.85,EQ
24-11-2006,41.6,42.5,41.15,41.5,41.25,56.85,32.15,888835,37129710.6,,41.77,EQ
27-11-2006,41.5,42.05,40.5,40.9,40.8,56.85,32.15,490071,20285834.55,,41.39,EQ
28-11-2006,40.4,40.65,39.5,39.65,39.5,56.85,32.15,608588,24370508.2,,40.04,EQ
29-11-2006,38.0,41.5,38.0,40.0,39.9,56.85,32.15,543678,22052896.7,,40.56,EQ
30-11-2006,40.0,40.7,38.0,38.95,38.7,56.85,32.15,686654,26979737.6,,39.29,EQ
01-12-2006,39.4,39.95,38.1,38.35,38.3,56.85,32.15,470910,18296474.8,,38.85,EQ
04-12-2006,39.5,39.5,36.9,37.75,37.8,56.85,32.15,758245,28620016.8,,37.75,EQ
05-12-2006,38.9,42.75,37.55,41.9,41.45,56.85,32.15,3522850,145787760.35,,41.38,EQ
06-12-2006,42.0,42.75,39.65,40.05,40.0,56.85,32.15,1636298,67195116.0,,41.07,EQ
07-12-2006,40.7,41.55,39.3,39.8,39.8,56.85,32.15,799620,32241282.15,,40.32,EQ
08-12-2006,40.0,40.6,39.0,39.2,39.15,56.85,32.15,507072,20128007.45,,39.69,EQ
11-12-2006,39.8,39.8,37.2,37.85,37.7,56.85,32.15,626360,23848187.75,,38.07,EQ
12-12-2006,36.25,38.4,35.0,36.3,36.55,56.85,32.15,728966,26804703.7,,36.77,EQ
13-12-2006,36.5,38.7,35.1,37.7,38.6,56.85,32.15,544817,19864667.3,,36.46,EQ
14-12-2006,39.35,39.7,38.05,39.3,39.6,56.85,32.15,461785,18059645.9,,39.11,EQ
15-12-2006,40.0,40.0,38.5,39.1,39.0,56.85,32.15,459116,17971204.4,,39.14,EQ
18-12-2006,39.15,39.9,38.15,39.25,39.4,56.85,32.15,240477,9379184.45,,39.0,EQ
19-12-2006,39.3,41.8,38.5,40.0,39.9,56.85,32.15,966059,38900802.7,,40.27,EQ
20-12-2006,40.8,41.75,39.15,40.05,40.05,56.85,32.15,524447,21057905.7,,40.15,EQ
21-12-2006,40.35,40.5,39.3,40.15,40.45,56.85,32.15,351907,14119627.5,,40.12,EQ
22-12-2006,41.0,41.5,40.2,41.05,41.1,56.85,32.15,489694,20067504.75,,40.98,EQ
26-12-2006,41.0,42.4,40.3,40.9,40.7,56.85,32.15,845503,34868704.75,,41.24,EQ
27-12-2006,41.5,41.85,39.0,39.4,39.3,56.85,32.15,497691,20201657.85,,40.59,EQ
28-12-2006,40.0,40.4,39.4,39.55,39.6,56.85,32.15,364880,14545732.85,,39.86,EQ
29-12-2006,39.9,40.25,39.0,39.15,39.0,56.85,32.15,465270,18340100.2,,39.42,EQ
02-01-2007,39.85,44.35,39.0,42.4,42.55,56.85,32.15,5198151,219374768.2,,42.2,EQ
03-01-2007,43.95,44.75,42.9,43.75,43.7,56.85,32.15,2419824,106043071.65,,43.82,EQ
04-01-2007,44.4,44.4,42.7,42.9,42.7,56.85,32.15,1048002,45248926.3,,43.18,EQ
05-01-2007,43.25,43.25,41.2,41.5,41.3,56.85,32.15,535101,22619689.75,,42.27,EQ
08-01-2007,41.95,42.45,40.1,41.0,40.9,56.85,32.15,879110,36286238.55,,41.28,EQ
09-01-2007,41.5,43.0,40.6,41.95,42.7,56.85,32.15,530583,22052066.05,,41.56,EQ
10-01-2007,42.7,42.9,41.5,41.85,42.1,56.85,32.15,530765,22337529.15,,42.09,EQ
11-01-2007,41.15,42.45,41.15,41.9,42.1,56.85,32.15,551801,23020924.2,,41.72,EQ
12-01-2007,43.0,43.0,41.75,42.0,42.0,56.85,32.15,369570,15544119.6,,42.06,EQ
15-01-2007,42.35,42.8,42.0,42.1,42.2,56.85,32.15,226478,9574613.45,,42.28,EQ
16-01-2007,42.2,42.35,41.8,41.95,42.3,56.85,32.15,199201,8363819.9,,41.99,EQ
17-01-2007,42.5,42.5,41.35,41.85,41.7,56.85,32.15,190050,7979097.35,,41.98,EQ
18-01-2007,41.4,42.0,40.7,40.9,40.85,56.85,32.15,169331,7006804.0,,41.38,EQ
19-01-2007,40.9,41.3,39.75,39.85,39.95,56.85,32.15,193167,7744214.65,,40.09,EQ
22-01-2007,40.85,41.3,40.15,40.7,40.7,56.85,32.15,190680,7753056.65,,40.66,EQ
23-01-2007,41.6,41.6,39.9,40.05,40.0,56.85,32.15,152214,6166537.75,,40.51,EQ
24-01-2007,40.85,40.85,39.25,39.9,39.8,56.85,32.15,134541,5372917.4,,39.94,EQ
25-01-2007,40.25,40.25,39.3,39.7,39.75,56.85,32.15,83478,3317424.05,,39.74,EQ
29-01-2007,40.85,40.85,39.0,39.15,39.2,56.85,32.15,112181,4416883.55,,39.37,EQ
31-01-2007,39.9,42.45,39.0,39.15,39.0,56.85,32.15,110801,4366849.75,,39.41,EQ
01-02-2007,39.6,39.6,38.7,38.85,38.85,56.85,32.15,85448,3332815.45,,39.0,EQ
02-02-2007,39.0,40.95,38.4,38.75,38.8,56.85,32.15,396671,15629070.0,,39.4,EQ
05-02-2007,39.85,39.85,38.75,39.0,39.1,56.85,32.15,209354,8174933.35,,39.05,EQ
06-02-2007,39.7,39.7,38.9,39.0,39.0,56.85,32.15,205370,8044108.0,,39.17,EQ
07-02-2007,39.75,41.35,38.95,40.15,40.0,56.85,32.15,584799,23588916.7,,40.34,EQ
08-02-2007,41.0,45.0,40.0,40.25,40.05,56.85,32.15,916779,37782087.45,,41.21,EQ
09-02-2007,40.95,40.95,38.5,39.85,39.7,56.85,32.15,439367,17380174.55,,39.56,EQ
12-02-2007,39.6,39.85,36.3,36.5,36.55,56.85,32.15,422354,15737948.35,,37.26,EQ
13-02-2007,36.7,38.5,36.7,37.1,37.5,56.85,32.15,632761,23703664.45,,37.46,EQ
14-02-2007,37.45,37.55,35.9,37.0,37.55,56.85,32.15,385393,14101376.9,,36.59,EQ
15-02-2007,37.65,38.0,37.4,37.55,37.7,56.85,32.15,133495,5021414.05,,37.61,EQ
19-02-2007,37.9,38.0,36.85,36.9,36.9,56.85,32.15,138996,5203180.65,,37.43,EQ
20-02-2007,36.9,37.8,35.5,36.55,36.9,56.85,32.15,352238,12859181.8,,36.51,EQ
21-02-2007,36.6,37.0,36.0,36.1,36.1,56.85,32.15,119858,4348033.45,,36.28,EQ
22-02-2007,36.95,36.95,35.3,35.45,35.5,56.85,32.15,148644,5330454.6,,35.86,EQ
23-02-2007,35.9,37.5,35.2,36.65,36.0,56.85,32.15,454138,16437303.7,,36.19,EQ
26-02-2007,37.0,39.45,35.15,37.9,38.05,56.85,32.15,254286,9387114.35,,36.92,EQ
27-02-2007,39.35,39.35,36.4,36.55,36.5,56.85,32.15,219168,8069149.15,,36.82,EQ
28-02-2007,35.4,35.95,33.3,34.55,34.7,56.85,32.15,290038,10211471.4,,35.21,EQ
01-03-2007,34.7,35.5,33.65,34.95,35.5,56.85,32.15,315092,10839809.55,,34.4,EQ
02-03-2007,35.2,35.45,34.0,34.5,34.0,56.85,32.15,102274,3572026.05,,34.93,EQ
05-03-2007,34.0,35.0,32.0,34.05,34.95,56.85,32.0,367205,12386855.25,,33.73,EQ
06-03-2007,35.0,35.0,33.35,34.0,34.05,56.85,32.0,117222,3970984.55,,33.88,EQ
07-03-2007,34.5,34.5,32.25,32.5,32.55,56.85,32.0,262909,8674125.85,,32.99,EQ
08-03-2007,33.0,33.2,32.1,32.8,32.4,56.85,32.0,84183,2748902.3,,32.65,EQ
09-03-2007,32.5,33.4,32.35,32.55,32.55,56.85,32.0,83834,2736095.7,,32.64,EQ
12-03-2007,32.5,33.1,32.2,32.25,32.5,56.85,32.0,121804,3967577.0,,32.57,EQ
13-03-2007,33.1,33.35,32.0,32.1,32.3,56.85,32.0,177200,5742391.2,,32.41,EQ
14-03-2007,32.0,32.0,30.75,31.0,31.05,56.85,30.75,196749,6102593.05,,31.02,EQ
15-03-2007,32.5,32.5,31.0,31.0,31.0,56.85,30.75,73040,2282360.1,,31.25,EQ
16-03-2007,31.25,31.5,30.6,31.05,31.0,56.85,30.6,89505,2775590.1,,31.01,EQ
19-03-2007,31.2,31.5,30.9,31.05,31.4,56.85,30.6,130802,4061903.9,,31.05,EQ
20-03-2007,30.8,32.1,30.8,31.75,31.8,56.85,30.6,137648,4359025.2,,31.67,EQ
21-03-2007,32.4,32.4,31.4,31.55,31.55,56.85,30.6,71656,2264020.4,,31.6,EQ
22-03-2007,31.95,32.3,31.55,32.1,32.3,56.85,30.6,114634,3667717.45,,32.0,EQ
23-03-2007,32.5,32.5,31.4,31.75,31.4,56.85,30.6,88273,2804921.55,,31.78,EQ
26-03-2007,31.4,31.7,31.0,31.05,31.15,56.85,30.6,88685,2771042.9,,31.25,EQ
28-03-2007,31.45,31.45,30.0,30.95,31.1,56.85,30.0,230775,7045699.2,,30.53,EQ
29-03-2007,30.5,32.0,30.5,31.7,32.0,56.85,30.0,60822,1906988.85,,31.35,EQ
30-03-2007,31.05,37.35,31.05,34.65,37.0,56.85,30.0,111872,3738841.3,,33.42,EQ
02-04-2007,33.75,38.5,33.45,33.95,33.9,56.85,30.0,320798,11304787.1,,35.24,EQ
03-04-2007,35.0,36.3,31.9,32.2,32.05,56.85,30.0,204225,6796108.2,,33.28,EQ
04-04-2007,32.85,33.5,32.05,32.3,32.4,56.85,30.0,92117,3017250.45,,32.75,EQ
05-04-2007,32.85,32.85,31.8,32.1,32.0,56.85,30.0,67423,2168761.9,,32.17,EQ
09-04-2007,31.8,33.5,31.4,32.95,32.8,56.85,30.0,101318,3335166.65,,32.92,EQ
10-04-2007,33.5,33.5,32.6,33.0,33.05,56.85,30.0,78374,2588146.75,,33.02,EQ
11-04-2007,33.05,33.6,32.65,33.05,32.9,56.85,30.0,100403,3338156.05,,33.25,EQ
12-04-2007,32.0,34.7,32.0,33.15,33.25,56.85,30.0,201484,6779794.85,,33.65,EQ
