DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
07-08-1997,79.0,82.8,78.45,78.45,,121.0,58.5,4850,385010.0,,79.38,EQ
08-08-1997,77.0,77.25,75.0,75.0,,121.0,58.5,2850,215142.5,,75.49,EQ
11-08-1997,75.0,77.0,74.75,76.15,,121.0,58.5,3100,235485.0,,75.96,EQ
12-08-1997,76.3,76.5,75.1,75.6,,117.0,58.5,2700,204382.5,,75.7,EQ
13-08-1997,73.0,75.0,72.0,74.05,,117.0,58.5,4400,322117.5,,73.21,EQ
14-08-1997,73.5,73.5,72.0,72.9,,117.0,58.5,4400,319512.5,,72.62,EQ
18-08-1997,71.5,73.0,69.35,70.6,,117.0,58.5,15100,1065305.0,,70.55,EQ
19-08-1997,68.6,70.5,68.55,69.9,,117.0,58.5,4000,279065.0,,69.77,EQ
20-08-1997,68.5,69.8,67.0,69.35,,117.0,58.5,5800,396135.0,,68.3,EQ
21-08-1997,70.5,70.5,67.0,67.25,,117.0,58.5,2500,170710.0,,68.28,EQ
22-08-1997,66.9,67.0,65.1,65.7,,117.0,58.5,5800,383365.0,,66.1,EQ
25-08-1997,62.5,64.5,62.45,63.25,,117.0,58.5,4350,274462.5,,63.09,EQ
26-08-1997,63.5,63.95,60.15,61.6,,117.0,58.5,11350,698435.0,,61.54,EQ
27-08-1997,63.55,64.5,62.5,63.9,,117.0,58.5,1000,63710.0,,63.71,EQ
28-08-1997,63.05,63.05,61.0,62.9,,117.0,58.5,3050,190377.5,,62.42,EQ
29-08-1997,62.9,63.0,62.1,63.0,,117.0,58.5,1850,116237.5,,62.83,EQ
01-09-1997,62.5,65.0,62.5,63.75,,117.0,58.5,1800,115035.0,,63.91,EQ
02-09-1997,66.0,66.0,63.0,63.95,,117.0,58.5,2700,173112.5,,64.12,EQ
03-09-1997,64.5,66.0,64.0,65.25,,117.0,58.5,850,55312.5,,65.07,EQ
04-09-1997,65.5,67.0,65.5,66.8,,117.0,58.5,1300,86182.5,,66.29,EQ
05-09-1997,64.0,68.0,64.0,67.8,,117.0,58.5,1500,100527.5,,67.02,EQ
08-09-1997,67.5,67.5,66.0,67.25,,117.0,58.5,1650,110725.0,,67.11,EQ
09-09-1997,68.75,70.0,68.0,69.85,,112.0,58.5,2300,158330.0,,68.84,EQ
10-09-1997,68.75,68.75,67.0,67.8,,112.0,58.5,1400,95047.5,,67.89,EQ
11-09-1997,67.5,68.9,67.5,68.9,,112.0,58.5,3000,203937.5,,67.98,EQ
12-09-1997,68.9,68.9,66.5,67.55,,112.0,58.5,1800,121160.0,,67.31,EQ
15-09-1997,67.0,67.75,65.3,67.0,,112.0,58.5,1800,120797.5,,67.11,EQ
16-09-1997,66.0,67.0,65.5,66.4,,107.0,58.5,1950,128957.5,,66.13,EQ
17-09-1997,66.0,66.5,65.3,66.1,,107.0,58.5,650,42802.5,,65.85,EQ
18-09-1997,65.0,65.0,63.0,63.5,,107.0,58.5,2000,127717.5,,63.86,EQ
19-09-1997,65.0,65.0,64.0,64.1,,107.0,58.5,2450,158312.5,,64.62,EQ
22-09-1997,63.6,64.0,62.5,63.0,,107.0,58.5,2350,148297.5,,63.11,EQ
23-09-1997,63.0,64.5,63.0,63.05,,107.0,58.5,2000,126907.5,,63.45,EQ
