DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
08-09-2022,20.85,21.85,20.85,21.85,21.85,21.85,20.85,1100,23035.0,6,20.94,BE
09-09-2022,22.9,22.9,22.9,22.9,22.9,22.9,20.85,100,2290.0,1,22.9,BE
12-09-2022,24.0,24.0,24.0,24.0,24.0,24.0,20.85,100,2400.0,1,24.0,BE
13-09-2022,25.2,25.2,25.2,25.2,25.2,25.2,20.85,200,5040.0,3,25.2,BE
14-09-2022,26.45,26.45,26.45,26.45,26.45,26.45,20.85,590,15605.5,2,26.45,BE
15-09-2022,27.75,27.75,27.75,27.75,27.75,27.75,20.85,1000,27750.0,2,27.75,BE
16-09-2022,29.1,29.1,29.1,29.1,29.1,29.1,20.85,200,5820.0,3,29.1,BE
19-09-2022,30.55,30.55,30.55,30.55,30.55,30.55,20.85,115,3513.25,2,30.55,BE
20-09-2022,32.05,32.05,32.05,32.05,32.05,32.05,20.85,101,3237.05,2,32.05,BE
21-09-2022,33.65,33.65,33.65,33.65,33.65,33.65,20.85,101,3398.65,2,33.65,BE
22-09-2022,37.0,37.0,37.0,37.0,37.0,37.0,37.0,1090,40330.0,3,37.0,EQ
23-09-2022,40.7,40.7,37.05,40.7,40.7,40.7,37.0,19800,804610.55,105,40.64,EQ
26-09-2022,44.75,44.75,44.75,44.75,44.75,44.75,37.0,231,10337.25,6,44.75,EQ
27-09-2022,46.95,46.95,46.95,46.95,46.95,46.95,37.0,190,8920.5,3,46.95,EQ
28-09-2022,49.25,49.25,49.25,49.25,49.25,49.25,37.0,50,2462.5,1,49.25,EQ
29-09-2022,51.7,51.7,51.7,51.7,51.7,51.7,37.0,251,12976.7,4,51.7,EQ
30-09-2022,54.25,54.25,54.25,54.25,54.25,54.25,37.0,10,542.5,1,54.25,EQ
03-10-2022,56.95,56.95,56.95,56.95,56.95,56.95,37.0,150,8542.5,2,56.95,EQ
04-10-2022,59.75,59.75,59.75,59.75,59.75,59.75,37.0,552,32982.0,2,59.75,EQ
06-10-2022,62.7,62.7,62.7,62.7,62.7,62.7,37.0,50,3135.0,1,62.7,EQ
07-10-2022,65.8,65.8,65.8,65.8,65.8,65.8,37.0,61,4013.8,4,65.8,EQ
10-10-2022,69.05,69.05,69.05,69.05,69.05,69.05,37.0,686,47368.3,8,69.05,EQ
11-10-2022,72.5,72.5,72.5,72.5,72.5,72.5,37.0,44,3190.0,2,72.5,EQ
12-10-2022,76.1,76.1,76.1,76.1,76.1,76.1,37.0,600,45660.0,3,76.1,EQ
13-10-2022,79.9,79.9,79.9,79.9,79.9,79.9,37.0,101,8069.9,3,79.9,EQ
14-10-2022,83.85,83.85,83.85,83.85,83.85,83.85,37.0,322,26999.7,3,83.85,EQ
17-10-2022,85.5,85.5,85.5,85.5,85.5,85.5,37.0,109,9319.5,4,85.5,EQ
18-10-2022,87.2,87.2,87.2,87.2,87.2,87.2,37.0,20,1744.0,1,87.2,EQ
19-10-2022,88.9,88.9,88.9,88.9,88.9,88.9,37.0,1,88.9,1,88.9,EQ
20-10-2022,90.65,90.65,88.95,90.65,90.65,90.65,37.0,7129,645702.7,145,90.57,EQ
21-10-2022,92.45,92.45,89.05,90.05,90.0,92.45,37.0,45091,4104913.7,660,91.04,EQ
24-10-2022,91.85,91.85,88.25,88.55,88.25,92.45,37.0,31164,2773298.0,374,88.99,EQ
25-10-2022,87.2,89.85,86.8,86.8,86.8,92.45,37.0,13964,1218863.35,232,87.29,EQ
27-10-2022,85.1,85.1,85.1,85.1,85.1,92.45,37.0,1137,96758.7,35,85.1,EQ
28-10-2022,83.4,83.55,83.4,83.4,83.4,92.45,37.0,5652,471378.3,43,83.4,EQ
31-10-2022,81.75,81.75,81.75,81.75,81.75,92.45,37.0,1529,124995.75,28,81.75,EQ
01-11-2022,80.15,80.15,80.15,80.15,80.15,92.45,37.0,1577,126396.55,23,80.15,EQ
02-11-2022,78.55,81.75,78.55,81.75,81.75,92.45,37.0,10451,829951.2,106,79.41,EQ
03-11-2022,82.5,83.35,82.5,83.35,83.35,92.45,37.0,8,663.9,6,82.99,EQ
04-11-2022,83.4,85.0,83.4,85.0,85.0,92.45,37.0,2268,192716.0,36,84.97,EQ
07-11-2022,86.7,86.7,86.7,86.7,86.7,92.45,37.0,1771,153545.7,18,86.7,EQ
09-11-2022,88.4,88.4,88.4,88.4,88.4,92.45,37.0,456,40310.4,11,88.4,EQ
