DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
20-06-2014,269.95,269.95,255.05,257.35,255.05,269.95,255.05,368,95707.2,21,260.07,EQ
23-06-2014,255.05,260.0,255.05,260.0,260.0,269.95,255.05,46,11949.05,5,259.76,EQ
24-06-2014,268.0,268.0,248.05,248.05,248.05,269.95,248.05,28,7144.9,2,255.17,EQ
25-06-2014,252.0,268.0,250.0,255.25,255.25,269.95,248.05,400,102375.0,8,255.94,EQ
26-06-2014,267.0,267.0,250.0,266.9,266.9,269.95,248.05,1034,265916.6,30,257.17,EQ
27-06-2014,266.9,275.0,265.0,265.5,265.5,275.0,248.05,525,141484.9,20,269.5,EQ
30-06-2014,260.5,274.95,255.1,270.05,274.95,275.0,248.05,1844,491477.35,45,266.53,EQ
01-07-2014,276.0,280.0,271.0,279.95,280.0,280.0,248.05,2355,656785.05,28,278.89,EQ
02-07-2014,279.95,282.7,262.0,277.4,277.0,282.7,248.05,681,188270.0,29,276.46,EQ
03-07-2014,277.0,283.6,271.0,271.95,272.0,283.6,248.05,13296,3618958.4,56,272.18,EQ
04-07-2014,280.0,285.0,272.3,280.45,281.8,285.0,248.05,13298,3684825.2,185,277.1,EQ
07-07-2014,280.0,288.0,279.0,280.05,280.0,288.0,248.05,944,268072.5,44,283.98,EQ
08-07-2014,280.0,280.0,272.55,272.55,272.55,288.0,248.05,1547,428335.8,33,276.88,EQ
09-07-2014,270.1,274.0,269.95,270.1,270.1,288.0,248.05,2509,678282.1,28,270.34,EQ
10-07-2014,267.4,280.0,267.4,271.75,270.5,288.0,248.05,3284,901560.05,53,274.53,EQ
11-07-2014,282.6,282.6,270.7,271.5,271.5,288.0,248.05,657,178873.2,12,272.26,EQ
14-07-2014,271.5,279.5,270.0,270.95,270.0,288.0,248.05,1628,443018.2,34,272.12,EQ
15-07-2014,273.0,281.0,271.0,280.0,280.0,288.0,248.05,22069,6165930.55,174,279.39,EQ
16-07-2014,280.0,300.0,275.0,282.5,287.0,300.0,248.05,16652,4772671.35,213,286.61,EQ
17-07-2014,290.0,290.0,275.1,282.25,280.0,300.0,248.05,3244,914013.15,41,281.75,EQ
18-07-2014,281.05,283.95,277.1,281.4,282.0,300.0,248.05,3168,886366.0,22,279.79,EQ
21-07-2014,293.0,293.0,275.0,276.5,276.5,300.0,248.05,1652,463029.25,41,280.28,EQ
22-07-2014,293.0,293.0,275.0,281.95,281.95,300.0,248.05,470,131192.3,30,279.13,EQ
23-07-2014,275.0,276.0,272.0,272.05,272.05,300.0,248.05,1388,378825.25,23,272.93,EQ
24-07-2014,270.2,279.95,270.2,270.5,270.5,300.0,248.05,587,159132.8,22,271.1,EQ
25-07-2014,263.0,280.0,263.0,278.75,278.9,300.0,248.05,226,62252.9,15,275.46,EQ
28-07-2014,271.0,277.9,270.2,275.0,275.0,300.0,248.05,488,133059.95,26,272.66,EQ
