DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
01-01-1996,30.3,30.3,29.25,29.8,,,,35000,1042300.0,,29.78,EQ
02-01-1996,29.8,30.25,29.5,29.75,,,,41200,1224200.0,,29.71,EQ
03-01-1996,29.75,29.95,29.5,29.85,,,,28400,842845.0,,29.68,EQ
04-01-1996,29.85,29.8,29.4,29.65,,,,28200,836245.0,,29.65,EQ
05-01-1996,29.65,29.8,29.5,29.6,,,,18900,559615.0,,29.61,EQ
08-01-1996,29.6,29.5,29.1,29.25,,,,23700,694980.0,,29.32,EQ
09-01-1996,29.25,29.25,28.0,28.3,,,,48300,1379610.0,,28.56,EQ
10-01-1996,28.3,28.65,28.1,28.4,,,,22600,642820.0,,28.44,EQ
11-01-1996,28.4,28.8,28.0,28.3,,,,31800,899195.0,,28.28,EQ
12-01-1996,28.3,28.35,28.0,28.25,,,,43100,1216120.0,,28.22,EQ
15-01-1996,28.25,28.15,27.75,27.9,,,,18100,506115.0,,27.96,EQ
16-01-1996,27.9,28.0,27.4,27.4,,,,35800,990765.0,,27.68,EQ
17-01-1996,27.4,27.95,26.3,26.55,,,,42900,1153735.0,,26.89,EQ
18-01-1996,26.55,26.55,26.0,26.4,,,,33000,865380.0,,26.22,EQ
19-01-1996,26.4,26.3,25.35,25.55,,,,42600,1097940.0,,25.77,EQ
22-01-1996,25.55,25.9,25.2,25.45,,,,35900,916605.0,,25.53,EQ
23-01-1996,25.45,26.0,25.1,25.3,,,,39900,1012735.0,,25.38,EQ
24-01-1996,25.3,25.3,24.5,24.65,,,,44900,1110095.0,,24.72,EQ
25-01-1996,24.65,24.5,24.1,24.35,,,,39000,947095.0,,24.28,EQ
29-01-1996,24.35,24.95,23.95,24.85,,,,31100,758690.0,,24.4,EQ
30-01-1996,24.85,25.5,24.85,25.2,,,,45200,1142160.0,,25.27,EQ
