DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
14-12-2016,213.4,224.05,213.4,224.05,224.05,224.05,213.4,267510,59262290.55,411,221.53,BE
15-12-2016,235.25,235.25,235.25,235.25,235.25,235.25,213.4,180613,42489208.25,185,235.25,BE
16-12-2016,247.0,247.0,223.5,223.5,223.5,247.0,213.4,458987,107747463.0,2435,234.75,BE
19-12-2016,214.0,216.95,212.35,212.35,212.35,247.0,212.35,48372,10311237.1,257,213.17,BE
20-12-2016,201.75,201.75,201.75,201.75,201.75,247.0,201.75,32587,6574427.25,73,201.75,BE
21-12-2016,191.7,201.75,191.7,191.7,191.7,247.0,191.7,180437,34958534.1,944,193.74,BE
22-12-2016,188.1,189.0,182.15,182.15,182.15,247.0,182.15,67852,12592871.6,465,185.59,BE
23-12-2016,173.05,189.9,173.05,180.9,180.0,247.0,173.05,203756,36420485.85,1332,178.75,BE
26-12-2016,174.1,177.9,171.9,171.9,171.9,247.0,171.9,81324,14028251.75,531,172.5,BE
27-12-2016,166.0,180.45,165.25,180.35,180.45,247.0,165.25,139260,24588689.6,851,176.57,BE
28-12-2016,185.0,216.4,184.95,214.65,216.4,247.0,165.25,959981,196479978.45,15816,204.67,EQ
29-12-2016,219.0,222.0,196.0,197.65,197.8,247.0,165.25,502457,104411887.75,9903,207.8,EQ
30-12-2016,197.0,206.85,191.75,195.65,195.0,247.0,165.25,290910,58079138.0,5092,199.65,EQ
02-01-2017,201.7,201.9,193.95,195.15,195.1,247.0,165.25,98967,19533206.35,1855,197.37,EQ
03-01-2017,195.5,197.35,186.1,187.25,187.55,247.0,165.25,135278,25816446.85,1605,190.84,EQ
04-01-2017,186.8,192.4,185.9,188.55,189.0,247.0,165.25,80954,15270039.65,1069,188.63,EQ
05-01-2017,188.1,194.0,187.3,190.55,190.0,247.0,165.25,135960,25857173.95,1162,190.18,EQ
06-01-2017,191.1,199.9,190.4,192.95,192.1,247.0,165.25,114422,22225051.0,1751,194.24,EQ
09-01-2017,194.0,194.85,189.0,190.9,191.1,247.0,165.25,61521,11763299.0,673,191.21,EQ
10-01-2017,190.0,194.5,190.0,191.75,192.95,247.0,165.25,30735,5910535.4,554,192.31,EQ
11-01-2017,193.95,194.3,191.05,191.8,191.55,247.0,165.25,44827,8606136.45,495,191.99,EQ
12-01-2017,192.8,193.05,191.0,191.75,191.2,247.0,165.25,27886,5346588.6,312,191.73,EQ
13-01-2017,191.95,208.0,191.5,199.05,199.1,247.0,165.25,256687,51932799.9,3702,202.32,EQ
16-01-2017,199.95,206.0,195.95,201.85,203.0,247.0,165.25,74705,15006167.55,1193,200.87,EQ
17-01-2017,204.0,205.5,199.0,201.2,200.4,247.0,165.25,54795,11027234.35,864,201.25,EQ
18-01-2017,201.0,217.4,196.1,211.25,212.5,247.0,165.25,351529,73516192.2,6436,209.13,EQ
19-01-2017,211.95,217.4,202.0,204.45,202.75,247.0,165.25,142605,29970777.65,3059,210.17,EQ
20-01-2017,208.0,208.0,190.45,193.3,193.0,247.0,165.25,177730,35357179.7,2196,198.94,EQ
23-01-2017,193.95,200.0,193.2,195.65,194.3,247.0,165.25,54821,10800702.35,1557,197.02,EQ
24-01-2017,198.0,200.0,193.3,194.9,193.5,247.0,165.25,47320,9297615.75,816,196.48,EQ
25-01-2017,195.0,197.0,188.6,190.7,190.0,247.0,165.25,65019,12590761.8,866,193.65,EQ
27-01-2017,189.05,195.0,188.4,189.5,189.5,247.0,165.25,61864,11861958.9,803,191.74,EQ
30-01-2017,190.05,192.0,184.7,185.7,185.0,247.0,165.25,33511,6316396.6,559,188.49,EQ
31-01-2017,186.1,188.85,177.25,178.4,178.05,247.0,165.25,130446,23505982.25,1674,180.2,EQ
01-02-2017,179.55,181.8,167.0,178.3,178.0,247.0,165.25,109921,19198263.7,2026,174.66,EQ
02-02-2017,178.95,188.6,176.2,186.9,187.0,247.0,165.25,101700,18637550.65,1228,183.26,EQ
03-02-2017,186.15,190.0,182.5,185.1,186.0,247.0,165.25,20340,3781177.2,967,185.9,EQ
06-02-2017,192.9,193.65,185.95,191.5,191.0,247.0,165.25,49935,9517443.05,863,190.6,EQ
07-02-2017,191.95,192.0,186.35,187.55,187.05,247.0,165.25,27775,5232124.4,845,188.38,EQ
08-02-2017,190.0,196.85,188.15,189.4,188.75,247.0,165.25,36733,7068995.8,827,192.44,EQ
09-02-2017,192.0,195.0,187.6,188.2,187.75,247.0,165.25,35668,6764123.5,604,189.64,EQ
10-02-2017,191.85,193.95,186.6,189.85,191.8,247.0,165.25,150218,28197220.25,810,187.71,EQ
13-02-2017,188.0,192.4,186.3,191.55,192.4,247.0,165.25,73360,13918408.15,877,189.73,EQ
14-02-2017,192.0,194.9,187.0,190.6,190.25,247.0,165.25,33433,6406036.3,435,191.61,EQ
15-02-2017,190.1,194.2,185.5,186.05,186.0,247.0,165.25,36352,6849943.9,562,188.43,EQ
16-02-2017,186.5,191.0,186.0,189.85,190.6,247.0,165.25,49602,9384352.0,523,189.19,EQ
17-02-2017,188.05,190.0,185.05,186.35,186.9,247.0,165.25,31826,5977532.4,838,187.82,EQ
20-02-2017,187.55,191.5,185.1,189.05,190.0,247.0,165.25,46525,8748803.1,815,188.05,EQ
21-02-2017,189.1,190.5,188.55,189.05,189.35,247.0,165.25,30258,5736980.8,389,189.6,EQ
22-02-2017,189.05,191.5,182.95,184.4,186.1,247.0,165.25,45277,8489676.9,684,187.51,EQ
23-02-2017,188.8,190.0,185.0,187.05,187.1,247.0,165.25,56784,10742300.65,435,189.18,EQ
27-02-2017,187.05,197.0,185.0,185.9,186.35,247.0,165.25,47949,8998004.2,701,187.66,EQ
28-02-2017,187.15,190.7,185.6,185.95,185.8,247.0,165.25,34491,6461346.65,449,187.33,EQ
01-03-2017,188.75,189.0,186.05,186.65,187.0,247.0,165.25,34326,6428028.9,486,187.26,EQ
02-03-2017,184.75,188.1,184.75,186.45,186.0,247.0,165.25,26948,5034583.95,479,186.83,EQ
03-03-2017,187.0,188.8,177.5,185.2,184.95,247.0,165.25,25742,4754280.8,811,184.69,EQ
06-03-2017,182.3,186.3,178.1,179.15,178.95,247.0,165.25,70398,12708214.85,1351,180.52,EQ
07-03-2017,180.05,184.7,179.5,182.5,183.0,247.0,165.25,42388,7732024.3,708,182.41,EQ
08-03-2017,183.0,192.0,182.0,190.6,190.25,247.0,165.25,79807,14936260.2,1113,187.15,EQ
09-03-2017,190.0,197.65,190.0,192.0,192.3,247.0,165.25,47829,9272876.6,944,193.88,EQ
10-03-2017,193.5,196.0,192.05,193.55,194.0,247.0,165.25,44106,8531541.8,452,193.43,EQ
14-03-2017,194.0,218.35,194.0,207.2,207.9,247.0,165.25,622987,126387867.2,5160,202.87,EQ
15-03-2017,207.95,226.5,202.55,222.2,225.0,247.0,165.25,697375,148177973.0,6245,212.48,EQ
16-03-2017,223.0,240.2,223.0,238.7,239.5,247.0,165.25,390972,91844835.3,6137,234.91,EQ
17-03-2017,242.0,246.3,225.1,242.15,239.0,247.0,165.25,221241,52103233.55,4354,235.5,EQ
20-03-2017,242.0,244.8,234.05,237.95,238.9,247.0,165.25,108042,25878517.65,1697,239.52,EQ
21-03-2017,239.6,241.9,216.3,221.2,220.0,247.0,165.25,229856,52134339.3,3654,226.81,EQ
22-03-2017,216.9,225.65,212.1,220.85,217.15,247.0,165.25,188809,41378269.5,3064,219.15,EQ
23-03-2017,218.25,222.35,216.1,217.35,217.0,247.0,165.25,34517,7562663.3,879,219.1,EQ
24-03-2017,217.65,223.9,217.6,220.85,218.45,247.0,165.25,57269,12664565.15,817,221.14,EQ
27-03-2017,224.65,225.0,215.6,216.65,217.0,247.0,165.25,27704,6059010.7,494,218.71,EQ
28-03-2017,222.65,222.65,201.3,211.3,214.75,247.0,165.25,84553,18195350.05,717,215.19,EQ
29-03-2017,213.0,220.0,212.1,213.45,213.8,247.0,165.25,249954,54021818.75,1138,216.13,EQ
30-03-2017,213.05,222.35,212.8,217.4,217.0,247.0,165.25,117275,25499912.35,1117,217.44,EQ
31-03-2017,218.3,223.0,212.6,214.75,212.6,247.0,165.25,42389,9292795.2,700,219.23,EQ
03-04-2017,215.05,229.7,215.0,225.75,224.0,247.0,165.25,131274,29583497.6,1896,225.36,EQ
05-04-2017,226.45,236.0,226.45,229.65,231.0,247.0,165.25,115668,26822746.35,1570,231.89,EQ
06-04-2017,229.4,229.4,213.0,215.15,214.0,247.0,165.25,132787,29078417.85,1867,218.99,EQ
07-04-2017,219.8,219.8,210.0,211.15,217.0,247.0,165.25,105857,22588525.1,1084,213.39,EQ
10-04-2017,216.55,221.95,213.65,216.5,216.95,247.0,165.25,47489,10341973.65,820,217.78,EQ
11-04-2017,221.5,221.5,208.8,209.95,209.0,247.0,165.25,70096,14890683.0,955,212.43,EQ
12-04-2017,210.0,214.8,206.5,209.35,211.5,247.0,165.25,83245,17425844.05,1154,209.33,EQ
13-04-2017,208.15,211.0,203.5,204.75,204.5,247.0,165.25,143077,29611371.15,1292,206.96,EQ
17-04-2017,204.9,214.7,204.85,206.85,207.0,247.0,165.25,106414,22303609.65,1256,209.59,EQ
18-04-2017,209.45,209.95,204.0,205.55,205.2,247.0,165.25,34642,7170405.4,533,206.99,EQ
19-04-2017,206.15,206.15,201.05,201.5,201.5,247.0,165.25,37093,7528005.45,575,202.95,EQ
20-04-2017,204.05,208.5,200.0,206.85,206.2,247.0,165.25,42714,8744824.25,759,204.73,EQ
21-04-2017,207.9,209.0,202.7,205.1,205.0,247.0,165.25,27369,5645196.7,370,206.26,EQ
24-04-2017,205.05,214.15,205.05,207.45,206.0,247.0,165.25,29652,6202443.95,579,209.17,EQ
25-04-2017,206.7,208.0,200.65,202.1,202.5,247.0,165.25,74824,15304308.95,665,204.54,EQ
26-04-2017,203.55,209.0,197.15,198.85,198.0,247.0,165.25,68210,13711357.55,1019,201.02,EQ
27-04-2017,204.5,204.5,194.1,197.4,196.0,247.0,165.25,111137,21842279.55,1160,196.53,EQ
28-04-2017,198.05,198.05,195.0,195.5,196.0,247.0,165.25,38521,7555107.05,403,196.13,EQ
02-05-2017,195.55,199.1,193.4,194.8,193.65,247.0,165.25,46794,9185421.05,582,196.29,EQ
03-05-2017,195.4,196.5,190.0,190.2,191.3,247.0,165.25,554873,105753157.25,1020,190.59,EQ
04-05-2017,193.85,194.9,189.5,193.55,193.0,247.0,165.25,72031,13893971.2,862,192.89,EQ
05-05-2017,191.65,197.15,190.3,192.0,191.0,247.0,165.25,49381,9560222.3,657,193.6,EQ
08-05-2017,192.0,195.95,192.0,194.05,194.0,247.0,165.25,32739,6368021.25,360,194.51,EQ
09-05-2017,194.5,196.1,191.7,193.9,193.6,247.0,165.25,26925,5228796.05,458,194.2,EQ
10-05-2017,192.1,194.9,188.8,190.0,191.8,247.0,165.25,43750,8368075.6,665,191.27,EQ
11-05-2017,190.4,193.55,190.25,191.7,191.95,247.0,165.25,22596,4330862.05,361,191.66,EQ
12-05-2017,191.75,193.95,189.0,190.3,189.0,247.0,165.25,20888,3997061.1,405,191.36,EQ
15-05-2017,196.0,196.0,187.5,188.95,188.7,247.0,165.25,29551,5614295.0,424,189.99,EQ
16-05-2017,192.95,195.9,191.0,194.0,193.1,247.0,165.25,71282,13844715.6,866,194.22,EQ
17-05-2017,195.8,199.5,192.7,199.25,199.4,247.0,165.25,66508,13122043.9,772,197.3,EQ
18-05-2017,197.6,199.95,195.65,198.3,198.0,247.0,165.25,84240,16660615.2,626,197.78,EQ
19-05-2017,198.9,204.35,189.0,195.3,195.7,247.0,165.25,66340,13016133.5,1029,196.2,EQ
22-05-2017,198.0,199.0,190.0,190.6,191.0,247.0,165.25,34896,6742608.95,565,193.22,EQ
23-05-2017,193.95,194.65,185.05,186.3,186.0,247.0,165.25,33809,6345963.3,612,187.7,EQ
24-05-2017,186.35,191.5,175.15,177.45,177.0,247.0,165.25,67801,12342119.05,1126,182.03,EQ
25-05-2017,184.95,189.95,168.15,169.7,170.0,247.0,165.25,98820,17134436.3,1846,173.39,EQ
26-05-2017,170.0,183.95,170.0,172.85,172.5,247.0,165.25,79455,14031460.5,1264,176.6,EQ
29-05-2017,179.8,179.8,171.9,173.8,175.0,247.0,165.25,47142,8212639.9,856,174.21,EQ
30-05-2017,159.0,170.95,145.25,165.5,163.0,247.0,145.25,318240,49999715.2,4581,157.11,EQ
31-05-2017,173.0,173.0,162.0,165.0,164.35,247.0,145.25,41933,6938693.5,973,165.47,EQ
01-06-2017,160.45,168.4,160.45,161.25,161.0,247.0,145.25,36246,5900465.0,550,162.79,EQ
02-06-2017,163.0,165.8,156.25,157.7,158.0,247.0,145.25,46660,7530843.35,811,161.4,EQ
05-06-2017,160.0,189.2,157.5,176.4,176.1,247.0,145.25,661476,120490475.45,6436,182.15,EQ
06-06-2017,177.5,182.5,171.0,177.0,177.55,247.0,145.25,125499,22280514.45,2097,177.54,EQ
07-06-2017,179.95,179.95,170.15,171.9,172.0,247.0,145.25,53670,9306577.4,746,173.4,EQ
08-06-2017,176.6,177.0,171.0,174.8,174.25,247.0,145.25,29898,5229554.45,444,174.91,EQ
09-06-2017,175.0,175.5,170.0,170.95,171.25,247.0,145.25,41562,7153544.7,530,172.12,EQ
12-06-2017,170.95,180.0,170.95,175.35,176.0,247.0,145.25,52315,9229273.75,1059,176.42,EQ
13-06-2017,175.85,177.9,172.55,175.2,173.95,247.0,145.25,15007,2638995.5,228,175.85,EQ
14-06-2017,179.5,179.5,168.0,169.8,170.0,247.0,145.25,49562,8452910.55,669,170.55,EQ
15-06-2017,170.1,174.0,167.0,168.35,168.95,247.0,145.25,49062,8342602.45,469,170.04,EQ
16-06-2017,172.0,172.0,167.45,169.6,170.0,247.0,145.25,30205,5113649.5,384,169.3,EQ
19-06-2017,171.85,171.85,166.25,166.7,166.6,247.0,145.25,15657,2641583.75,324,168.72,EQ
20-06-2017,167.0,169.55,165.15,165.5,166.0,247.0,145.25,15348,2559459.4,223,166.76,EQ
21-06-2017,165.5,173.45,158.25,171.15,171.5,247.0,145.25,130099,21305286.35,1308,163.76,EQ
22-06-2017,173.95,173.95,163.5,166.0,166.85,247.0,145.25,34665,5794033.05,725,167.14,EQ
23-06-2017,164.0,166.8,159.0,161.45,161.0,247.0,145.25,61006,9882019.35,848,161.98,EQ
27-06-2017,161.0,168.0,152.25,154.65,152.25,247.0,145.25,43673,6819978.95,616,156.16,EQ
28-06-2017,152.35,156.55,150.65,153.85,154.4,247.0,145.25,28975,4482035.45,406,154.69,EQ
29-06-2017,153.25,156.55,152.15,154.35,154.95,247.0,145.25,32915,5089618.65,432,154.63,EQ
30-06-2017,154.75,159.85,149.0,153.7,156.95,247.0,145.25,82299,12615295.2,1010,153.29,EQ
03-07-2017,154.5,158.2,153.8,157.2,157.0,247.0,145.25,35214,5499029.3,456,156.16,EQ
04-07-2017,162.7,172.5,158.4,168.25,168.9,247.0,145.25,87666,14671433.25,1262,167.36,EQ
05-07-2017,172.0,173.35,168.05,169.85,168.05,247.0,145.25,78662,13482104.75,664,171.39,EQ
06-07-2017,175.0,175.0,163.45,167.2,165.5,247.0,145.25,49605,8317517.0,590,167.67,EQ
07-07-2017,169.7,169.7,155.5,160.15,161.5,247.0,145.25,46032,7468094.25,855,162.24,EQ
10-07-2017,159.0,164.0,156.25,161.9,156.25,247.0,145.25,7195,1160620.65,140,161.31,EQ
11-07-2017,164.0,165.0,153.0,157.95,157.8,247.0,145.25,39467,6291896.3,553,159.42,EQ
12-07-2017,160.1,164.2,158.2,162.25,162.2,247.0,145.25,67716,10924145.75,589,161.32,EQ
13-07-2017,162.1,163.0,159.1,162.55,162.7,247.0,145.25,46012,7428899.6,585,161.46,EQ
