DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
30-12-2021,36.85,36.85,34.3,34.3,34.3,36.85,34.3,15439,533829.05,175,34.58,EQ
31-12-2021,32.6,35.5,32.6,32.6,32.6,36.85,32.6,42688,1410175.45,247,33.03,EQ
03-01-2022,34.1,34.1,31.0,31.4,31.45,36.85,31.0,50288,1581129.05,343,31.44,EQ
04-01-2022,31.25,32.7,29.85,30.1,29.85,36.85,29.85,29910,902512.4,234,30.17,EQ
05-01-2022,29.15,31.6,28.8,31.6,31.6,36.85,28.8,34316,1062542.45,198,30.96,EQ
06-01-2022,32.9,33.15,31.6,33.15,33.15,36.85,28.8,23077,758518.5,166,32.87,EQ
07-01-2022,34.8,34.8,34.0,34.8,34.8,36.85,28.8,16477,573283.7,90,34.79,EQ
10-01-2022,36.45,36.5,35.55,36.5,36.5,36.85,28.8,35584,1292302.85,265,36.32,EQ
11-01-2022,38.3,38.3,38.3,38.3,38.3,38.3,28.8,17720,678676.0,60,38.3,EQ
12-01-2022,40.0,40.2,40.0,40.2,40.2,40.2,28.8,6397,257059.2,26,40.18,EQ
13-01-2022,42.0,42.2,38.2,40.55,40.7,42.2,28.8,43898,1774736.0,335,40.43,EQ
14-01-2022,42.5,42.55,38.55,38.75,38.55,42.55,28.8,31140,1269614.05,277,40.77,EQ
17-01-2022,39.0,40.65,37.05,40.65,40.65,42.55,28.8,48388,1924108.0,338,39.76,EQ
18-01-2022,42.0,42.6,38.65,38.8,38.65,42.6,28.8,21700,881858.7,237,40.64,EQ
19-01-2022,39.15,40.55,37.15,38.25,37.4,42.6,28.8,12252,474267.15,143,38.71,EQ
20-01-2022,39.25,40.05,36.9,39.0,39.85,42.6,28.8,11434,442248.95,264,38.68,EQ
21-01-2022,39.9,39.9,37.75,38.65,38.7,42.6,28.8,6952,267452.1,73,38.47,EQ
24-01-2022,39.45,39.45,36.75,36.75,36.75,42.6,28.8,7459,277174.65,64,37.16,EQ
25-01-2022,35.0,37.85,34.95,35.5,36.65,42.6,28.8,2944,104102.8,47,35.36,EQ
27-01-2022,34.0,37.25,34.0,37.2,37.25,42.6,28.8,4150,151950.3,85,36.61,EQ
28-01-2022,38.95,39.05,35.35,38.3,39.05,42.6,28.8,17363,653464.25,260,37.64,EQ
31-01-2022,40.0,40.0,36.8,37.25,36.9,42.6,28.8,4819,184145.7,111,38.21,EQ
