DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
22-10-2020,97.0,97.0,92.15,92.15,92.15,97.0,92.15,254790,23642929.45,1591,92.79,BE
23-10-2020,87.55,87.55,87.55,87.55,87.55,97.0,87.55,39370,3446843.5,336,87.55,BE
26-10-2020,83.2,83.2,83.2,83.2,83.2,97.0,83.2,22653,1884729.6,224,83.2,BE
27-10-2020,79.05,79.05,79.05,79.05,79.05,97.0,79.05,14894,1177370.7,175,79.05,BE
28-10-2020,75.1,75.1,75.1,75.1,75.1,97.0,75.1,54677,4106242.7,181,75.1,BE
29-10-2020,71.35,71.35,71.35,71.35,71.35,97.0,71.35,40577,2895168.95,169,71.35,BE
30-10-2020,67.8,67.8,67.8,67.8,67.8,97.0,67.8,32680,2215704.0,197,67.8,BE
02-11-2020,64.45,64.45,64.45,64.45,64.45,97.0,64.45,69112,4454268.4,209,64.45,BE
03-11-2020,61.25,67.65,61.25,67.65,67.65,97.0,61.25,4928871,319338402.75,1254,64.79,BE
04-11-2020,68.95,68.95,64.3,64.3,64.3,97.0,61.25,1921329,125123270.05,1997,65.12,BE
05-11-2020,62.7,62.85,54.4,58.4,58.5,62.85,54.4,6198675,362688295.15,27958,58.51,EQ
06-11-2020,59.0,68.6,58.35,64.75,64.6,68.6,54.4,5133633,330835029.6,23000,64.44,EQ
09-11-2020,65.8,66.7,63.4,65.3,65.3,68.6,54.4,1369302,89240271.15,6954,65.17,EQ
10-11-2020,65.0,65.35,60.0,61.35,61.4,68.6,54.4,891481,55712926.65,5230,62.49,EQ
11-11-2020,61.6,64.0,61.5,61.7,62.0,68.6,54.4,790511,49451276.95,4428,62.56,EQ
12-11-2020,62.35,64.25,61.8,63.0,62.8,68.6,54.4,604249,38164213.25,2813,63.16,EQ
13-11-2020,62.45,64.0,62.45,62.9,63.4,68.6,54.4,312357,19754486.9,2111,63.24,EQ
14-11-2020,64.5,65.8,64.1,65.5,65.6,68.6,54.4,386916,25174728.3,2017,65.07,EQ
17-11-2020,66.95,66.95,63.6,63.95,64.05,68.6,54.4,784011,50517981.1,3057,64.44,EQ
18-11-2020,64.25,71.6,63.55,67.3,67.8,71.6,54.4,3212792,219243157.5,13024,68.24,EQ
19-11-2020,67.95,70.85,66.0,66.85,66.55,71.6,54.4,1820774,124963191.95,8006,68.63,EQ
20-11-2020,67.7,68.0,64.5,65.35,65.3,71.6,54.4,785949,51735129.9,3747,65.83,EQ
23-11-2020,66.5,66.5,64.5,64.85,64.9,71.6,54.4,529633,34408343.75,2992,64.97,EQ
24-11-2020,66.0,66.0,63.6,63.8,63.75,71.6,54.4,447726,28751792.9,2423,64.22,EQ
25-11-2020,64.9,64.9,62.0,63.05,63.05,71.6,54.4,658856,41678592.5,3322,63.26,EQ
26-11-2020,63.9,64.8,62.3,62.9,62.85,71.6,54.4,768206,48537947.95,3471,63.18,EQ
27-11-2020,63.15,63.5,62.7,63.05,63.0,71.6,54.4,1653062,104176123.45,5163,63.02,EQ
01-12-2020,63.8,67.15,63.4,64.2,63.7,71.6,54.4,5490225,356100377.55,17745,64.86,EQ
02-12-2020,64.0,73.9,63.5,72.8,72.8,73.9,54.4,10245492,702602432.3,35540,68.58,EQ
03-12-2020,75.0,80.5,73.6,76.25,76.4,80.5,54.4,7007756,543225098.8,28534,77.52,EQ
04-12-2020,77.0,77.0,72.3,74.7,74.6,80.5,54.4,2102260,156771057.55,9485,74.57,EQ
07-12-2020,75.75,76.35,72.9,75.0,74.85,80.5,54.4,2784478,208119072.65,8028,74.74,EQ
08-12-2020,79.0,82.0,76.4,78.65,78.3,82.0,54.4,9195559,725346676.15,33012,78.88,EQ
09-12-2020,79.6,79.6,77.2,77.65,77.25,82.0,54.4,1800850,141600529.5,7476,78.63,EQ
10-12-2020,76.5,77.55,74.1,75.35,75.2,82.0,54.4,1368248,103033119.2,8738,75.3,EQ
11-12-2020,75.05,81.85,75.05,76.7,76.9,82.0,54.4,3228071,252759338.3,20800,78.3,EQ
14-12-2020,77.9,79.0,75.1,78.4,78.6,82.0,54.4,1932148,149615968.4,8847,77.44,EQ
15-12-2020,78.75,78.75,76.1,76.45,76.3,82.0,54.4,1117710,86024942.2,5174,76.97,EQ
16-12-2020,78.0,79.0,76.6,77.3,77.0,82.0,54.4,1853079,144843263.45,10825,78.16,EQ
17-12-2020,77.55,78.4,74.8,75.35,75.2,82.0,54.4,1034017,79006803.85,5866,76.41,EQ
18-12-2020,75.5,75.85,72.5,72.7,72.9,82.0,54.4,1640048,120229759.85,6319,73.31,EQ
21-12-2020,73.3,73.5,66.0,67.5,67.95,82.0,54.4,1586682,111382540.3,9519,70.2,EQ
22-12-2020,69.05,71.8,64.5,71.05,70.6,82.0,54.4,1133484,77698805.65,6488,68.55,EQ
23-12-2020,71.6,72.0,70.7,71.95,71.85,82.0,54.4,474778,34049720.2,3651,71.72,EQ
24-12-2020,72.25,73.1,70.7,71.45,71.45,82.0,54.4,755915,54232094.55,5657,71.74,EQ
28-12-2020,71.75,72.4,69.8,70.7,70.7,82.0,54.4,595902,42477956.45,3693,71.28,EQ
29-12-2020,71.0,74.8,70.0,73.55,73.3,82.0,54.4,2776380,202203062.95,14483,72.83,EQ
30-12-2020,74.7,88.25,72.5,88.25,88.25,88.25,54.4,10574707,862166846.7,42521,81.53,EQ
31-12-2020,97.3,102.7,92.7,95.05,95.6,102.7,54.4,15363123,1496855537.55,64781,97.43,EQ
01-01-2021,95.95,96.0,90.25,91.8,91.9,102.7,54.4,4425308,408454034.9,38356,92.3,EQ
04-01-2021,92.7,93.55,88.3,89.05,88.85,102.7,54.4,3622465,325888956.5,21811,89.96,EQ
05-01-2021,88.5,97.0,88.0,91.6,91.6,102.7,54.4,4280511,398040128.8,29616,92.99,EQ
06-01-2021,92.4,92.85,88.4,89.95,89.9,102.7,54.4,2925371,264145162.55,19532,90.29,EQ
07-01-2021,91.8,97.0,89.2,94.4,96.95,102.7,54.4,10252941,951552078.1,42762,92.81,EQ
08-01-2021,98.65,113.25,96.5,112.6,112.0,113.25,54.4,20949147,2257907396.0,106771,107.78,EQ
11-01-2021,117.2,124.45,108.65,119.6,118.0,124.45,54.4,12226351,1434390222.75,82256,117.32,EQ
12-01-2021,117.95,131.55,115.2,131.1,129.0,131.55,54.4,9314639,1163765637.7,58631,124.94,EQ
13-01-2021,130.4,141.2,125.05,134.4,130.0,141.2,54.4,14188207,1906106011.45,115729,134.34,EQ
14-01-2021,130.1,137.3,127.05,128.35,128.0,141.2,54.4,4827136,633262936.5,52265,131.19,EQ
15-01-2021,128.5,132.4,124.1,130.45,131.25,141.2,54.4,5172920,667267189.7,40539,128.99,EQ
18-01-2021,132.0,143.45,127.6,141.4,140.95,143.45,54.4,10830093,1501487588.85,72106,138.64,EQ
19-01-2021,145.5,152.1,142.75,144.65,144.75,152.1,54.4,7256537,1070875913.5,76291,147.57,EQ
20-01-2021,147.0,149.0,141.5,143.1,142.55,152.1,54.4,2989231,431138665.55,29927,144.23,EQ
21-01-2021,145.0,152.45,140.1,143.05,145.15,152.45,54.4,5986760,875711721.0,63569,146.27,EQ
22-01-2021,144.2,149.2,133.45,137.6,137.0,152.45,54.4,4614014,649625481.75,53796,140.79,EQ
25-01-2021,139.85,142.4,133.25,136.55,136.0,152.45,54.4,2355812,324391371.15,25443,137.7,EQ
27-01-2021,137.4,137.4,129.5,130.95,130.25,152.45,54.4,1700923,226048293.2,21708,132.9,EQ
28-01-2021,127.5,134.25,127.1,131.6,131.55,152.45,54.4,2017159,264487978.4,23650,131.12,EQ
29-01-2021,133.0,143.5,133.0,139.65,139.0,152.45,54.4,4579882,638638650.0,41207,139.44,EQ
01-02-2021,141.1,151.0,139.65,147.15,148.0,152.45,54.4,4424578,643911445.95,36337,145.53,EQ
02-02-2021,144.7,149.0,140.4,141.35,141.9,149.0,61.25,998338,144180298.85,4781,144.42,BE
03-02-2021,142.0,142.0,135.1,136.8,137.0,149.0,61.25,726524,99754079.55,5356,137.3,BE
04-02-2021,139.0,143.6,136.0,143.6,143.6,149.0,61.25,420690,59729438.3,2230,141.98,BE
05-02-2021,146.5,150.75,144.0,150.75,150.75,150.75,61.25,1389933,207895314.8,5612,149.57,BE
08-02-2021,158.25,158.25,158.25,158.25,158.25,158.25,61.25,327982,51903151.5,1341,158.25,BE
09-02-2021,166.15,166.15,166.15,166.15,166.15,166.15,61.25,201694,33511458.1,957,166.15,BE
10-02-2021,168.0,174.45,157.85,174.35,174.45,174.45,61.25,3166492,541847469.2,12958,171.12,BE
11-02-2021,175.0,183.05,175.0,183.05,183.05,183.05,61.25,1278368,233250822.65,5270,182.46,BE
12-02-2021,191.4,192.2,189.0,192.2,192.2,192.2,61.25,813408,156133657.05,5585,191.95,BE
15-02-2021,201.8,201.8,184.0,198.7,196.0,201.8,61.25,2986959,593415081.65,17792,198.67,BE
16-02-2021,194.0,195.7,188.8,188.8,188.8,201.8,61.25,1610919,306496987.85,12098,190.26,BE
