DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
14-02-2001,106.0,109.0,106.0,109.0,109.0,0.0,0.0,10,1075.0,,107.5,EQ
15-02-2001,101.0,106.0,101.0,106.0,106.0,109.0,106.0,165,17215.0,,104.33,EQ
19-02-2001,113.0,113.5,113.0,113.5,113.5,109.0,101.0,100,11325.0,,113.25,EQ
20-02-2001,120.0,122.5,116.0,122.5,122.5,113.5,101.0,470,56546.0,,120.31,EQ
21-02-2001,125.5,126.0,119.1,120.2,120.1,122.5,101.0,2555,312033.75,,122.13,EQ
22-02-2001,117.2,122.0,110.6,110.6,110.6,126.0,101.0,570,65240.0,,114.46,EQ
26-02-2001,107.5,108.9,105.2,105.2,105.2,126.0,101.0,450,47985.0,,106.63,EQ
27-02-2001,108.0,108.0,101.0,101.0,101.0,126.0,101.0,425,44225.0,,104.06,EQ
28-02-2001,102.0,102.0,100.0,100.0,100.0,126.0,101.0,100,10190.0,,101.9,EQ
01-03-2001,107.9,107.9,102.0,102.0,102.0,126.0,100.0,105,10739.5,,102.28,EQ
02-03-2001,100.0,100.0,100.0,100.0,100.0,126.0,100.0,195,19500.0,,100.0,EQ
05-03-2001,99.05,99.05,99.0,99.0,99.0,126.0,100.0,105,10397.75,,99.03,EQ
07-03-2001,104.0,104.0,104.0,104.0,104.0,126.0,99.0,5,520.0,,104.0,EQ
08-03-2001,109.8,109.8,109.8,109.8,109.8,126.0,99.0,5,549.0,,109.8,EQ
09-03-2001,109.0,109.0,109.0,109.0,109.0,126.0,99.0,5,545.0,,109.0,EQ
22-03-2001,100.3,100.3,100.3,100.3,100.3,126.0,99.0,10,1003.0,,100.3,EQ
23-03-2001,98.0,98.0,98.0,98.0,98.0,126.0,99.0,1,98.0,,98.0,EQ
27-03-2001,91.05,91.05,91.0,91.0,91.0,126.0,98.0,111,10101.55,,91.0,EQ
28-03-2001,84.3,84.3,84.3,84.3,84.3,126.0,91.0,100,8430.0,,84.3,EQ
29-03-2001,84.1,91.0,84.1,91.0,91.0,126.0,84.3,110,9320.0,,84.73,EQ
30-03-2001,90.0,90.0,90.0,90.0,90.0,126.0,84.1,5,450.0,,90.0,EQ
02-04-2001,83.0,83.0,83.0,83.0,83.0,126.0,84.1,100,8300.0,,83.0,EQ
03-04-2001,83.5,84.0,82.1,82.1,82.1,126.0,83.0,375,31298.0,,83.46,EQ
04-04-2001,82.0,88.6,82.0,88.6,88.6,126.0,82.1,105,8643.0,,82.31,EQ
06-04-2001,82.05,82.05,82.0,82.0,82.0,126.0,82.0,90,7382.5,,82.03,EQ
09-04-2001,88.5,88.5,88.5,88.5,88.5,126.0,82.0,39,3451.5,,88.5,EQ
11-04-2001,85.0,85.0,85.0,85.0,85.0,126.0,82.0,10,850.0,,85.0,EQ
16-04-2001,89.75,89.75,89.75,89.75,89.75,126.0,82.0,700,62825.0,,89.75,EQ
