DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
15-09-2010,449.5,457.95,445.1,446.65,448.0,658.0,320.0,105657,47560184.55,,450.14,EQ
16-09-2010,447.0,454.0,438.45,440.45,440.0,658.0,320.0,165233,73693323.9,,446.0,EQ
17-09-2010,442.0,448.0,438.0,441.0,440.35,658.0,320.0,131222,58046438.15,,442.35,EQ
20-09-2010,439.0,445.65,407.5,439.95,437.0,658.0,320.0,177340,78008336.5,,439.88,EQ
21-09-2010,444.2,464.4,440.4,452.2,451.9,658.0,320.0,788386,358193235.75,,454.34,EQ
22-09-2010,453.65,456.2,443.0,444.8,443.5,658.0,320.0,224259,100987701.45,,450.32,EQ
23-09-2010,445.05,452.8,442.0,444.95,443.5,658.0,320.0,154926,69285675.15,,447.22,EQ
24-09-2010,445.0,449.75,440.0,443.05,440.1,658.0,320.0,88457,39346735.45,,444.81,EQ
27-09-2010,445.0,447.75,441.0,442.55,444.0,658.0,320.0,83745,37195182.2,,444.15,EQ
28-09-2010,440.0,453.35,440.0,444.45,444.4,658.0,320.0,191257,85578699.85,,447.45,EQ
29-09-2010,445.0,455.7,440.0,442.0,440.45,658.0,320.0,354323,158791889.65,,448.16,EQ
30-09-2010,444.0,446.7,436.6,440.9,442.0,658.0,320.0,99533,43978792.35,,441.85,EQ
01-10-2010,445.7,450.9,442.15,444.85,443.95,658.0,320.0,169300,75589926.85,,446.49,EQ
04-10-2010,450.0,454.2,446.95,449.15,450.5,658.0,320.0,168894,76044233.9,,450.25,EQ
05-10-2010,451.0,451.65,444.95,447.75,450.0,658.0,320.0,89334,39981616.9,,447.55,EQ
06-10-2010,452.5,486.0,447.35,462.15,462.45,658.0,320.0,1078714,509720176.8,,472.53,EQ
07-10-2010,465.4,469.8,446.05,451.65,452.0,658.0,320.0,248165,114482399.8,,461.32,EQ
08-10-2010,454.15,456.8,443.25,447.1,449.0,658.0,320.0,102056,45830591.2,,449.07,EQ
11-10-2010,453.1,460.4,448.0,451.55,449.3,658.0,320.0,161414,73386853.5,,454.65,EQ
12-10-2010,452.1,453.0,442.95,445.2,444.0,658.0,320.0,69568,31096231.35,,446.99,EQ
13-10-2010,449.4,454.0,445.15,448.0,445.7,658.0,320.0,113917,51135536.15,,448.88,EQ
14-10-2010,449.4,460.95,445.0,447.2,447.0,658.0,320.0,200937,90926780.85,,452.51,EQ
15-10-2010,449.8,455.0,442.2,443.55,444.75,658.0,320.0,106480,47745622.2,,448.4,EQ
18-10-2010,446.0,446.65,436.0,441.65,443.0,658.0,320.0,77118,33965086.9,,440.43,EQ
19-10-2010,445.95,452.7,440.1,441.05,441.0,658.0,320.0,132268,58918719.4,,445.45,EQ
20-10-2010,443.9,446.0,433.05,435.05,435.05,658.0,320.0,85247,37392545.7,,438.64,EQ
21-10-2010,437.9,442.0,435.1,438.8,438.45,658.0,320.0,62648,27463268.6,,438.37,EQ
22-10-2010,436.0,443.4,431.0,436.5,434.0,658.0,320.0,71625,31458581.0,,439.21,EQ
25-10-2010,436.3,444.45,435.0,437.2,437.3,658.0,320.0,87810,38580867.6,,439.37,EQ
26-10-2010,440.0,448.0,436.2,438.65,436.2,658.0,320.0,117641,51900683.6,,441.18,EQ
27-10-2010,438.0,448.9,435.0,440.35,438.05,658.0,320.0,108915,48209479.6,,442.63,EQ
28-10-2010,445.1,460.0,438.0,441.05,441.55,658.0,320.0,240937,107723921.15,,447.1,EQ
29-10-2010,443.7,444.0,427.35,429.6,430.0,658.0,320.0,76390,33207170.05,,434.71,EQ
01-11-2010,435.5,436.85,428.1,433.05,431.9,658.0,320.0,79293,34293478.4,,432.49,EQ
02-11-2010,433.0,434.6,425.0,428.75,429.5,658.0,320.0,69114,29654312.95,,429.06,EQ
03-11-2010,434.0,470.0,432.2,445.4,447.0,658.0,320.0,1036000,470103564.1,,453.77,EQ
04-11-2010,449.3,453.9,440.25,447.35,446.0,658.0,320.0,260119,116572625.35,,448.15,EQ
05-11-2010,454.8,454.8,444.1,446.15,445.35,658.0,320.0,28491,12731745.7,,446.87,EQ
08-11-2010,448.8,448.8,437.5,440.25,439.7,658.0,320.0,98151,43391949.75,,442.09,EQ
09-11-2010,442.0,446.75,438.35,440.8,438.5,658.0,320.0,81852,36205071.55,,442.32,EQ
10-11-2010,439.0,462.4,438.55,446.7,445.95,658.0,320.0,422715,191068599.0,,452.0,EQ
11-11-2010,449.0,456.0,438.1,440.05,441.15,658.0,320.0,125909,56259787.25,,446.83,EQ
12-11-2010,439.0,443.0,391.6,409.75,411.0,658.0,320.0,1533639,634204669.15,,413.53,EQ
15-11-2010,392.0,408.95,361.0,375.0,374.0,658.0,320.0,604084,226194336.1,,374.44,EQ
16-11-2010,365.0,377.4,357.6,362.1,359.9,658.0,320.0,360365,130674215.7,,362.62,EQ
