DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
17-06-1998,393.0,404.95,387.0,394.1,398.95,550.0,360.0,10900,4319250.0,,396.26,EQ
18-06-1998,395.05,400.0,380.0,386.75,390.0,550.0,360.0,12200,4734205.0,,388.05,EQ
19-06-1998,365.0,384.0,365.0,381.45,383.95,550.0,360.0,22600,8547620.0,,378.21,EQ
22-06-1998,370.0,394.9,355.0,382.6,391.5,550.0,360.0,55600,20257590.0,,364.35,EQ
23-06-1998,380.0,403.0,361.0,392.5,385.5,550.0,355.0,28700,11157655.0,,388.77,EQ
24-06-1998,388.0,391.0,381.1,389.75,391.0,550.0,355.0,3700,1430115.0,,386.52,EQ
25-06-1998,400.0,405.0,390.0,393.9,392.0,550.0,355.0,3400,1340250.0,,394.19,EQ
26-06-1998,394.0,394.95,380.1,389.0,387.0,550.0,355.0,9100,3518150.0,,386.61,EQ
29-06-1998,389.75,402.0,388.0,396.0,396.0,550.0,355.0,11700,4645135.0,,397.02,EQ
30-06-1998,390.0,396.75,387.0,388.85,388.5,550.0,355.0,17800,6942350.0,,390.02,EQ
01-07-1998,386.0,387.5,382.9,385.85,387.5,550.0,355.0,3100,1194520.0,,385.33,EQ
02-07-1998,381.0,384.0,378.0,380.7,378.75,550.0,355.0,7200,2740230.0,,380.59,EQ
03-07-1998,376.05,377.0,357.0,361.7,358.0,550.0,355.0,20200,7439595.0,,368.3,EQ
06-07-1998,370.0,371.95,350.0,350.4,350.25,550.0,355.0,27000,9600185.0,,355.56,EQ
07-07-1998,351.0,359.95,348.05,353.95,348.1,550.0,350.0,26900,9541990.0,,354.72,EQ
08-07-1998,362.9,364.0,345.0,345.3,346.0,550.0,348.05,40200,14076860.0,,350.17,EQ
09-07-1998,347.0,353.8,340.0,345.85,346.9,550.0,345.0,73600,25325410.0,,344.1,EQ
10-07-1998,353.0,362.85,348.65,361.0,362.8,550.0,340.0,32500,11542310.0,,355.15,EQ
13-07-1998,364.1,378.0,364.0,367.95,368.0,550.0,340.0,62300,22977285.0,,368.82,EQ
14-07-1998,364.0,377.45,360.1,370.5,373.45,550.0,340.0,25200,9298510.0,,368.99,EQ
15-07-1998,386.5,391.4,381.0,381.7,383.35,550.0,340.0,50600,19433415.0,,384.06,EQ
16-07-1998,385.85,385.85,379.0,380.05,380.05,550.0,340.0,37200,14155480.0,,380.52,EQ
17-07-1998,383.0,383.45,378.0,380.7,379.5,550.0,340.0,40900,15559655.0,,380.43,EQ
20-07-1998,379.9,380.0,370.0,372.4,370.0,550.0,340.0,17800,6693665.0,,376.05,EQ
21-07-1998,374.0,374.0,366.1,369.25,369.5,550.0,340.0,30800,11378305.0,,369.43,EQ
22-07-1998,374.95,377.25,368.0,375.0,375.75,550.0,340.0,23900,8907630.0,,372.7,EQ
23-07-1998,371.1,383.9,356.0,359.1,360.0,550.0,340.0,51000,18556840.0,,363.86,EQ
24-07-1998,355.5,360.0,340.0,344.75,343.5,550.0,340.0,54300,18890785.0,,347.9,EQ
27-07-1998,344.0,350.0,323.55,326.25,327.0,550.0,340.0,66200,22107525.0,,333.95,EQ
28-07-1998,326.0,331.9,318.05,326.75,329.0,550.0,323.55,65200,21151485.0,,324.41,EQ
29-07-1998,342.0,343.0,328.95,336.5,337.0,550.0,318.05,71500,23892015.0,,334.15,EQ
30-07-1998,339.5,340.0,323.0,324.0,324.4,550.0,318.05,65000,21463785.0,,330.21,EQ
31-07-1998,326.0,327.0,315.65,316.65,318.95,550.0,318.05,61300,19569190.0,,319.24,EQ
03-08-1998,312.0,315.75,300.0,311.5,312.0,550.0,315.65,55000,17053860.0,,310.07,EQ
04-08-1998,311.0,321.0,311.0,318.7,319.0,550.0,300.0,68600,21872685.0,,318.84,EQ
05-08-1998,314.05,316.0,307.75,314.2,314.2,550.0,300.0,74700,23375950.0,,312.93,EQ
06-08-1998,312.2,312.2,301.0,302.35,301.25,550.0,300.0,80300,24588110.0,,306.2,EQ
07-08-1998,300.0,302.0,287.0,290.85,291.05,550.0,300.0,215600,63286775.0,,293.54,EQ
10-08-1998,285.0,288.0,276.0,280.6,280.0,550.0,287.0,122900,34770955.0,,282.92,EQ
11-08-1998,276.5,277.0,258.5,266.85,265.0,520.0,276.0,280500,74957235.0,,267.23,EQ
