DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
26-12-2019,170.0,170.0,161.5,161.5,161.5,170.0,161.5,16803,2807193.0,66,167.06,BE
27-12-2019,153.45,153.45,153.45,153.45,153.45,170.0,153.45,149,22864.05,10,153.45,BE
30-12-2019,145.8,151.9,145.8,145.8,145.8,170.0,145.8,44795,6535970.3,373,145.91,BE
31-12-2019,138.55,147.0,138.55,142.05,145.0,170.0,138.55,438334,61341124.75,4121,139.94,BE
01-01-2020,137.0,142.0,134.95,134.95,134.95,170.0,134.95,73981,10048991.25,711,135.83,BE
02-01-2020,128.8,141.65,128.8,141.65,141.65,170.0,128.8,52668,7247683.0,438,137.61,BE
03-01-2020,145.0,148.7,142.0,148.7,148.7,170.0,128.8,35430,5236391.1,211,147.8,BE
06-01-2020,152.0,156.1,145.05,153.7,156.1,170.0,128.8,62900,9493129.45,451,150.92,BE
07-01-2020,159.0,161.0,146.7,158.75,161.0,170.0,128.8,44719,6917182.0,375,154.68,BE
08-01-2020,155.5,166.65,152.2,161.7,166.65,170.0,128.8,29670,4693795.7,320,158.2,BE
09-01-2020,170.1,178.8,168.0,175.6,178.8,178.8,168.0,73801,12729284.35,795,172.48,EQ
10-01-2020,175.6,191.0,175.6,188.2,185.0,191.0,168.0,87613,16291701.6,1881,185.95,EQ
13-01-2020,185.0,197.8,180.0,180.75,180.0,197.8,168.0,39773,7394917.25,1129,185.93,EQ
14-01-2020,180.6,180.95,170.1,173.5,172.3,197.8,168.0,36384,6323939.5,1657,173.81,EQ
15-01-2020,170.25,179.9,164.0,172.6,178.0,197.8,164.0,36730,6238229.5,812,169.84,EQ
16-01-2020,169.3,183.0,169.3,178.7,177.05,197.8,164.0,26071,4661872.25,509,178.81,EQ
17-01-2020,179.0,179.0,171.0,172.95,175.05,197.8,164.0,42447,7364980.25,934,173.51,EQ
20-01-2020,169.1,175.9,167.5,170.55,168.7,197.8,164.0,12950,2206575.0,279,170.39,EQ
21-01-2020,170.5,174.0,165.0,171.75,172.0,197.8,164.0,38369,6521905.35,424,169.98,EQ
22-01-2020,174.0,174.0,167.0,169.65,171.0,197.8,164.0,31681,5387596.35,475,170.06,EQ
23-01-2020,173.0,173.0,165.2,167.75,168.0,197.8,164.0,54795,9194856.55,6290,167.8,EQ
24-01-2020,165.1,170.5,165.1,168.6,168.15,197.8,164.0,26477,4460009.05,540,168.45,EQ
27-01-2020,165.6,168.15,164.05,166.4,166.95,197.8,164.0,9898,1646525.05,293,166.35,EQ
28-01-2020,169.95,169.95,157.0,161.95,160.0,197.8,157.0,32500,5319300.1,642,163.67,EQ
29-01-2020,160.05,166.0,156.7,162.85,163.1,197.8,156.7,32096,5178634.85,543,161.35,EQ
30-01-2020,167.3,167.35,155.45,161.45,162.5,197.8,155.45,25302,4025024.55,513,159.08,EQ
31-01-2020,164.1,164.1,156.0,158.45,157.0,197.8,155.45,41657,6579832.75,1473,157.95,EQ
