DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
20-12-2007,121.8,122.05,106.05,109.35,109.0,122.05,106.05,21702,2566283.5,,118.25,EQ
24-12-2007,109.1,113.75,109.0,110.5,109.25,122.05,106.05,1904,209813.35,,110.2,EQ
26-12-2007,110.0,110.0,106.15,106.35,106.15,122.05,106.05,107,11382.4,,106.38,EQ
27-12-2007,108.9,110.0,108.9,108.95,108.95,122.05,106.05,995,108837.75,,109.38,EQ
28-12-2007,103.5,115.0,100.0,107.7,108.15,122.05,100.0,328,34706.0,,105.81,EQ
31-12-2007,107.9,118.4,107.9,111.45,113.0,122.05,100.0,4092,464482.45,,113.51,EQ
01-01-2008,115.0,117.0,110.25,117.0,117.0,122.05,100.0,200,22801.25,,114.01,EQ
02-01-2008,123.0,123.0,110.25,114.0,114.0,123.0,100.0,698,80680.95,,115.59,EQ
03-01-2008,114.0,119.0,110.15,118.85,118.85,123.0,100.0,1601,182210.25,,113.81,EQ
04-01-2008,116.0,118.0,107.0,108.65,108.65,123.0,100.0,540,61900.35,,114.63,EQ
07-01-2008,104.6,117.4,104.55,114.5,114.5,123.0,100.0,754,79361.85,,105.25,EQ
08-01-2008,108.5,123.8,103.1,108.65,107.0,123.8,100.0,849,97336.95,,114.65,EQ
09-01-2008,107.2,110.0,102.3,103.7,103.7,123.8,100.0,83,8774.4,,105.72,EQ
10-01-2008,102.1,109.9,100.35,101.1,100.4,123.8,100.0,338,34685.55,,102.62,EQ
11-01-2008,85.2,110.85,85.1,98.15,98.15,123.8,85.1,252,24257.15,,96.26,EQ
14-01-2008,93.0,97.9,93.0,96.35,97.9,123.8,85.1,712,66665.5,,93.63,EQ
15-01-2008,112.9,115.0,92.0,96.5,92.0,123.8,85.1,2421,256527.35,,105.96,EQ
16-01-2008,80.1,111.35,80.1,90.0,90.0,123.8,80.1,1302,125479.9,,96.37,EQ
17-01-2008,86.3,106.45,86.05,101.05,101.0,123.8,80.1,1240,124747.2,,100.6,EQ
18-01-2008,101.0,102.0,93.45,98.9,98.9,123.8,80.1,301,29511.5,,98.04,EQ
21-01-2008,99.0,99.0,91.0,91.0,91.0,123.8,80.1,120,11388.0,,94.9,EQ
22-01-2008,90.0,92.4,82.5,82.5,82.5,123.8,80.1,515,46081.4,,89.48,EQ
23-01-2008,82.5,82.5,74.0,74.0,74.0,123.8,74.0,102,7748.5,,75.97,EQ
24-01-2008,74.0,74.0,72.6,72.6,72.6,123.8,72.6,23,1688.0,,73.39,EQ
25-01-2008,65.0,84.95,65.0,84.4,84.95,123.8,65.0,620,42813.85,,69.05,EQ
28-01-2008,76.0,86.0,76.0,78.4,80.0,123.8,65.0,265,20752.0,,78.31,EQ
29-01-2008,77.1,86.0,77.1,79.0,78.1,123.8,65.0,1063,84072.9,,79.09,EQ
31-01-2008,78.1,88.9,72.05,81.6,88.9,123.8,65.0,582,46339.6,,79.62,EQ
01-02-2008,75.05,86.95,73.05,82.0,82.0,123.8,65.0,453,34641.0,,76.47,EQ
04-02-2008,80.3,82.25,80.1,81.05,81.05,123.8,65.0,280,22667.0,,80.95,EQ
05-02-2008,95.0,96.9,70.1,90.65,91.75,123.8,65.0,398,35428.05,,89.02,EQ
06-02-2008,82.05,92.0,82.05,82.1,82.1,123.8,65.0,245,21380.25,,87.27,EQ
07-02-2008,70.0,94.4,70.0,81.75,81.75,123.8,65.0,584,47276.95,,80.95,EQ
08-02-2008,78.0,78.5,76.6,78.5,78.5,123.8,65.0,1194,93492.0,,78.3,EQ
11-02-2008,70.0,91.9,70.0,85.8,85.8,123.8,65.0,508,40260.9,,79.25,EQ
12-02-2008,77.0,77.0,77.0,77.0,77.0,123.8,65.0,69,5313.0,,77.0,EQ
13-02-2008,71.55,88.3,71.55,77.0,77.0,123.8,65.0,260,19922.25,,76.62,EQ
14-02-2008,85.45,92.3,78.25,83.35,91.5,123.8,65.0,902,77162.9,,85.55,EQ
15-02-2008,73.25,88.9,73.25,77.0,77.05,123.8,65.0,4231,341959.1,,80.82,EQ
18-02-2008,77.0,89.8,77.0,86.0,87.0,123.8,65.0,277,23963.35,,86.51,EQ
