DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
15-05-2003,98.4,98.4,98.4,98.4,98.4,0.0,0.0,100,9840.0,,98.4,EQ
20-05-2003,103.35,103.35,103.35,103.35,103.35,98.4,98.4,200,20670.0,,103.35,EQ
23-05-2003,108.55,108.55,108.55,108.55,108.55,103.35,98.4,500,54275.0,,108.55,EQ
04-06-2003,119.6,119.7,119.6,119.7,119.7,108.55,98.4,52,6221.7,,119.65,EQ
05-06-2003,125.7,125.7,125.0,125.0,125.0,119.7,98.4,150,18787.5,,125.25,EQ
06-06-2003,127.35,127.35,120.0,120.05,120.0,125.7,98.4,385,47378.5,,123.06,EQ
09-06-2003,124.85,125.95,124.5,125.9,125.95,127.35,98.4,180,22508.25,,125.05,EQ
10-06-2003,125.0,125.0,120.0,120.65,120.0,127.35,98.4,382,46547.55,,121.85,EQ
11-06-2003,124.75,125.0,121.25,121.25,121.25,127.35,98.4,618,76595.0,,123.94,EQ
24-06-2003,128.0,128.0,120.65,124.4,120.65,127.35,98.4,17,2139.95,,125.88,EQ
25-06-2003,127.0,130.0,127.0,129.85,129.0,128.0,98.4,1050,135425.0,,128.98,EQ
26-06-2003,132.0,132.6,125.5,128.0,128.0,130.0,98.4,479,62013.0,,129.46,EQ
27-06-2003,131.2,132.0,129.1,131.9,131.6,132.6,98.4,275,36162.3,,131.5,EQ
30-06-2003,133.8,133.8,131.9,131.9,131.9,132.6,98.4,120,16018.0,,133.48,EQ
01-07-2003,137.0,137.0,130.0,130.0,130.0,133.8,98.4,61,8149.0,,133.59,EQ
02-07-2003,133.0,133.0,129.8,129.95,130.0,137.0,98.4,411,53746.75,,130.77,EQ
03-07-2003,128.05,128.05,128.05,128.05,128.05,137.0,98.4,50,6402.5,,128.05,EQ
04-07-2003,128.0,131.6,128.0,131.6,131.6,137.0,98.4,202,26417.8,,130.78,EQ
07-07-2003,134.5,138.0,134.0,134.05,134.0,137.0,98.4,815,110358.75,,135.41,EQ
08-07-2003,137.1,137.9,137.0,137.0,137.0,138.0,98.4,275,37727.5,,137.19,EQ
09-07-2003,140.0,143.85,140.0,141.35,140.0,138.0,98.4,4405,628046.5,,142.58,EQ
11-07-2003,140.1,142.5,138.0,138.0,138.0,143.85,98.4,3825,538066.25,,140.67,EQ
15-07-2003,136.0,136.0,136.0,136.0,136.0,143.85,98.4,50,6800.0,,136.0,EQ
17-07-2003,131.35,131.35,131.35,131.35,131.35,143.85,98.4,9,1182.15,,131.35,EQ
24-07-2003,136.0,136.0,127.1,127.45,127.1,143.85,98.4,412,53696.15,,130.33,EQ
