DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
04-07-2023,625.0,667.0,570.0,585.65,579.2,667.0,570.0,5232750,3242522735.45,96704,619.66,EQ
05-07-2023,578.0,592.65,565.0,583.65,583.0,667.0,565.0,729818,423342439.4,21680,580.07,EQ
06-07-2023,589.0,613.5,580.85,597.95,597.0,667.0,565.0,700156,418409557.4,14827,597.59,EQ
07-07-2023,600.0,605.0,583.05,587.65,588.15,667.0,565.0,302079,178818917.85,5594,591.96,EQ
10-07-2023,588.0,590.0,577.0,578.75,578.9,667.0,565.0,136840,79774862.7,4526,582.98,EQ
11-07-2023,577.0,592.0,575.05,586.8,591.0,667.0,565.0,155652,90929830.45,3962,584.19,EQ
12-07-2023,584.0,593.2,578.0,582.6,580.9,667.0,565.0,109043,63879793.0,4429,585.82,EQ
13-07-2023,581.35,591.0,565.0,583.95,590.0,667.0,565.0,263318,152711901.7,8852,579.95,EQ
14-07-2023,588.9,589.9,576.65,579.8,578.05,667.0,565.0,93696,54447681.3,4401,581.11,EQ
17-07-2023,579.4,602.2,576.7,590.85,592.0,667.0,565.0,224272,131998759.75,7607,588.57,EQ
18-07-2023,592.0,597.0,582.0,588.55,589.95,667.0,565.0,80478,47412085.15,3985,589.13,EQ
19-07-2023,588.55,617.0,584.0,609.75,612.0,667.0,565.0,354126,213089884.7,11653,601.73,EQ
20-07-2023,618.0,630.8,605.4,628.05,627.7,667.0,565.0,338173,210113571.4,11096,621.32,EQ
21-07-2023,629.65,638.4,621.05,630.25,630.0,667.0,565.0,186591,117696983.85,6569,630.78,EQ
24-07-2023,630.25,635.6,614.0,619.8,617.0,667.0,565.0,88944,55550082.1,4198,624.55,EQ
25-07-2023,618.95,628.75,612.2,614.6,615.0,667.0,565.0,59688,37067300.0,3403,621.02,EQ
26-07-2023,614.95,618.0,603.6,608.4,604.0,667.0,565.0,76000,46497231.3,5066,611.81,EQ
27-07-2023,613.0,613.0,604.0,606.25,607.45,667.0,565.0,45951,27890885.35,1588,606.97,EQ
28-07-2023,609.0,616.55,585.5,597.0,594.5,667.0,565.0,177532,107060719.95,5224,603.05,EQ
31-07-2023,597.0,608.75,586.35,604.4,605.05,667.0,565.0,199732,119524186.45,3964,598.42,EQ
01-08-2023,590.0,611.9,590.0,602.1,606.0,667.0,565.0,125101,75494784.95,4030,603.47,EQ
02-08-2023,606.0,606.0,589.0,590.8,591.0,667.0,565.0,87296,52211017.85,2417,598.09,EQ
03-08-2023,595.0,596.0,590.95,594.25,595.4,667.0,565.0,28139,16708471.1,1145,593.78,EQ
04-08-2023,597.6,612.0,595.0,602.85,604.0,667.0,565.0,72061,43602856.3,2803,605.08,EQ
07-08-2023,605.0,615.9,600.0,611.6,608.25,667.0,565.0,78681,48082456.15,3022,611.11,EQ
08-08-2023,611.0,616.65,603.6,610.75,608.4,667.0,565.0,54601,33387642.15,1673,611.48,EQ
09-08-2023,609.0,616.7,605.05,608.45,605.05,667.0,565.0,51903,31793470.8,1799,612.56,EQ
10-08-2023,604.0,626.5,604.0,621.45,621.5,667.0,565.0,100905,62132714.7,3096,615.75,EQ
11-08-2023,629.3,629.3,615.0,624.5,624.0,667.0,565.0,46169,28740117.8,2198,622.5,EQ
14-08-2023,617.0,647.7,617.0,636.5,634.0,667.0,565.0,242790,154313310.15,5871,635.58,EQ
16-08-2023,645.0,649.0,623.0,641.2,640.05,667.0,565.0,166611,106689705.95,4738,640.35,EQ
17-08-2023,648.95,648.95,625.25,629.2,627.5,667.0,565.0,62454,39629914.55,2682,634.55,EQ
18-08-2023,629.2,632.9,617.0,621.4,626.25,667.0,565.0,189820,117829287.1,2893,620.74,EQ
21-08-2023,636.35,636.35,623.5,630.1,630.9,667.0,565.0,38826,24418066.95,1803,628.91,EQ
22-08-2023,631.0,638.1,622.5,635.4,635.0,667.0,565.0,60518,38312412.5,2441,633.07,EQ
23-08-2023,635.4,642.0,623.2,625.45,625.0,667.0,565.0,39671,25067049.25,1991,631.87,EQ
24-08-2023,625.05,632.7,620.2,620.75,620.25,667.0,565.0,23973,14962479.05,1134,624.14,EQ
25-08-2023,620.0,625.8,610.05,624.05,624.0,667.0,565.0,27152,16821351.1,1456,619.53,EQ
28-08-2023,629.85,654.5,623.35,638.25,637.35,667.0,565.0,147645,94600435.6,5445,640.73,EQ
29-08-2023,647.95,647.95,636.0,638.5,638.5,667.0,565.0,27229,17456453.15,1869,641.1,EQ
30-08-2023,648.1,688.0,632.65,674.5,688.0,688.0,565.0,182843,121215138.4,5654,662.95,EQ
31-08-2023,677.95,720.0,677.95,695.55,699.4,720.0,565.0,254332,179873836.55,9548,707.24,EQ
01-09-2023,703.0,765.1,700.8,764.1,765.05,765.1,565.0,306178,227603737.3,9394,743.37,EQ
04-09-2023,770.1,809.9,770.0,796.1,796.0,809.9,565.0,278904,221796530.4,8017,795.24,EQ
05-09-2023,810.0,839.9,810.0,825.6,824.7,839.9,565.0,216861,179479427.25,7076,827.62,EQ
06-09-2023,833.9,835.0,785.0,802.95,803.0,839.9,565.0,111271,89657770.9,6035,805.76,EQ
07-09-2023,810.0,828.9,791.05,817.9,819.8,839.9,565.0,72523,58548894.85,4212,807.31,EQ
08-09-2023,829.8,837.0,782.15,798.6,805.0,839.9,565.0,65994,53564625.55,2963,811.66,EQ
11-09-2023,785.3,821.1,785.3,811.15,811.0,839.9,565.0,44452,35897136.25,2288,807.55,EQ
12-09-2023,819.95,819.95,772.0,778.9,777.0,839.9,565.0,85378,67298908.7,3661,788.25,EQ
13-09-2023,784.9,811.0,765.1,784.8,786.05,839.9,565.0,79034,62057331.4,3643,785.2,EQ
14-09-2023,792.0,816.0,786.0,792.45,791.35,839.9,565.0,80424,64689229.9,3868,804.35,EQ
15-09-2023,806.9,822.0,783.0,789.85,794.95,839.9,565.0,84752,67989307.25,5280,802.21,EQ
18-09-2023,799.95,828.0,791.55,794.45,795.0,839.9,565.0,148109,120191768.55,4603,811.51,EQ
20-09-2023,798.25,800.0,785.25,790.25,790.0,839.9,565.0,30964,24546474.1,2326,792.74,EQ
21-09-2023,796.95,796.95,765.4,773.8,778.0,839.9,565.0,39473,30789591.3,2614,780.02,EQ
22-09-2023,776.95,781.85,753.25,762.85,756.4,839.9,565.0,32107,24610406.7,2710,766.51,EQ
25-09-2023,762.85,789.15,761.0,777.0,776.2,839.9,565.0,56040,43503889.35,3031,776.3,EQ
26-09-2023,789.65,789.65,762.95,766.05,765.0,839.9,565.0,25111,19402889.65,1808,772.68,EQ
27-09-2023,762.05,773.0,755.0,758.7,759.0,839.9,565.0,43655,33272590.55,2687,762.17,EQ
28-09-2023,755.5,761.5,729.05,734.35,735.0,839.9,565.0,80112,59670217.55,4877,744.83,EQ
29-09-2023,730.05,764.9,730.05,748.45,746.0,839.9,565.0,40683,30598876.35,2775,752.13,EQ
03-10-2023,748.45,752.85,736.65,739.5,739.15,839.9,565.0,21077,15694798.55,2177,744.64,EQ
04-10-2023,739.05,742.0,727.05,734.6,735.05,839.9,565.0,29755,21880388.4,2442,735.35,EQ
05-10-2023,736.0,757.0,728.05,736.2,735.1,839.9,565.0,29511,21800238.55,2724,738.72,EQ
06-10-2023,743.25,743.25,718.55,722.4,724.0,839.9,565.0,93141,68330957.6,3059,733.63,EQ
09-10-2023,704.1,725.95,690.0,711.35,708.65,839.9,565.0,159459,112482126.2,6664,705.4,EQ
10-10-2023,710.0,728.95,710.0,717.9,715.1,839.9,565.0,18208,13117728.6,2085,720.44,EQ
11-10-2023,724.0,732.0,713.25,717.55,714.0,839.9,565.0,32600,23480208.2,1731,720.25,EQ
12-10-2023,719.8,727.65,707.15,723.05,720.6,839.9,565.0,41854,30039203.35,2241,717.71,EQ
13-10-2023,723.05,729.45,712.15,719.65,716.5,839.9,565.0,155402,111558934.55,1410,717.87,EQ
16-10-2023,712.45,730.0,702.05,720.9,730.0,839.9,565.0,48342,34742870.45,2778,718.69,EQ
17-10-2023,720.6,728.1,718.0,724.05,726.0,839.9,565.0,41343,29831184.4,1860,721.55,EQ
18-10-2023,714.5,757.0,714.5,734.15,732.0,839.9,565.0,105106,77414537.95,5758,736.54,EQ
19-10-2023,734.0,735.6,723.0,726.5,725.0,839.9,565.0,65344,47541543.75,2167,727.56,EQ
20-10-2023,717.0,726.05,710.2,714.1,718.3,839.9,565.0,32807,23483287.3,2111,715.8,EQ
23-10-2023,726.0,726.0,666.1,701.8,708.0,839.9,565.0,168591,117647285.8,4690,697.83,EQ
25-10-2023,710.0,715.95,670.05,682.15,684.0,839.9,565.0,31112,21367917.05,2782,686.81,EQ
26-10-2023,704.0,709.0,655.05,672.6,673.95,839.9,565.0,80751,54056886.8,4540,669.43,EQ
27-10-2023,698.8,702.0,681.55,699.65,697.0,839.9,565.0,30413,21064080.55,2565,692.6,EQ
30-10-2023,713.0,715.0,678.85,684.8,681.5,839.9,565.0,67994,46726915.95,2510,687.22,EQ
31-10-2023,697.0,706.4,681.3,690.1,688.0,839.9,565.0,47502,32750370.3,2085,689.45,EQ
01-11-2023,691.0,699.9,688.65,694.65,692.75,839.9,565.0,22680,15752729.55,1443,694.56,EQ
02-11-2023,694.6,722.4,691.65,700.8,702.0,839.9,565.0,126210,89298512.3,2901,707.54,EQ
03-11-2023,704.55,745.85,698.1,700.95,701.0,839.9,565.0,121285,86224637.4,4041,710.93,EQ
06-11-2023,709.25,709.9,693.4,700.6,700.05,839.9,565.0,62672,43939732.35,2211,701.11,EQ
07-11-2023,701.0,708.2,696.0,700.0,699.1,839.9,565.0,53477,37485398.9,2048,700.96,EQ
08-11-2023,706.5,706.5,692.05,699.25,699.95,839.9,565.0,50225,35140862.35,1532,699.67,EQ
