DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
19-05-2017,73.0,77.85,71.0,72.55,72.15,77.85,71.0,210956446,15698974058.2,582516,74.42,EQ
22-05-2017,72.65,73.45,69.65,70.15,69.9,77.85,69.65,19233222,1376808698.1,84297,71.58,EQ
23-05-2017,69.4,69.9,66.55,68.15,68.1,77.85,66.55,14721869,1003751322.25,70218,68.18,EQ
24-05-2017,68.5,69.45,66.4,66.65,66.7,77.85,66.4,8670873,587454651.45,38308,67.75,EQ
25-05-2017,67.1,72.25,66.95,70.75,70.95,77.85,66.4,13265189,924574618.15,63937,69.7,EQ
26-05-2017,71.0,73.25,70.55,72.95,73.15,77.85,66.4,12062826,869282824.5,48703,72.06,EQ
29-05-2017,73.25,74.7,72.75,73.15,73.25,77.85,66.4,8905003,655772788.4,34299,73.64,EQ
30-05-2017,73.25,74.0,71.55,73.0,73.1,77.85,66.4,10410782,759956740.15,35606,73.0,EQ
31-05-2017,72.55,73.65,71.65,73.2,73.65,77.85,66.4,5615107,408296395.5,34020,72.71,EQ
01-06-2017,73.2,74.25,72.5,73.0,73.0,77.85,66.4,3673826,268908729.35,15930,73.2,EQ
02-06-2017,73.4,73.6,72.55,73.0,73.0,77.85,66.4,3123069,228050964.1,16073,73.02,EQ
05-06-2017,73.0,73.3,72.0,72.2,72.0,77.85,66.4,1682821,122098650.85,17288,72.56,EQ
06-06-2017,72.05,72.9,71.3,71.9,71.9,77.85,66.4,2086019,150184056.65,12378,72.0,EQ
07-06-2017,72.0,72.25,71.3,71.55,71.35,77.85,66.4,1284804,92174280.5,6577,71.74,EQ
08-06-2017,71.6,71.9,69.85,70.0,69.95,77.85,66.4,2299141,162173237.5,15542,70.54,EQ
09-06-2017,70.0,70.7,69.7,70.3,70.2,77.85,66.4,1635150,114815981.35,11709,70.22,EQ
12-06-2017,70.1,70.1,68.55,68.75,68.8,77.85,66.4,2136002,147782503.95,19967,69.19,EQ
13-06-2017,69.25,69.4,68.1,68.3,68.15,77.85,66.4,2062007,141769201.25,15868,68.75,EQ
14-06-2017,68.5,68.7,68.0,68.2,68.2,77.85,66.4,1103623,75293442.95,9288,68.22,EQ
15-06-2017,68.0,70.7,68.0,69.05,69.15,77.85,66.4,2373038,165028800.05,17588,69.54,EQ
16-06-2017,69.4,69.7,68.35,68.55,68.45,77.85,66.4,1394334,96054357.9,8772,68.89,EQ
19-06-2017,68.1,69.05,67.75,67.9,68.0,77.85,66.4,2181687,148720857.05,27088,68.17,EQ
20-06-2017,68.1,68.35,67.55,68.0,68.0,77.85,66.4,1856784,126174646.85,14789,67.95,EQ
21-06-2017,67.7,69.0,67.55,68.05,68.0,77.85,66.4,1745830,118932968.15,7173,68.12,EQ
22-06-2017,68.3,68.3,67.8,68.0,67.9,77.85,66.4,1433730,97544804.25,4904,68.04,EQ
23-06-2017,69.6,70.0,68.25,68.55,68.55,77.85,66.4,3423901,235816207.45,17110,68.87,EQ
27-06-2017,68.8,68.8,66.55,66.8,67.1,77.85,66.4,1902993,127873905.8,10720,67.2,EQ
28-06-2017,67.1,67.2,66.0,66.1,66.15,77.85,66.0,1737873,115422111.45,9412,66.42,EQ
29-06-2017,66.4,68.15,66.25,67.85,67.8,77.85,66.0,1866113,125575409.1,15185,67.29,EQ
30-06-2017,67.15,68.1,66.7,67.1,67.2,77.85,66.0,1341896,90268911.05,8646,67.27,EQ
03-07-2017,67.5,67.9,67.05,67.45,67.45,77.85,66.0,1022100,68955711.55,10152,67.46,EQ
04-07-2017,67.25,68.85,67.2,67.45,67.35,77.85,66.0,1760410,119513235.25,7764,67.89,EQ
05-07-2017,67.5,67.9,67.2,67.65,67.75,77.85,66.0,710006,48034665.2,4377,67.65,EQ
06-07-2017,67.7,70.35,67.65,68.7,68.7,77.85,66.0,3817920,262560792.85,14032,68.77,EQ
07-07-2017,68.7,69.9,68.3,69.0,69.05,77.85,66.0,2144002,148610704.35,13457,69.31,EQ
10-07-2017,69.4,82.8,69.0,69.5,69.55,82.8,66.0,407351,28290434.1,2898,69.45,EQ
11-07-2017,69.75,79.8,69.6,78.45,78.95,82.8,66.0,52983772,4097067803.4,174164,77.33,EQ
12-07-2017,81.0,92.65,81.0,90.05,90.1,92.65,66.0,104720139,9161772871.2,277892,87.49,EQ
13-07-2017,92.3,99.75,92.0,97.7,97.5,99.75,66.0,100252333,9660151174.7,292927,96.36,EQ
14-07-2017,99.2,102.3,88.55,90.7,89.7,102.3,66.0,106125913,10064464709.55,336037,94.84,EQ
17-07-2017,90.5,93.9,86.8,89.65,89.7,102.3,66.0,50591166,4580869931.8,180205,90.55,EQ
18-07-2017,88.0,91.5,86.55,87.0,86.95,102.3,66.0,18910056,1682237084.0,72377,88.96,EQ
19-07-2017,87.75,89.15,86.6,87.2,87.2,102.3,66.0,10858237,953827773.7,42689,87.84,EQ
20-07-2017,87.75,91.45,86.2,90.25,90.15,102.3,66.0,29764568,2654215539.05,94369,89.17,EQ
21-07-2017,90.75,91.65,87.75,88.65,88.75,102.3,66.0,12588587,1130189361.75,47715,89.78,EQ
24-07-2017,89.1,89.9,87.5,87.8,87.8,102.3,66.0,9212165,816894674.05,33867,88.68,EQ
25-07-2017,89.0,89.45,86.2,86.4,86.35,102.3,66.0,15364923,1351058012.95,57643,87.93,EQ
26-07-2017,86.75,86.9,83.15,83.3,83.35,102.3,66.0,10209823,863992254.7,44629,84.62,EQ
27-07-2017,83.75,85.45,82.35,82.7,82.85,102.3,66.0,12314817,1031098132.85,46814,83.73,EQ
28-07-2017,82.2,84.4,80.75,83.3,82.95,102.3,66.0,19771547,1638312898.15,64364,82.86,EQ
31-07-2017,83.4,83.55,81.4,81.8,81.6,102.3,66.0,6389486,526926679.5,26865,82.47,EQ
01-08-2017,82.05,82.45,80.75,81.05,81.0,102.3,66.0,4152813,338264160.8,18128,81.45,EQ
02-08-2017,81.3,83.3,80.8,82.65,82.5,102.3,66.0,8086692,666335758.2,27829,82.4,EQ
03-08-2017,82.6,83.9,81.15,81.55,81.65,102.3,66.0,5682769,468692465.0,22227,82.48,EQ
04-08-2017,81.7,81.8,79.55,79.9,79.85,102.3,66.0,5373958,431537957.05,21340,80.3,EQ
07-08-2017,80.25,84.9,80.15,84.3,84.65,102.3,66.0,15749582,1314639088.3,51039,83.47,EQ
08-08-2017,84.9,84.9,81.65,81.85,82.0,102.3,66.0,5177438,428088067.55,21041,82.68,EQ
09-08-2017,81.15,81.7,80.1,80.65,80.85,102.3,66.0,4098213,331620020.95,16755,80.92,EQ
10-08-2017,80.5,80.5,75.0,76.8,77.2,102.3,66.0,6093546,477609517.9,28461,78.38,EQ
11-08-2017,75.0,78.35,74.1,77.25,77.3,102.3,66.0,6669956,510473328.9,30185,76.53,EQ
14-08-2017,78.45,79.4,77.75,78.6,78.95,102.3,66.0,3008213,236667126.55,15814,78.67,EQ
16-08-2017,79.25,81.3,78.25,80.8,80.8,102.3,66.0,6885913,551433488.15,23202,80.08,EQ
