DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
12-09-2005,47.8,47.8,42.45,42.75,42.85,47.8,42.45,46546,2051031.2,,44.06,EQ
13-09-2005,47.0,47.0,42.65,43.65,43.0,47.8,42.45,44086,1935989.0,,43.91,EQ
14-09-2005,44.0,45.9,41.5,41.9,42.25,47.8,41.5,26449,1142225.05,,43.19,EQ
15-09-2005,42.5,43.95,42.5,43.65,43.55,47.8,41.5,11305,488010.3,,43.17,EQ
16-09-2005,43.8,44.0,42.85,43.1,43.45,47.8,41.5,9113,395970.4,,43.45,EQ
19-09-2005,42.55,44.4,42.0,42.5,42.6,47.8,41.5,16850,726587.6,,43.12,EQ
20-09-2005,42.5,42.6,40.45,41.0,41.0,47.8,40.45,6624,275029.7,,41.52,EQ
21-09-2005,40.0,40.25,35.45,37.0,37.0,47.8,35.45,11518,429025.65,,37.25,EQ
22-09-2005,36.0,37.5,30.0,31.95,32.95,47.8,30.0,23745,775595.05,,32.66,EQ
23-09-2005,36.4,36.4,31.0,33.0,33.35,47.8,30.0,9719,318053.55,,32.72,EQ
26-09-2005,33.4,36.25,33.4,35.65,35.6,47.8,30.0,17755,630073.1,,35.49,EQ
27-09-2005,36.0,37.55,35.15,35.95,35.75,47.8,30.0,5774,210293.35,,36.42,EQ
28-09-2005,37.9,37.9,31.05,33.35,33.85,47.8,30.0,10845,381251.2,,35.15,EQ
29-09-2005,35.5,36.1,33.05,33.55,34.0,47.8,30.0,2870,97944.1,,34.13,EQ
30-09-2005,33.8,35.0,30.85,31.95,32.8,47.8,30.0,13639,440127.3,,32.27,EQ
03-10-2005,32.0,32.9,32.0,32.15,32.45,47.8,30.0,12415,402077.0,,32.39,EQ
04-10-2005,32.55,33.0,32.1,33.0,33.0,47.8,30.0,6275,204076.85,,32.52,EQ
05-10-2005,31.15,34.9,31.15,33.15,33.0,47.8,30.0,3165,104004.5,,32.86,EQ
06-10-2005,33.75,33.75,33.1,33.5,33.5,47.8,30.0,460,15342.0,,33.35,EQ
07-10-2005,34.95,34.95,32.25,32.75,32.75,47.8,30.0,1960,64815.0,,33.07,EQ
10-10-2005,34.4,34.5,33.15,33.85,34.0,47.8,30.0,6975,236261.7,,33.87,EQ
11-10-2005,34.8,35.0,33.1,34.25,34.25,47.8,30.0,1844,63509.45,,34.44,EQ
13-10-2005,34.0,34.15,33.5,33.8,34.15,47.8,30.0,7537,255068.1,,33.84,EQ
14-10-2005,33.05,33.6,33.0,33.55,33.55,47.8,30.0,18590,624385.0,,33.59,EQ
17-10-2005,32.05,32.95,30.7,31.0,31.0,47.8,30.0,4207,131988.8,,31.37,EQ
18-10-2005,31.0,31.5,31.0,31.05,31.0,47.8,30.0,1030,32036.5,,31.1,EQ
19-10-2005,31.0,31.0,27.2,27.7,27.7,47.8,27.2,3428,102086.0,,29.78,EQ
20-10-2005,26.0,28.35,22.35,23.75,25.25,47.8,22.35,5977,153713.45,,25.72,EQ
21-10-2005,24.0,26.8,24.0,26.55,26.55,47.8,22.35,3426,87182.6,,25.45,EQ
24-10-2005,23.75,27.5,23.75,27.5,27.5,47.8,22.35,2270,60840.5,,26.8,EQ
25-10-2005,28.8,28.8,27.5,27.5,27.5,47.8,22.35,1780,50120.5,,28.16,EQ
26-10-2005,23.5,27.9,23.45,25.9,25.9,47.8,22.35,1460,38544.0,,26.4,EQ
27-10-2005,27.35,27.5,25.9,27.5,27.5,47.8,22.35,3,80.75,,26.92,EQ
28-10-2005,25.05,26.95,24.25,25.5,24.25,47.8,22.35,3080,81520.0,,26.47,EQ
31-10-2005,29.7,29.75,24.05,26.45,26.95,47.8,22.35,1354,35511.9,,26.23,EQ
01-11-2005,26.95,26.95,25.6,25.6,25.6,47.8,22.35,106,2848.6,,26.87,EQ
02-11-2005,24.25,28.6,24.25,28.2,28.5,47.8,22.35,3612,100553.15,,27.84,EQ
07-11-2005,28.5,31.75,28.2,30.45,30.5,47.8,22.35,10402,312335.65,,30.03,EQ
08-11-2005,31.0,33.0,30.15,31.65,30.9,47.8,22.35,23866,751379.7,,31.48,EQ
09-11-2005,30.1,31.0,29.0,29.2,29.9,47.8,22.35,17025,508425.8,,29.86,EQ
10-11-2005,30.45,30.5,28.5,29.05,29.05,47.8,22.35,7250,216244.0,,29.83,EQ
11-11-2005,30.05,30.05,29.3,29.3,29.3,47.8,22.35,1500,44750.0,,29.83,EQ
14-11-2005,31.0,31.0,29.5,30.0,30.0,47.8,22.35,456,13711.25,,30.07,EQ
16-11-2005,31.25,31.25,30.05,30.05,30.05,47.8,22.35,5112,153850.45,,30.1,EQ
17-11-2005,30.1,33.1,29.5,33.1,33.1,47.8,22.35,26979,880759.0,,32.65,EQ
18-11-2005,33.9,35.5,33.45,33.7,33.55,47.8,22.35,26002,894793.3,,34.41,EQ
21-11-2005,32.3,34.2,32.3,34.0,34.0,47.8,22.35,8826,298885.85,,33.86,EQ
22-11-2005,32.0,32.85,31.0,31.0,31.0,47.8,22.35,3331,106130.6,,31.86,EQ
23-11-2005,29.3,32.9,29.3,30.3,31.0,47.8,22.35,2378,74100.5,,31.16,EQ
24-11-2005,30.2,31.45,30.2,30.55,30.75,47.8,22.35,992,30287.95,,30.53,EQ
25-11-2005,32.7,32.7,30.0,30.7,31.15,47.8,22.35,4526,137645.1,,30.41,EQ
26-11-2005,30.9,31.2,30.05,30.25,30.25,47.8,22.35,266,8108.55,,30.48,EQ
28-11-2005,31.0,32.45,30.8,31.1,31.1,47.8,22.35,7427,235100.2,,31.65,EQ
29-11-2005,31.1,31.1,29.65,29.95,30.0,47.8,22.35,1552,47010.0,,30.29,EQ
30-11-2005,30.0,30.8,29.0,29.0,29.0,47.8,22.35,7024,207743.75,,29.58,EQ
01-12-2005,28.65,30.7,28.65,30.4,30.45,47.8,22.35,3539,104575.2,,29.55,EQ
02-12-2005,31.5,31.5,27.85,29.3,28.55,47.8,22.35,6104,179747.7,,29.45,EQ
05-12-2005,29.0,30.2,28.6,30.0,30.0,47.8,22.35,4645,137154.05,,29.53,EQ
06-12-2005,30.2,30.2,29.5,29.5,29.5,47.8,22.35,2607,77096.5,,29.57,EQ
07-12-2005,28.1,30.0,28.1,29.7,29.7,47.8,22.35,1265,37536.95,,29.67,EQ
08-12-2005,30.0,31.75,30.0,31.4,31.75,47.8,22.35,6650,205318.35,,30.87,EQ
09-12-2005,31.8,32.7,30.6,32.2,32.7,47.8,22.35,18770,597501.6,,31.83,EQ
12-12-2005,31.5,33.0,31.05,31.45,31.6,47.8,22.35,7750,248869.0,,32.11,EQ
13-12-2005,31.2,32.45,31.2,32.05,32.0,47.8,22.35,5217,165739.0,,31.77,EQ
14-12-2005,32.85,32.85,30.55,31.9,32.0,47.8,22.35,2300,72394.6,,31.48,EQ
15-12-2005,31.0,32.15,29.8,30.1,30.4,47.8,22.35,9503,293272.6,,30.86,EQ
