DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
01-01-1996,105.25,105.8,104.75,105.0,,,,4400,462090.0,,105.02,EQ
02-01-1996,105.0,105.5,103.05,103.55,,,,25600,2673055.0,,104.42,EQ
03-01-1996,103.55,105.0,103.6,103.75,,,,9800,1021575.0,,104.24,EQ
04-01-1996,103.75,103.25,101.65,101.95,,,,8400,857750.0,,102.11,EQ
05-01-1996,101.95,102.9,101.8,102.2,,,,5300,540995.0,,102.07,EQ
08-01-1996,102.2,101.45,99.85,100.7,,,,31200,3143770.0,,100.76,EQ
09-01-1996,100.7,100.75,99.25,100.45,,,,17900,1789875.0,,99.99,EQ
10-01-1996,100.45,99.95,99.05,99.35,,,,7700,765600.0,,99.43,EQ
11-01-1996,99.35,99.4,98.7,99.4,,,,6200,614155.0,,99.06,EQ
12-01-1996,99.4,100.0,99.1,99.95,,,,4700,468525.0,,99.69,EQ
15-01-1996,99.95,100.0,99.6,100.0,,,,5200,519145.0,,99.84,EQ
16-01-1996,100.0,99.5,97.05,97.25,,,,25400,2486920.0,,97.91,EQ
17-01-1996,97.25,98.45,96.0,96.25,,,,10700,1033155.0,,96.56,EQ
18-01-1996,96.25,95.0,94.0,94.75,,,,16500,1561705.0,,94.65,EQ
19-01-1996,94.75,93.75,92.15,92.35,,,,13900,1285535.0,,92.48,EQ
22-01-1996,92.35,92.5,90.05,90.75,,,,16800,1534565.0,,91.34,EQ
23-01-1996,90.75,92.0,90.05,91.05,,,,32400,2955115.0,,91.21,EQ
24-01-1996,91.05,90.75,89.25,90.25,,,,15400,1388400.0,,90.16,EQ
25-01-1996,90.25,91.25,90.0,90.4,,,,7300,661415.0,,90.6,EQ
29-01-1996,90.4,90.95,89.85,90.3,,,,8800,795810.0,,90.43,EQ
30-01-1996,90.3,92.9,90.65,91.1,,,,17900,1639425.0,,91.59,EQ
31-01-1996,91.1,92.5,91.0,92.0,,,,7200,662330.0,,91.99,EQ
01-02-1996,92.0,92.5,91.55,92.2,,,,9900,910800.0,,92.0,EQ
02-02-1996,92.2,97.0,93.0,95.6,,,,12100,1151160.0,,95.14,EQ
05-02-1996,95.6,99.95,95.05,97.0,,,,18800,1840310.0,,97.89,EQ
06-02-1996,97.0,102.0,96.3,101.2,,,,56500,5632825.0,,99.7,EQ
07-02-1996,101.2,103.0,99.0,102.65,,,,43300,4397410.0,,101.56,EQ
08-02-1996,102.65,108.35,102.1,108.05,,,,45300,4810670.0,,106.2,EQ
09-02-1996,108.05,129.0,111.0,125.15,,,,133500,15674865.0,,117.41,EQ
12-02-1996,125.15,127.0,115.0,117.6,,,,198200,24258325.0,,122.39,EQ
13-02-1996,117.6,121.5,114.0,118.7,,,,194200,22802385.0,,117.42,EQ
14-02-1996,118.95,127.0,118.95,121.95,,,,105800,13026005.0,,123.12,EQ
15-02-1996,121.95,122.0,119.1,120.1,,,,57800,6972240.0,,120.63,EQ
