DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
14-11-2017,330.0,330.0,313.5,313.85,313.5,330.0,313.5,18908,6007209.15,115,317.71,BE
15-11-2017,301.05,319.0,298.2,312.0,312.0,330.0,298.2,28628,8938284.9,172,312.22,BE
16-11-2017,310.0,325.0,297.1,320.1,325.0,330.0,297.1,33457,10551983.9,642,315.39,BE
17-11-2017,325.0,325.0,305.2,314.25,311.0,330.0,297.1,3836,1208386.2,59,315.01,BE
20-11-2017,310.0,315.0,307.15,313.7,310.1,330.0,297.1,8334,2588105.9,74,310.55,BE
21-11-2017,310.0,315.1,310.0,311.0,311.0,330.0,297.1,9948,3088672.9,88,310.48,BE
22-11-2017,310.0,310.0,301.5,303.25,303.0,330.0,297.1,2001,609511.5,65,304.6,BE
23-11-2017,299.0,304.0,290.05,304.0,304.0,330.0,290.05,4822,1431733.45,97,296.92,BE
24-11-2017,300.0,304.9,300.0,301.65,301.05,330.0,290.05,7221,2178039.7,60,301.63,BE
27-11-2017,292.85,303.0,292.85,299.95,300.0,330.0,290.05,10882,3266146.2,96,300.14,BE
28-11-2017,300.05,337.95,300.0,325.9,330.0,337.95,290.05,35144,11270283.3,627,320.69,EQ
29-11-2017,337.65,337.65,317.0,325.0,326.0,337.95,290.05,21337,6938730.15,272,325.2,EQ
30-11-2017,322.7,325.0,310.0,320.0,320.0,337.95,290.05,13250,4238839.0,1650,319.91,EQ
01-12-2017,315.1,325.0,315.0,319.8,315.0,337.95,290.05,8901,2854780.35,2551,320.73,EQ
04-12-2017,313.85,313.85,308.45,310.0,310.0,337.95,290.05,7760,2407437.5,3366,310.24,EQ
05-12-2017,310.0,320.0,306.0,310.95,315.0,337.95,290.05,5845,1813235.85,642,310.22,EQ
06-12-2017,323.4,348.9,320.0,328.0,327.0,348.9,290.05,39338,13262452.35,1245,337.14,EQ
07-12-2017,333.0,339.0,320.8,327.6,331.1,348.9,290.05,3420,1122498.45,170,328.22,EQ
08-12-2017,335.0,338.0,321.05,331.6,330.65,348.9,290.05,6510,2164638.95,269,332.51,EQ
11-12-2017,332.0,344.1,311.1,315.6,315.0,348.9,290.05,9202,2979934.55,359,323.84,EQ
12-12-2017,324.95,333.0,312.0,323.2,330.0,348.9,290.05,14244,4549973.0,238,319.43,EQ
