DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
29-01-2007,68.7,75.5,68.7,73.4,73.9,75.5,68.7,3390,249864.35,,73.71,EQ
31-01-2007,75.0,76.9,70.2,71.95,70.55,76.9,68.7,3259,236784.35,,72.66,EQ
01-02-2007,70.15,74.7,69.05,69.1,69.1,76.9,68.7,2713,194147.85,,71.56,EQ
02-02-2007,69.75,69.8,67.0,68.55,68.7,76.9,67.0,1218,83508.1,,68.56,EQ
05-02-2007,68.7,72.0,68.7,69.0,69.0,76.9,67.0,4050,290370.0,,71.7,EQ
06-02-2007,68.55,70.0,68.4,69.15,69.8,76.9,67.0,1276,87797.8,,68.81,EQ
07-02-2007,67.2,71.5,67.2,68.5,68.5,76.9,67.0,372,25543.9,,68.67,EQ
08-02-2007,68.0,69.0,66.05,68.3,67.6,76.9,66.05,7320,496314.4,,67.8,EQ
09-02-2007,66.3,67.6,66.05,67.25,67.45,76.9,66.05,6186,414318.15,,66.98,EQ
12-02-2007,64.9,64.9,63.9,64.3,64.3,76.9,63.9,400,25740.0,,64.35,EQ
13-02-2007,64.0,64.0,61.5,61.55,61.75,76.9,61.5,2470,153061.8,,61.97,EQ
14-02-2007,61.75,61.75,59.1,61.0,61.0,76.9,59.1,350,20986.25,,59.96,EQ
15-02-2007,62.1,64.0,62.05,63.95,64.0,76.9,59.1,4400,277480.0,,63.06,EQ
19-02-2007,62.75,66.95,62.75,66.2,65.4,76.9,59.1,2496,163018.5,,65.31,EQ
20-02-2007,68.75,68.75,63.7,63.8,63.7,76.9,59.1,2096,135543.2,,64.67,EQ
21-02-2007,62.5,62.8,60.7,62.7,61.3,76.9,59.1,4050,250351.35,,61.82,EQ
22-02-2007,60.0,63.8,60.0,61.35,61.75,76.9,59.1,2816,171408.95,,60.87,EQ
23-02-2007,61.0,62.0,58.5,58.5,58.5,76.9,58.5,2328,139466.0,,59.91,EQ
26-02-2007,56.95,57.6,55.6,55.75,56.0,76.9,55.6,1410,79283.5,,56.23,EQ
27-02-2007,57.2,58.35,57.2,58.0,58.0,76.9,55.6,280,16196.25,,57.84,EQ
28-02-2007,57.9,60.5,56.35,57.95,57.75,76.9,55.6,3926,227916.2,,58.05,EQ
01-03-2007,56.1,60.0,55.6,57.7,57.75,76.9,55.6,894,51432.5,,57.53,EQ
02-03-2007,59.8,60.5,56.1,57.0,56.1,76.9,55.6,1660,97301.5,,58.62,EQ
05-03-2007,54.2,56.35,54.15,54.4,54.15,76.9,54.15,1906,103478.85,,54.29,EQ
06-03-2007,54.25,54.25,52.8,53.7,53.7,76.9,52.8,1275,68488.0,,53.72,EQ
07-03-2007,51.25,55.85,51.25,54.0,54.0,76.9,51.25,833,44923.05,,53.93,EQ
08-03-2007,54.5,56.45,54.5,56.3,56.45,76.9,51.25,789,44101.3,,55.9,EQ
09-03-2007,58.85,58.85,53.55,56.45,56.45,76.9,51.25,1120,62619.0,,55.91,EQ
12-03-2007,56.9,56.9,54.1,54.8,55.9,76.9,51.25,977,54028.95,,55.3,EQ
13-03-2007,52.3,55.2,52.3,54.6,54.6,76.9,51.25,850,45632.5,,53.69,EQ
14-03-2007,54.0,54.5,51.9,52.55,53.45,76.9,51.25,1060,56286.7,,53.1,EQ
15-03-2007,54.95,55.2,53.55,54.7,54.75,76.9,51.25,1254,68716.2,,54.8,EQ
16-03-2007,53.05,57.0,53.05,57.0,57.0,76.9,51.25,3080,171660.5,,55.73,EQ
19-03-2007,56.95,57.0,55.1,55.7,55.1,76.9,51.25,739,41258.85,,55.83,EQ
20-03-2007,57.0,57.0,55.05,55.05,55.05,76.9,51.25,225,12630.0,,56.13,EQ
21-03-2007,55.55,57.1,55.0,57.0,57.0,76.9,51.25,490,27661.0,,56.45,EQ
22-03-2007,56.0,56.0,55.0,55.1,55.0,76.9,51.25,560,31178.75,,55.68,EQ
23-03-2007,54.15,57.0,54.1,54.9,57.0,76.9,51.25,1030,56062.75,,54.43,EQ
26-03-2007,53.55,53.7,52.7,53.3,53.0,76.9,51.25,570,30384.5,,53.31,EQ
28-03-2007,52.5,52.75,50.65,51.55,51.6,76.9,50.65,1660,84845.25,,51.11,EQ
29-03-2007,51.5,53.75,50.55,52.25,52.25,76.9,50.55,134,6922.5,,51.66,EQ
30-03-2007,54.5,54.55,52.6,53.8,54.2,76.9,50.55,610,32858.5,,53.87,EQ
02-04-2007,52.2,54.5,52.2,53.4,53.4,76.9,50.55,604,32640.55,,54.04,EQ
03-04-2007,53.55,53.55,53.5,53.5,53.5,76.9,50.55,400,21410.0,,53.53,EQ
04-04-2007,52.0,54.1,52.0,54.1,54.1,76.9,50.55,293,15781.8,,53.86,EQ
05-04-2007,54.85,55.0,53.3,55.0,55.0,76.9,50.55,565,30858.75,,54.62,EQ
09-04-2007,53.55,56.25,53.5,54.3,54.3,76.9,50.55,407,22383.5,,55.0,EQ
10-04-2007,54.2,54.7,54.2,54.7,54.7,76.9,50.55,300,16358.5,,54.53,EQ
11-04-2007,55.0,56.75,55.0,55.0,55.0,76.9,50.55,300,16631.25,,55.44,EQ
