DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
16-06-2023,392.5,427.5,392.0,403.85,404.5,427.5,392.0,31292587,12737309118.5,420315,407.04,EQ
19-06-2023,409.0,454.7,408.3,445.45,446.0,454.7,392.0,19653191,8574804476.1,293931,436.31,EQ
20-06-2023,449.7,463.3,436.85,441.2,442.0,463.3,392.0,8567809,3875241259.8,166107,452.3,EQ
21-06-2023,441.75,448.9,431.55,437.2,439.0,463.3,392.0,3085162,1355266684.75,66207,439.29,EQ
22-06-2023,439.9,452.7,438.0,446.7,446.75,463.3,392.0,3290937,1464620396.7,60230,445.05,EQ
23-06-2023,445.9,477.0,431.75,462.8,464.0,477.0,392.0,6687921,3086710852.45,109368,461.54,EQ
26-06-2023,468.0,474.6,455.4,460.75,461.6,477.0,392.0,2076430,966119376.6,39119,465.28,EQ
27-06-2023,464.0,466.95,454.05,455.55,455.25,477.0,392.0,1030752,472978923.25,23875,458.87,EQ
28-06-2023,457.75,458.85,447.0,448.6,448.7,477.0,392.0,941052,424908743.2,21547,451.53,EQ
30-06-2023,450.0,451.35,435.05,437.1,436.0,477.0,392.0,988486,435600516.55,25564,440.67,EQ
03-07-2023,439.45,444.9,421.05,425.45,426.5,477.0,392.0,1374461,590610272.85,33320,429.7,EQ
04-07-2023,427.0,430.75,406.05,409.7,411.0,477.0,392.0,1356306,564338665.5,34687,416.09,EQ
05-07-2023,411.8,429.0,411.1,420.2,420.35,477.0,392.0,1537926,645806589.75,34435,419.92,EQ
06-07-2023,420.8,423.25,414.0,416.55,415.85,477.0,392.0,471784,197246435.05,11729,418.09,EQ
07-07-2023,416.0,416.0,407.0,410.55,410.7,477.0,392.0,645872,265114264.9,16130,410.47,EQ
10-07-2023,409.0,414.7,401.1,403.95,403.25,477.0,392.0,911383,371202593.25,23137,407.3,EQ
11-07-2023,405.0,423.75,402.05,414.95,414.9,477.0,392.0,1479243,611877352.35,30861,413.64,EQ
