DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
13-05-2024,655.0,660.0,527.1,570.9,569.5,660.0,527.1,35645437,20883638744.15,602631,585.87,EQ
14-05-2024,577.0,590.0,553.05,554.45,553.5,660.0,527.1,4603935,2612179257.55,112244,567.38,EQ
15-05-2024,556.95,581.7,533.05,566.6,567.85,660.0,527.1,5740237,3211266902.6,138320,559.43,EQ
16-05-2024,571.15,583.0,565.0,572.45,572.85,660.0,527.1,2545052,1455568771.7,47070,571.92,EQ
17-05-2024,573.0,575.8,551.25,555.1,553.4,660.0,527.1,1142408,643038641.55,31128,562.88,EQ
18-05-2024,554.8,562.0,551.4,556.15,555.0,660.0,527.1,282815,157694363.2,7847,557.59,EQ
21-05-2024,553.55,553.55,534.0,538.8,536.0,660.0,527.1,1235705,668023766.8,45852,540.6,EQ
22-05-2024,540.0,542.0,521.3,524.15,525.05,660.0,521.3,1487541,787030813.1,50148,529.08,EQ
23-05-2024,525.05,544.45,525.05,533.5,532.5,660.0,521.3,1204689,646875324.5,36748,536.96,EQ
24-05-2024,533.0,538.85,523.9,529.0,530.35,660.0,521.3,670789,356215600.8,25948,531.04,EQ
27-05-2024,534.0,535.5,521.2,525.2,524.65,660.0,521.2,597582,313875714.5,27401,525.24,EQ
28-05-2024,526.0,529.85,508.3,515.8,515.2,660.0,508.3,637857,329754956.1,24065,516.97,EQ
29-05-2024,508.05,533.0,501.25,527.7,526.5,660.0,501.25,755754,397427578.5,28638,525.87,EQ
30-05-2024,526.8,534.7,504.4,515.35,514.0,660.0,501.25,1600450,823390935.5,47842,514.47,EQ
31-05-2024,516.95,531.45,516.1,520.85,517.0,660.0,501.25,780406,408842479.5,25249,523.88,EQ
03-06-2024,530.0,538.9,529.2,532.5,530.9,660.0,501.25,984470,523236134.4,23877,531.49,EQ
04-06-2024,520.9,520.9,470.1,494.55,494.0,660.0,470.1,1554058,765892622.55,41089,492.83,EQ
