DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
31-05-2000,49.7,49.7,41.35,41.65,44.0,114.9,38.0,902858,38911194.95,,43.1,EQ
01-06-2000,42.45,43.75,40.25,43.0,43.2,114.9,38.0,135932,5816468.3,,42.79,EQ
02-06-2000,43.1,44.1,43.0,43.35,43.35,114.9,38.0,103057,4492020.1,,43.59,EQ
05-06-2000,44.9,45.2,42.35,42.7,42.55,114.9,38.0,212608,9318822.65,,43.83,EQ
06-06-2000,42.5,43.05,41.85,42.25,42.45,114.9,38.0,136592,5797703.2,,42.45,EQ
07-06-2000,42.95,45.0,42.55,44.2,44.0,114.9,38.0,277260,12246060.7,,44.17,EQ
08-06-2000,44.0,46.2,43.85,45.1,44.9,114.9,38.0,507692,22872870.0,,45.05,EQ
09-06-2000,45.75,45.8,43.8,44.1,44.0,114.9,38.0,285618,12774260.45,,44.72,EQ
12-06-2000,45.0,45.8,44.05,45.35,45.1,114.9,38.0,465834,20939827.45,,44.95,EQ
13-06-2000,44.8,45.2,44.0,44.8,44.8,114.9,38.0,191588,8572413.9,,44.74,EQ
14-06-2000,45.9,47.45,45.25,45.95,45.85,114.9,38.0,586436,27349287.25,,46.64,EQ
15-06-2000,45.6,46.4,44.7,44.9,45.0,114.9,38.0,92922,4224683.9,,45.46,EQ
16-06-2000,44.7,45.2,43.85,44.8,44.85,114.9,38.0,154702,6891534.05,,44.55,EQ
19-06-2000,45.0,45.5,44.3,44.45,44.35,114.9,38.0,239705,10781894.8,,44.98,EQ
20-06-2000,44.65,45.0,43.75,44.3,44.3,114.9,38.0,276413,12234326.2,,44.26,EQ
21-06-2000,45.2,45.25,43.7,43.9,43.9,114.9,38.0,116018,5158972.85,,44.47,EQ
22-06-2000,44.0,44.15,43.45,43.85,43.9,114.9,38.0,60784,2662529.3,,43.8,EQ
23-06-2000,43.5,44.45,42.8,43.0,43.4,114.9,38.0,122343,5321023.0,,43.49,EQ
26-06-2000,42.5,43.5,42.1,42.8,42.8,114.9,38.0,53218,2284272.9,,42.92,EQ
27-06-2000,43.0,43.7,42.15,42.55,42.25,114.9,38.0,226914,9761333.35,,43.02,EQ
28-06-2000,43.8,43.8,42.8,43.5,43.4,114.9,38.0,79587,3445072.0,,43.29,EQ
29-06-2000,43.75,45.0,43.35,44.45,44.6,114.9,38.0,231348,10278219.6,,44.43,EQ
30-06-2000,44.0,44.4,42.8,42.95,42.85,114.9,38.0,81865,3562702.45,,43.52,EQ
03-07-2000,42.5,43.9,42.2,43.35,43.35,114.9,38.0,89253,3864613.25,,43.3,EQ
04-07-2000,43.0,44.8,43.0,44.5,44.35,114.9,38.0,205065,9096683.65,,44.36,EQ
05-07-2000,45.75,46.0,44.5,44.85,44.75,114.9,38.0,338344,15342950.9,,45.35,EQ
06-07-2000,45.0,45.2,44.5,44.95,44.8,114.9,38.0,135359,6070085.15,,44.84,EQ
07-07-2000,43.1,43.1,40.3,41.15,40.75,114.9,38.0,548646,22916699.25,,41.77,EQ
10-07-2000,40.8,42.95,40.75,41.9,41.75,114.9,38.0,445036,18667473.2,,41.95,EQ
11-07-2000,42.0,47.4,41.2,46.5,46.65,114.9,38.0,886181,39688138.6,,44.79,EQ
12-07-2000,47.9,53.95,46.5,53.65,53.55,114.9,38.0,1408245,72221262.4,,51.28,EQ
13-07-2000,54.3,57.9,50.7,51.35,50.8,114.9,38.0,635964,34256591.25,,53.87,EQ
14-07-2000,50.25,55.2,49.7,53.7,54.1,114.9,38.0,849673,45748741.8,,53.84,EQ
17-07-2000,54.25,57.0,53.0,54.15,54.25,114.9,38.0,490763,27107114.45,,55.23,EQ
18-07-2000,54.0,55.9,53.25,54.4,54.1,114.9,38.0,269201,14689273.4,,54.57,EQ
19-07-2000,54.25,54.25,50.1,50.45,50.75,114.9,38.0,194152,10019317.85,,51.61,EQ
20-07-2000,50.5,50.6,44.1,44.6,45.0,114.9,38.0,467005,21753314.6,,46.58,EQ
21-07-2000,45.0,46.0,41.1,42.6,42.6,114.9,38.0,644563,28060354.3,,43.53,EQ
24-07-2000,41.5,42.9,41.05,42.0,42.0,114.9,38.0,186212,7799667.75,,41.89,EQ
25-07-2000,41.1,44.75,40.0,43.7,43.6,114.9,38.0,367220,15887882.8,,43.27,EQ
26-07-2000,44.0,45.85,43.2,43.65,43.25,114.9,38.0,231921,10393777.7,,44.82,EQ
27-07-2000,42.1,44.45,42.0,43.45,43.5,114.9,38.0,79389,3446922.5,,43.42,EQ
28-07-2000,43.1,44.95,42.55,43.3,43.35,114.9,38.0,137575,6016745.1,,43.73,EQ
31-07-2000,43.6,43.8,42.8,43.0,43.0,114.9,38.0,96911,4201343.55,,43.35,EQ
01-08-2000,43.1,43.9,41.5,42.95,43.3,114.9,38.0,163148,7047107.5,,43.19,EQ
02-08-2000,43.45,48.3,43.4,47.5,48.0,114.9,38.0,350125,16211036.65,,46.3,EQ
03-08-2000,48.0,48.5,45.1,45.25,45.1,114.9,38.0,338104,15778073.3,,46.67,EQ
04-08-2000,45.5,46.25,44.1,44.8,44.5,114.9,38.0,172454,7781788.9,,45.12,EQ
07-08-2000,44.7,45.2,43.75,44.5,44.65,114.9,38.0,140196,6228132.55,,44.42,EQ
08-08-2000,44.2,45.85,43.55,44.95,44.9,114.9,38.0,276862,12399547.8,,44.79,EQ
09-08-2000,45.5,46.25,44.8,44.9,45.2,114.9,38.0,192236,8747161.9,,45.5,EQ
10-08-2000,45.15,45.15,43.5,43.7,43.5,114.9,38.0,112445,4989582.75,,44.37,EQ
11-08-2000,43.5,44.35,42.75,43.0,43.3,114.9,38.0,246829,10747111.25,,43.54,EQ
14-08-2000,43.5,44.75,42.75,43.5,43.35,114.9,38.0,379180,16549458.6,,43.65,EQ
16-08-2000,44.65,44.65,42.2,42.65,42.85,114.9,38.0,636741,27420890.1,,43.06,EQ
17-08-2000,42.65,42.65,39.25,39.85,39.75,114.9,38.0,602558,24464515.5,,40.6,EQ
18-08-2000,39.5,40.8,39.4,40.1,40.2,114.9,38.0,391208,15729780.25,,40.21,EQ
21-08-2000,40.3,41.4,40.3,40.9,41.05,114.9,38.0,195799,7987342.7,,40.79,EQ
22-08-2000,40.95,41.7,40.6,41.0,41.0,114.9,38.0,314873,12961425.6,,41.16,EQ
23-08-2000,41.2,42.3,41.2,41.8,41.9,114.9,38.0,302042,12635622.1,,41.83,EQ
24-08-2000,41.9,41.9,41.0,41.4,41.6,114.9,38.0,85552,3539981.65,,41.38,EQ
25-08-2000,41.5,43.4,41.3,42.9,42.8,114.9,38.0,641892,27209587.65,,42.39,EQ
28-08-2000,43.0,44.55,42.35,43.25,43.1,114.9,38.0,287134,12499065.05,,43.53,EQ
29-08-2000,43.05,43.8,42.65,43.05,43.3,114.9,38.0,170379,7350861.75,,43.14,EQ
30-08-2000,43.25,43.6,42.75,42.9,43.0,114.9,38.0,169534,7312396.55,,43.13,EQ
31-08-2000,43.0,43.8,42.3,43.3,43.25,114.9,38.0,272675,11764245.85,,43.14,EQ
04-09-2000,43.45,44.45,43.15,43.75,43.75,114.9,38.0,358849,15754347.95,,43.9,EQ
05-09-2000,43.65,44.4,43.1,43.45,43.4,114.9,38.0,413020,18076590.65,,43.77,EQ
06-09-2000,42.0,42.45,41.3,41.5,41.3,114.9,38.0,344625,14408201.7,,41.81,EQ
07-09-2000,41.0,41.75,40.9,41.2,41.15,114.9,38.0,117022,4829238.75,,41.27,EQ
08-09-2000,41.5,41.5,40.35,40.55,40.5,114.9,38.0,143477,5859655.75,,40.84,EQ
11-09-2000,41.2,43.8,41.05,41.5,41.45,114.9,38.0,268196,11184495.65,,41.7,EQ
12-09-2000,41.3,41.45,40.85,41.1,41.3,114.9,38.0,95784,3947244.4,,41.21,EQ
13-09-2000,41.5,42.65,40.5,42.15,42.0,114.9,38.0,416619,17273912.9,,41.46,EQ
14-09-2000,41.9,44.95,41.7,43.25,43.3,114.9,38.0,604558,26260911.6,,43.44,EQ
15-09-2000,43.3,44.15,41.75,42.1,42.0,114.9,38.0,182387,7818808.65,,42.87,EQ
18-09-2000,41.25,43.25,41.05,42.95,42.65,114.9,38.0,391686,16708351.55,,42.66,EQ
19-09-2000,42.45,42.9,40.1,40.65,40.95,114.9,38.0,247354,10224786.2,,41.34,EQ
20-09-2000,41.1,42.55,41.0,42.45,42.5,114.9,38.0,105240,4396768.65,,41.78,EQ
21-09-2000,42.3,43.6,41.5,43.2,43.5,114.9,38.0,370953,15951330.1,,43.0,EQ
22-09-2000,42.25,43.5,40.25,42.0,41.85,114.9,38.0,882858,37088164.0,,42.01,EQ
25-09-2000,42.05,42.95,40.5,40.8,40.85,114.9,38.0,287343,11804373.1,,41.08,EQ
26-09-2000,41.5,41.5,38.55,38.75,39.05,114.9,38.0,369743,14516885.8,,39.26,EQ
27-09-2000,38.1,39.9,38.0,39.55,39.7,114.9,38.0,218478,8530439.45,,39.04,EQ
28-09-2000,40.0,41.55,38.25,38.7,39.0,114.9,38.0,671477,26736713.05,,39.82,EQ
29-09-2000,39.0,40.1,38.8,39.5,39.65,114.9,38.0,204727,8136829.55,,39.74,EQ
03-10-2000,38.5,40.0,37.25,39.7,39.85,114.9,38.0,239689,9520192.6,,39.72,EQ
04-10-2000,42.9,42.9,39.65,39.7,39.65,114.9,37.25,244289,9791981.3,,40.08,EQ
05-10-2000,39.8,39.9,38.55,38.75,38.95,114.9,37.25,81288,3194785.85,,39.3,EQ
06-10-2000,38.25,39.4,38.25,38.9,38.8,114.9,37.25,100648,3886734.1,,38.62,EQ
09-10-2000,38.6,39.1,37.5,38.0,38.0,114.9,37.25,106380,4056483.6,,38.13,EQ
10-10-2000,38.0,38.1,36.8,37.1,37.7,114.9,37.25,174595,6516092.25,,37.32,EQ
11-10-2000,37.4,37.9,36.8,37.35,37.9,114.9,36.8,86402,3225802.7,,37.33,EQ
12-10-2000,38.3,38.3,36.9,37.2,37.5,114.9,36.8,98187,3661270.1,,37.29,EQ
13-10-2000,36.85,38.0,36.3,36.6,37.5,114.9,36.8,158351,5909367.25,,37.32,EQ
16-10-2000,36.8,37.6,36.55,36.85,37.0,114.9,36.3,88950,3296420.35,,37.06,EQ
17-10-2000,36.5,36.95,35.05,35.35,36.0,114.9,36.3,167285,5974014.3,,35.71,EQ
18-10-2000,35.25,35.7,34.75,35.1,35.3,114.9,35.05,87191,3060415.5,,35.1,EQ
19-10-2000,35.05,35.2,33.8,34.1,34.75,114.9,34.75,348571,11948324.6,,34.28,EQ
20-10-2000,34.25,35.45,34.25,34.6,34.45,114.9,33.8,183292,6404883.7,,34.94,EQ
23-10-2000,34.25,34.5,34.05,34.15,34.1,114.9,33.8,76214,2610901.9,,34.26,EQ
24-10-2000,33.6,34.4,33.5,33.9,34.0,111.0,33.8,144715,4919652.0,,34.0,EQ
25-10-2000,34.0,35.4,34.0,35.05,34.9,111.0,33.5,188993,6604137.75,,34.94,EQ
26-10-2000,34.6,35.1,34.35,35.0,35.0,111.0,33.5,16876,589684.65,,34.94,EQ
27-10-2000,35.0,35.1,34.65,34.85,34.95,111.0,33.5,53793,1877410.1,,34.9,EQ
30-10-2000,34.6,34.95,34.05,34.25,34.2,111.0,33.5,28623,983637.45,,34.37,EQ
31-10-2000,33.5,34.25,33.5,33.9,34.0,106.5,33.5,113701,3862959.2,,33.97,EQ
01-11-2000,34.65,35.7,34.3,35.4,35.25,106.5,33.5,291221,10227865.45,,35.12,EQ
