DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
29-04-2022,121.0,121.9,110.05,113.35,113.9,121.9,110.05,67484,7829592.05,1479,116.02,EQ
02-05-2022,112.9,118.0,111.05,113.5,113.2,121.9,110.05,42756,4922582.4,1397,115.13,EQ
04-05-2022,114.75,114.8,106.05,106.75,106.4,121.9,106.05,29108,3178633.0,1125,109.2,EQ
05-05-2022,106.75,109.05,104.5,104.95,105.5,121.9,104.5,19776,2097573.8,667,106.07,EQ
06-05-2022,97.05,104.4,97.05,100.3,100.85,121.9,97.05,33563,3391566.25,2139,101.05,EQ
09-05-2022,100.0,100.0,96.05,97.2,96.8,121.9,96.05,28510,2787009.15,1265,97.76,EQ
10-05-2022,98.6,107.95,98.6,100.2,102.0,121.9,96.05,54327,5577255.75,3198,102.66,EQ
11-05-2022,100.7,102.95,94.0,97.65,98.65,121.9,94.0,36633,3621661.3,2309,98.86,EQ
12-05-2022,101.0,101.0,92.8,94.35,94.0,121.9,92.8,41785,3990878.35,1743,95.51,EQ
13-05-2022,96.0,102.65,96.0,97.6,96.5,121.9,92.8,32162,3170008.65,1642,98.56,EQ
16-05-2022,99.75,100.0,96.5,99.05,100.0,121.9,92.8,16541,1626677.05,1415,98.34,EQ
17-05-2022,104.95,104.95,99.05,100.55,100.15,121.9,92.8,35666,3602766.5,2619,101.01,EQ
18-05-2022,100.95,102.45,99.5,100.2,100.0,121.9,92.8,23914,2411775.1,866,100.85,EQ
19-05-2022,96.25,99.95,95.0,98.35,96.6,121.9,92.8,23148,2240351.2,1169,96.78,EQ
20-05-2022,101.6,102.95,99.05,100.55,100.5,121.9,92.8,18336,1843361.35,706,100.53,EQ
23-05-2022,100.6,120.2,98.45,103.0,102.6,121.9,92.8,37960,3938773.5,1400,103.76,EQ
24-05-2022,103.0,103.0,95.3,97.45,98.0,121.9,92.8,29817,2971443.1,1593,99.66,EQ
25-05-2022,99.4,100.0,95.35,96.5,97.0,121.9,92.8,17777,1725462.15,806,97.06,EQ
26-05-2022,98.2,99.05,90.95,93.35,92.6,121.9,90.95,37646,3524923.4,1198,93.63,EQ
27-05-2022,98.75,98.75,93.8,95.35,94.8,121.9,90.95,12313,1179043.25,410,95.76,EQ
30-05-2022,99.0,103.8,96.2,100.45,100.2,121.9,90.95,47339,4748606.3,1067,100.31,EQ
31-05-2022,94.0,97.95,93.95,96.4,96.9,121.9,90.95,27103,2603791.5,1004,96.07,EQ
01-06-2022,98.15,98.15,94.2,94.5,95.5,121.9,90.95,18835,1791002.7,526,95.09,EQ
02-06-2022,93.55,96.0,93.55,94.6,95.0,121.9,90.95,20848,1970913.35,445,94.54,EQ
03-06-2022,96.7,96.7,93.1,93.85,93.65,121.9,90.95,20451,1937389.05,556,94.73,EQ
06-06-2022,96.9,96.9,92.05,93.35,93.5,121.9,90.95,7247,679136.65,326,93.71,EQ
07-06-2022,97.55,97.55,92.25,92.75,92.6,121.9,90.95,15728,1464543.7,943,93.12,EQ
08-06-2022,92.85,95.0,90.0,91.2,91.6,121.9,90.0,20869,1925135.85,1235,92.25,EQ
09-06-2022,93.0,93.0,88.25,90.05,89.25,121.9,88.25,65914,5882411.05,1139,89.24,EQ
10-06-2022,91.65,91.65,86.05,87.6,87.8,121.9,86.05,23271,2053011.6,900,88.22,EQ
13-06-2022,81.8,86.95,79.25,80.9,84.0,121.9,79.25,50542,4149812.0,1757,82.11,EQ
14-06-2022,82.35,88.0,80.95,84.2,84.9,121.9,79.25,43300,3686516.55,1781,85.14,EQ
15-06-2022,86.3,86.3,82.05,83.2,83.0,121.9,79.25,21003,1769015.7,1455,84.23,EQ
16-06-2022,84.75,85.05,80.15,81.1,82.0,121.9,79.25,23267,1920378.45,1711,82.54,EQ
17-06-2022,80.1,81.1,77.5,79.25,81.0,121.9,77.5,21106,1673038.85,1243,79.27,EQ
20-06-2022,81.0,86.0,74.0,75.3,75.95,121.9,74.0,22066,1727946.05,825,78.31,EQ
21-06-2022,75.9,80.5,74.3,76.8,78.1,121.9,74.0,28715,2203450.15,1158,76.74,EQ
22-06-2022,78.35,78.35,70.2,72.95,72.25,121.9,70.2,27498,2025558.75,1632,73.66,EQ
23-06-2022,74.55,78.35,73.05,77.45,77.25,121.9,70.2,20661,1580834.9,1072,76.51,EQ
24-06-2022,77.0,79.3,76.15,77.55,77.5,121.9,70.2,17552,1368050.3,1031,77.94,EQ
27-06-2022,78.1,85.85,78.1,80.65,80.9,121.9,70.2,17662,1422224.55,810,80.52,EQ
28-06-2022,81.0,81.65,78.0,79.75,79.5,121.9,70.2,14237,1137413.7,594,79.89,EQ
29-06-2022,80.0,80.6,78.05,79.4,79.9,121.9,70.2,10882,863656.9,586,79.37,EQ
30-06-2022,81.15,82.35,78.5,79.5,79.9,121.9,70.2,9936,794705.05,548,79.98,EQ
01-07-2022,76.4,79.4,76.4,78.5,78.4,121.9,70.2,4534,355272.45,221,78.36,EQ
04-07-2022,80.0,80.0,75.5,75.75,76.25,121.9,70.2,21561,1658474.95,705,76.92,EQ
05-07-2022,78.5,79.15,75.25,76.75,76.1,121.9,70.2,12550,971143.4,509,77.38,EQ
06-07-2022,78.0,78.5,76.05,76.6,77.0,121.9,70.2,6093,470585.8,326,77.23,EQ
07-07-2022,78.0,78.9,77.05,78.2,77.75,121.9,70.2,10021,783506.6,450,78.19,EQ
08-07-2022,78.8,80.6,77.8,78.5,78.65,121.9,70.2,7444,586342.85,392,78.77,EQ
11-07-2022,80.1,82.3,80.1,81.25,81.45,121.9,70.2,20800,1685530.25,436,81.04,EQ
12-07-2022,81.3,82.6,78.5,79.7,79.05,121.9,70.2,17158,1373852.7,596,80.07,EQ
13-07-2022,80.95,81.8,79.8,81.0,81.7,121.9,70.2,11657,941012.95,412,80.73,EQ
14-07-2022,80.75,82.5,79.8,80.75,80.6,121.9,70.2,10414,845751.4,255,81.21,EQ
15-07-2022,80.4,81.85,78.7,79.0,78.85,121.9,70.2,10437,831291.35,378,79.65,EQ
18-07-2022,78.35,82.4,78.0,80.9,82.4,121.9,70.2,9177,730474.75,251,79.6,EQ
19-07-2022,81.15,82.5,81.0,82.25,82.0,121.9,70.2,12024,985545.85,350,81.96,EQ
20-07-2022,83.95,85.0,82.4,83.35,83.7,121.9,70.2,18081,1507101.9,426,83.35,EQ
21-07-2022,83.35,84.05,81.0,82.55,82.8,121.9,70.2,11714,962132.25,360,82.14,EQ
22-07-2022,82.8,95.3,80.75,91.0,91.15,121.9,70.2,215069,19399160.9,3846,90.2,EQ
25-07-2022,92.6,99.5,91.9,97.0,97.5,121.9,70.2,113167,10807201.15,2511,95.5,EQ
26-07-2022,99.0,109.0,99.0,101.75,104.0,121.9,70.2,223773,23473156.65,4326,104.9,EQ
27-07-2022,103.75,104.65,100.1,101.75,101.9,121.9,70.2,52936,5416751.2,2121,102.33,EQ
28-07-2022,104.0,111.0,101.1,101.85,101.75,121.9,70.2,64236,6767737.7,1752,105.36,EQ
29-07-2022,103.0,104.4,98.25,99.35,100.55,121.9,70.2,29464,2998693.7,1032,101.77,EQ
01-08-2022,103.8,103.8,99.1,101.15,101.8,121.9,70.2,37798,3824204.45,823,101.17,EQ
02-08-2022,101.0,104.4,99.1,101.25,101.25,121.9,70.2,28575,2917300.5,1013,102.09,EQ
03-08-2022,102.05,102.75,99.1,100.25,100.05,121.9,70.2,16525,1662100.85,637,100.58,EQ
04-08-2022,101.9,102.05,96.5,97.45,96.5,121.9,70.2,25635,2530406.85,758,98.71,EQ
05-08-2022,99.4,100.75,93.0,95.05,93.6,121.9,70.2,34916,3393968.5,1327,97.2,EQ
08-08-2022,95.1,102.85,93.05,97.45,96.5,121.9,70.2,36743,3592209.3,1097,97.77,EQ
10-08-2022,100.9,109.7,98.0,99.7,100.95,121.9,70.2,215787,22364124.5,5300,103.64,EQ
11-08-2022,101.7,105.15,100.8,104.3,103.8,121.9,70.2,82273,8508287.25,2198,103.42,EQ
12-08-2022,104.0,106.7,101.65,103.5,104.7,121.9,70.2,68828,7199738.4,1915,104.6,EQ
16-08-2022,103.95,105.45,99.95,100.1,101.0,121.9,70.2,51133,5221300.3,2701,102.11,EQ
