DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
14-01-2005,401.55,465.0,351.0,394.25,395.6,0.0,0.0,5092000,2069480254.55,,406.42,EQ
17-01-2005,400.0,401.9,366.05,370.95,367.25,465.0,351.0,954607,361744373.7,,378.95,EQ
18-01-2005,372.45,383.7,351.15,367.65,367.75,465.0,351.0,1355176,505177772.65,,372.78,EQ
19-01-2005,368.0,373.9,356.1,358.75,357.8,465.0,351.0,551167,202226247.15,,366.91,EQ
20-01-2005,357.0,358.9,344.3,346.75,345.15,465.0,351.0,230776,81251969.05,,352.08,EQ
24-01-2005,346.75,350.1,335.75,337.6,336.8,465.0,344.3,131944,45001210.35,,341.06,EQ
25-01-2005,339.0,340.0,333.6,335.9,338.9,465.0,335.75,118210,39668304.25,,335.57,EQ
27-01-2005,339.25,351.8,339.0,341.7,341.0,465.0,333.6,142694,49167262.65,,344.56,EQ
28-01-2005,343.3,362.0,342.0,357.95,359.0,465.0,333.6,342747,121236474.45,,353.72,EQ
31-01-2005,361.0,361.4,344.2,349.45,348.1,465.0,333.6,174063,61107345.95,,351.06,EQ
01-02-2005,352.0,359.6,345.5,354.9,356.5,465.0,333.6,190652,67319361.0,,353.1,EQ
02-02-2005,356.5,358.0,350.0,351.95,352.05,465.0,333.6,62412,22048566.85,,353.27,EQ
03-02-2005,350.1,356.9,347.6,351.55,351.0,465.0,333.6,70338,24890889.45,,353.88,EQ
04-02-2005,354.6,354.6,342.15,344.85,342.15,465.0,333.6,58309,20292323.95,,348.01,EQ
07-02-2005,348.9,356.8,340.0,341.5,340.0,465.0,333.6,44937,15470171.85,,344.26,EQ
08-02-2005,342.5,344.4,335.1,337.6,337.15,465.0,333.6,58904,19978066.7,,339.16,EQ
09-02-2005,341.9,342.9,335.0,337.85,337.0,465.0,333.6,115852,39232994.95,,338.65,EQ
10-02-2005,341.4,341.4,329.0,330.4,330.6,465.0,333.6,78855,26288228.1,,333.37,EQ
11-02-2005,331.5,337.5,327.2,330.45,329.95,465.0,329.0,51764,17226645.9,,332.79,EQ
14-02-2005,332.1,345.5,325.0,342.5,344.0,465.0,327.2,178778,60508945.4,,338.46,EQ
15-02-2005,344.0,349.5,336.4,343.35,342.0,465.0,325.0,112568,38468769.55,,341.74,EQ
16-02-2005,344.0,344.0,335.0,337.55,335.0,465.0,325.0,40260,13699012.25,,340.26,EQ
17-02-2005,336.4,337.5,332.1,335.7,335.3,465.0,325.0,19165,6431311.5,,335.58,EQ
18-02-2005,337.0,339.55,330.0,330.65,330.0,465.0,325.0,17122,5714330.4,,333.74,EQ
21-02-2005,337.0,337.0,329.5,330.1,330.0,465.0,325.0,62162,20571969.1,,330.94,EQ
22-02-2005,329.0,332.7,326.15,327.7,326.25,465.0,325.0,36865,12138603.75,,329.27,EQ
23-02-2005,326.0,330.9,325.0,325.95,326.3,465.0,325.0,43314,14222704.9,,328.36,EQ
24-02-2005,326.95,330.0,323.25,324.4,323.25,465.0,325.0,29392,9602054.95,,326.69,EQ
25-02-2005,325.1,326.0,315.0,316.2,315.0,465.0,323.25,30909,9890980.6,,320.0,EQ
28-02-2005,310.0,318.0,305.2,307.2,306.0,465.0,315.0,51938,16139655.75,,310.75,EQ
01-03-2005,302.0,314.8,297.0,298.65,299.0,465.0,305.2,40140,12194662.45,,303.8,EQ
02-03-2005,299.1,315.0,299.1,306.65,309.95,465.0,297.0,76602,23354978.25,,304.89,EQ
03-03-2005,308.8,330.0,306.4,328.65,329.9,465.0,297.0,112904,36457262.3,,322.9,EQ
04-03-2005,333.0,334.7,318.5,321.5,321.3,465.0,297.0,55932,18394964.7,,328.88,EQ
07-03-2005,321.5,324.0,319.45,321.5,321.95,465.0,297.0,29687,9553829.9,,321.82,EQ
08-03-2005,321.45,326.8,311.0,312.4,311.0,465.0,297.0,26853,8437759.0,,314.22,EQ
09-03-2005,328.0,328.0,306.1,308.45,306.1,465.0,297.0,24293,7560297.2,,311.21,EQ
10-03-2005,309.5,312.4,305.1,308.95,308.0,465.0,297.0,23517,7279603.05,,309.55,EQ
11-03-2005,312.05,312.05,303.0,304.7,303.3,465.0,297.0,26800,8268712.7,,308.53,EQ
14-03-2005,310.8,310.8,300.0,301.45,300.0,465.0,297.0,20187,6145715.6,,304.44,EQ
15-03-2005,305.7,306.0,297.4,299.45,299.9,465.0,297.0,31177,9390809.4,,301.21,EQ
16-03-2005,302.95,309.0,297.0,298.3,298.0,465.0,297.0,16062,4839357.95,,301.29,EQ
17-03-2005,300.0,301.8,291.4,294.05,292.9,465.0,297.0,25735,7629080.6,,296.45,EQ
18-03-2005,296.6,296.8,286.75,288.1,286.75,465.0,291.4,20122,5850674.35,,290.76,EQ
21-03-2005,287.0,294.0,280.05,282.1,281.0,465.0,286.75,33619,9627018.3,,286.36,EQ
22-03-2005,287.0,287.0,268.5,271.95,269.0,465.0,280.05,29670,8219917.55,,277.04,EQ
23-03-2005,275.8,281.9,270.0,270.55,270.0,465.0,268.5,36011,9878793.45,,274.33,EQ
24-03-2005,272.1,278.85,270.35,276.4,278.0,465.0,268.5,28977,7967286.4,,274.95,EQ
28-03-2005,279.0,282.5,275.0,279.15,279.35,465.0,268.5,23078,6446951.1,,279.35,EQ
29-03-2005,276.0,277.8,269.0,274.2,275.0,465.0,268.5,24345,6646646.8,,273.02,EQ
30-03-2005,271.5,285.95,271.5,280.75,285.9,465.0,268.5,23166,6395349.4,,276.07,EQ
31-03-2005,283.0,304.8,279.5,299.95,299.85,465.0,268.5,60618,18022515.8,,297.31,EQ
01-04-2005,306.0,309.0,293.0,306.95,305.0,465.0,268.5,43086,13121134.5,,304.53,EQ
04-04-2005,304.95,318.0,304.95,310.6,311.0,465.0,268.5,42970,13407480.95,,312.02,EQ
05-04-2005,310.25,311.4,302.0,303.5,302.0,465.0,268.5,13693,4177097.9,,305.05,EQ
06-04-2005,304.0,306.0,299.5,302.5,302.0,465.0,268.5,11082,3361737.15,,303.35,EQ
07-04-2005,303.0,306.6,295.0,297.05,296.05,465.0,268.5,7170,2144028.5,,299.03,EQ
08-04-2005,293.0,302.0,293.0,297.5,298.0,465.0,268.5,5743,1702416.35,,296.43,EQ
11-04-2005,299.8,299.8,292.05,294.7,294.05,465.0,268.5,4446,1309163.4,,294.46,EQ
12-04-2005,295.0,296.0,290.05,292.75,290.1,465.0,268.5,3777,1108869.75,,293.58,EQ
13-04-2005,293.0,295.0,290.7,291.55,291.2,465.0,268.5,4503,1317399.0,,292.56,EQ
15-04-2005,288.0,292.0,283.15,287.6,290.1,465.0,268.5,14392,4130752.75,,287.02,EQ
18-04-2005,288.0,288.0,279.6,282.65,282.0,465.0,268.5,7268,2055493.95,,282.81,EQ
19-04-2005,282.0,288.0,282.0,286.75,287.0,465.0,268.5,14431,4131733.05,,286.31,EQ
20-04-2005,281.0,287.0,281.0,285.4,284.55,465.0,268.5,7933,2255141.3,,284.27,EQ
21-04-2005,285.1,287.0,282.0,283.85,284.75,465.0,268.5,47055,13450327.4,,285.84,EQ
22-04-2005,283.8,294.0,281.4,289.15,288.0,465.0,268.5,12744,3673007.55,,288.21,EQ
25-04-2005,292.0,294.0,287.25,292.7,294.0,465.0,268.5,6757,1972489.15,,291.92,EQ
26-04-2005,294.0,303.95,291.05,301.4,300.0,465.0,268.5,27231,8126069.25,,298.41,EQ
27-04-2005,291.0,304.9,274.25,298.5,300.05,465.0,268.5,74382,21928733.15,,294.81,EQ
28-04-2005,292.0,300.0,292.0,297.75,297.0,465.0,268.5,40269,11968949.8,,297.22,EQ
29-04-2005,298.8,298.8,290.0,291.25,290.0,465.0,268.5,16320,4783809.3,,293.13,EQ
02-05-2005,291.9,292.0,283.15,287.3,292.0,465.0,268.5,10318,2960907.8,,286.97,EQ
03-05-2005,288.05,291.9,284.0,285.0,286.5,465.0,268.5,3606,1036958.7,,287.56,EQ
