DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
02-11-2011,76.0,98.9,18.85,23.15,22.4,98.9,18.85,49399207,2889005231.55,578433,58.48,EQ
03-11-2011,21.15,23.0,18.55,20.9,22.5,98.9,18.55,6966688,147830106.4,40669,21.22,EQ
04-11-2011,22.65,22.9,21.0,22.15,22.15,98.9,18.55,2363545,52037126.95,14042,22.02,EQ
08-11-2011,21.75,22.4,21.0,21.25,21.1,98.9,18.55,627411,13392813.25,3616,21.35,EQ
09-11-2011,21.25,21.4,18.9,19.2,19.3,98.9,18.55,692360,13796577.15,4710,19.93,EQ
11-11-2011,19.1,19.2,16.3,16.7,16.8,98.9,16.3,624650,10876529.35,3875,17.41,EQ
14-11-2011,17.0,17.0,14.0,14.75,14.9,98.9,14.0,477879,7359518.25,3090,15.4,EQ
15-11-2011,14.25,14.45,13.4,13.6,13.6,98.9,13.4,306571,4282675.25,2060,13.97,EQ
16-11-2011,14.0,14.0,13.1,13.45,13.6,98.9,13.1,208456,2810768.35,1738,13.48,EQ
17-11-2011,13.15,13.75,12.25,12.4,12.4,98.9,12.25,256837,3315104.4,1536,12.91,EQ
18-11-2011,11.55,13.5,11.55,13.3,13.5,98.9,11.55,320061,4023098.6,1826,12.57,EQ
21-11-2011,12.75,13.3,12.2,12.3,12.4,98.9,11.55,86276,1096669.1,684,12.71,EQ
22-11-2011,12.0,12.3,11.95,12.0,12.1,98.9,11.55,86799,1047204.1,522,12.06,EQ
23-11-2011,12.0,12.0,11.55,11.7,11.8,98.9,11.55,88986,1038186.9,464,11.67,EQ
24-11-2011,11.5,12.05,10.9,11.75,12.05,98.9,10.9,83289,957094.0,416,11.49,EQ
25-11-2011,10.6,12.2,10.6,11.65,11.7,98.9,10.6,58762,691661.05,393,11.77,EQ
28-11-2011,11.7,12.4,11.55,11.9,12.15,98.9,10.6,53184,633824.55,323,11.92,EQ
29-11-2011,12.8,12.8,11.75,11.9,11.9,98.9,10.6,28023,336755.05,249,12.02,EQ
30-11-2011,11.45,11.85,11.45,11.6,11.75,98.9,10.6,35547,413372.2,155,11.63,EQ
01-12-2011,11.75,11.95,10.6,11.35,11.25,98.9,10.6,210012,2361868.05,616,11.25,EQ
02-12-2011,11.6,11.6,11.05,11.25,11.15,98.9,10.6,30035,338928.4,250,11.28,EQ
05-12-2011,10.8,11.45,10.8,11.4,11.45,98.9,10.6,45892,520177.5,212,11.33,EQ
07-12-2011,11.4,11.55,11.0,11.2,11.3,98.9,10.6,33929,386099.1,232,11.38,EQ
08-12-2011,11.05,11.45,11.0,11.05,11.0,98.9,10.6,78819,880679.2,332,11.17,EQ
09-12-2011,10.8,11.3,10.75,11.2,11.25,98.9,10.6,61437,680964.35,272,11.08,EQ
