DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
27-09-2024,290.75,331.8,281.5,292.6,292.0,331.8,281.5,119164,36795031.2,4170,308.78,EQ
30-09-2024,302.0,320.0,282.05,294.35,297.9,331.8,281.5,86663,26421140.85,3801,304.87,EQ
01-10-2024,294.5,309.65,294.5,305.65,309.0,331.8,281.5,19878,6017001.3,2802,302.7,EQ
03-10-2024,304.8,311.45,286.5,289.55,292.6,331.8,281.5,56684,16697878.0,2732,294.58,EQ
04-10-2024,292.7,299.6,281.0,282.85,285.0,331.8,281.0,13410,3881758.5,2228,289.47,EQ
07-10-2024,278.5,289.7,270.0,270.45,270.0,331.8,270.0,12386,3447389.0,2330,278.33,EQ
08-10-2024,271.05,277.7,263.25,267.1,263.25,331.8,263.25,3171,856013.0,457,269.95,EQ
09-10-2024,274.45,276.95,259.3,262.15,268.55,331.8,259.3,9277,2461188.45,1616,265.3,EQ
10-10-2024,274.4,274.4,259.4,264.9,267.0,331.8,259.3,4043,1072470.8,872,265.27,EQ
11-10-2024,257.25,269.4,253.65,265.3,260.85,331.8,253.65,3386,894714.5,624,264.24,EQ
14-10-2024,259.95,286.0,259.95,269.55,268.5,331.8,253.65,12731,3464270.0,1074,272.11,EQ
15-10-2024,281.4,281.65,265.3,266.4,265.4,331.8,253.65,9739,2608563.25,630,267.85,EQ
16-10-2024,267.75,271.8,260.0,261.15,260.0,331.8,253.65,3119,829793.85,552,266.04,EQ
17-10-2024,273.4,273.5,252.0,259.2,256.55,331.8,252.0,1689,442592.65,335,262.04,EQ
18-10-2024,257.05,268.3,250.0,254.85,254.55,331.8,250.0,2583,659302.95,333,255.25,EQ
21-10-2024,254.25,267.4,253.8,260.25,260.0,331.8,250.0,2808,728263.1,190,259.35,EQ
22-10-2024,261.6,263.95,222.0,255.45,254.8,331.8,222.0,15051,3846576.0,441,255.57,EQ
23-10-2024,248.4,249.0,227.8,233.55,228.0,331.8,222.0,6549,1560961.05,449,238.35,EQ
24-10-2024,229.05,239.0,224.9,229.1,230.0,331.8,222.0,7543,1749610.45,1767,231.95,EQ
25-10-2024,234.95,237.95,225.05,227.25,225.5,331.8,222.0,8248,1895083.2,2219,229.76,EQ
28-10-2024,249.0,249.0,228.0,236.2,235.9,331.8,222.0,26189,6326139.25,1661,241.56,EQ
29-10-2024,238.0,249.0,236.05,244.3,244.8,331.8,222.0,7586,1850583.4,1221,243.95,EQ
30-10-2024,288.9,288.9,255.0,260.85,272.9,331.8,222.0,54060,14334690.4,2677,265.16,EQ
31-10-2024,271.0,278.0,265.2,267.8,269.25,331.8,222.0,6906,1860587.15,672,269.42,EQ
01-11-2024,275.0,281.2,262.55,273.35,270.0,331.8,222.0,3118,853756.6,177,273.82,EQ
04-11-2024,267.15,270.0,250.0,254.35,255.65,331.8,222.0,11270,2888205.45,1986,256.27,EQ
05-11-2024,263.4,270.85,241.0,248.3,242.35,331.8,222.0,7751,1981837.9,1034,255.69,EQ
06-11-2024,252.55,257.4,243.7,251.9,248.0,331.8,222.0,3956,989234.15,757,250.06,EQ
07-11-2024,253.0,254.8,244.4,246.35,248.05,331.8,222.0,3803,943129.55,1003,248.0,EQ
08-11-2024,248.75,254.4,238.85,247.8,254.4,331.8,222.0,1697,420910.0,477,248.03,EQ
11-11-2024,250.0,254.75,240.2,242.8,243.0,331.8,222.0,33794,8395559.2,678,248.43,EQ
12-11-2024,243.25,249.6,231.0,233.75,236.0,331.8,222.0,1671,396784.85,307,237.45,EQ
13-11-2024,238.45,239.95,225.5,230.75,237.55,331.8,222.0,2345,556466.4,186,237.3,EQ
14-11-2024,234.7,273.0,234.7,253.35,242.5,331.8,222.0,19157,4938437.35,975,257.79,EQ
18-11-2024,258.95,258.95,243.0,250.05,253.4,331.8,222.0,3781,947037.2,378,250.47,EQ
19-11-2024,257.45,258.95,249.1,251.65,251.15,331.8,222.0,2833,718222.35,501,253.52,EQ
21-11-2024,252.45,258.7,242.3,246.65,242.55,331.8,222.0,4401,1116106.4,176,253.6,EQ
