DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
14-09-2007,75.0,124.0,58.95,113.65,117.5,124.0,58.95,48415594,4384281707.6,,90.56,EQ
17-09-2007,120.0,135.0,120.0,130.55,131.5,135.0,58.95,14840899,1919677598.95,,129.35,EQ
18-09-2007,133.0,144.0,128.0,136.6,137.2,144.0,58.95,12035220,1628614573.95,,135.32,EQ
19-09-2007,142.0,147.5,135.35,138.3,136.5,147.5,58.95,8580431,1209392236.25,,140.95,EQ
20-09-2007,138.0,139.3,125.0,127.95,127.9,147.5,58.95,3272732,425345635.9,,129.97,EQ
21-09-2007,127.0,128.25,120.8,121.75,121.6,147.5,58.95,1557971,193151759.95,,123.98,EQ
24-09-2007,124.0,131.95,122.0,127.55,127.5,147.5,58.95,1804665,230062562.85,,127.48,EQ
25-09-2007,127.8,127.8,121.1,122.2,122.35,147.5,58.95,374188,46308347.75,,123.76,EQ
26-09-2007,124.0,124.0,112.25,113.7,114.0,147.5,58.95,482844,56457564.2,,116.93,EQ
27-09-2007,114.25,116.4,111.0,112.8,112.55,147.5,58.95,481067,54546939.4,,113.39,EQ
28-09-2007,113.3,120.0,102.1,114.95,115.55,147.5,58.95,1247954,139213214.55,,111.55,EQ
01-10-2007,119.9,134.0,116.0,125.1,125.4,147.5,58.95,1957538,248466677.2,,126.93,EQ
03-10-2007,126.0,136.4,124.0,131.1,131.5,147.5,58.95,1578820,207086229.45,,131.17,EQ
04-10-2007,129.4,149.0,127.0,142.7,143.85,149.0,58.95,3652045,523619812.6,,143.38,EQ
05-10-2007,148.7,156.0,140.25,145.85,142.1,156.0,58.95,2124910,319795303.05,,150.5,EQ
08-10-2007,149.0,149.9,133.1,135.85,133.95,156.0,58.95,793780,112119886.05,,141.25,EQ
09-10-2007,130.0,147.0,126.1,145.05,146.75,156.0,58.95,1376605,192567542.8,,139.89,EQ
10-10-2007,146.0,173.0,146.0,157.65,158.25,173.0,58.95,2823198,444175818.5,,157.33,EQ
11-10-2007,163.4,179.0,159.0,170.1,171.75,179.0,58.95,1663932,281247742.4,,169.03,EQ
12-10-2007,169.9,185.0,166.8,169.3,169.35,185.0,58.95,1182842,204615684.1,,172.99,EQ
15-10-2007,171.85,195.0,169.8,189.75,192.1,195.0,58.95,2539764,470471782.7,,185.24,EQ
16-10-2007,185.0,211.8,185.0,205.7,206.0,211.8,58.95,3153193,643530831.9,,204.09,EQ
17-10-2007,187.0,209.95,185.35,197.95,199.9,211.8,58.95,1443653,286278735.65,,198.3,EQ
18-10-2007,201.0,217.75,182.3,196.85,184.1,217.75,58.95,2418324,509571320.7,,210.71,EQ
19-10-2007,184.9,190.0,177.2,177.55,177.2,217.75,58.95,691752,125646361.3,,181.63,EQ
22-10-2007,168.0,182.4,161.65,174.45,174.3,217.75,58.95,692440,122062869.15,,176.28,EQ
23-10-2007,180.0,191.0,178.1,187.3,191.0,217.75,58.95,516179,95782646.8,,185.56,EQ
24-10-2007,193.4,195.0,184.05,185.6,185.6,217.75,58.95,563460,107156383.35,,190.18,EQ
25-10-2007,186.0,197.1,181.0,183.25,183.0,217.75,58.95,980316,185335412.95,,189.06,EQ
26-10-2007,185.1,191.4,182.0,184.6,185.7,217.75,58.95,378044,70410552.95,,186.25,EQ
29-10-2007,187.95,191.85,179.0,180.2,179.8,217.75,58.95,645157,118298068.25,,183.36,EQ
30-10-2007,182.6,182.65,164.0,173.0,172.05,217.75,58.95,319472,55791993.5,,174.64,EQ
31-10-2007,173.5,186.5,165.2,169.4,168.5,217.75,58.95,903292,157949358.45,,174.86,EQ
01-11-2007,172.95,176.8,156.0,158.8,158.9,217.75,58.95,453038,76873980.35,,169.69,EQ
02-11-2007,155.0,174.0,152.0,165.05,165.0,217.75,58.95,536272,87476426.45,,163.12,EQ
05-11-2007,163.75,180.0,159.25,161.5,162.0,217.75,58.95,623666,104812330.5,,168.06,EQ
06-11-2007,163.9,169.95,155.1,157.15,156.4,217.75,58.95,308060,49913741.8,,162.03,EQ
07-11-2007,158.0,161.0,144.25,150.05,151.65,217.75,58.95,288902,43816337.8,,151.67,EQ
08-11-2007,145.0,149.0,141.25,143.5,143.9,217.75,58.95,185605,26908229.05,,144.98,EQ
09-11-2007,147.0,149.0,144.15,145.45,146.3,217.75,58.95,40849,5963543.85,,145.99,EQ
12-11-2007,140.0,144.9,130.0,140.85,140.05,217.75,58.95,122278,17119915.85,,140.01,EQ
13-11-2007,142.5,149.0,141.5,147.2,147.5,217.75,58.95,138590,20198989.5,,145.75,EQ
14-11-2007,153.7,157.0,152.0,155.45,155.0,217.75,58.95,250701,38788341.35,,154.72,EQ
15-11-2007,155.6,174.0,154.35,163.9,163.25,217.75,58.95,258521,42388783.85,,163.97,EQ
16-11-2007,164.0,169.0,159.2,163.15,164.0,217.75,58.95,135910,22348808.5,,164.44,EQ
19-11-2007,168.9,185.0,160.0,163.6,164.2,217.75,58.95,106864,17720011.4,,165.82,EQ
20-11-2007,164.0,165.35,155.1,158.3,157.05,217.75,58.95,90169,14450703.35,,160.26,EQ
21-11-2007,159.0,159.0,140.5,144.9,149.9,217.75,58.95,84366,12732230.9,,150.92,EQ
22-11-2007,146.9,146.9,122.8,137.45,139.0,217.75,58.95,86379,11948349.85,,138.32,EQ
23-11-2007,146.0,150.4,140.0,145.7,144.2,217.75,58.95,72214,10427469.1,,144.4,EQ
26-11-2007,158.1,169.0,151.0,160.55,160.6,217.75,58.95,388430,62434014.95,,160.73,EQ
27-11-2007,164.4,164.4,150.1,152.45,151.5,217.75,58.95,130376,20035327.35,,153.67,EQ
28-11-2007,155.0,155.75,146.0,148.65,147.0,217.75,58.95,78117,11932471.45,,152.75,EQ
29-11-2007,152.0,152.0,145.0,146.0,145.3,217.75,58.95,71917,10654066.65,,148.14,EQ
30-11-2007,147.0,150.0,141.1,146.55,146.0,217.75,58.95,75638,11160505.1,,147.55,EQ
03-12-2007,143.1,151.85,143.1,147.1,147.8,217.75,58.95,127428,18963293.7,,148.82,EQ
04-12-2007,148.0,158.0,145.55,146.75,146.0,217.75,58.95,251132,37676845.7,,150.03,EQ
05-12-2007,148.0,156.45,144.25,144.8,145.0,217.75,58.95,591894,88341726.9,,149.25,EQ
06-12-2007,147.6,151.0,142.0,143.25,143.5,217.75,58.95,278652,40596167.0,,145.69,EQ
07-12-2007,144.55,149.7,142.05,144.3,144.45,217.75,58.95,163965,23667565.25,,144.35,EQ
10-12-2007,145.75,145.9,142.0,142.6,143.4,217.75,58.95,61220,8755442.75,,143.02,EQ
11-12-2007,143.5,146.0,141.0,141.65,141.3,217.75,58.95,157507,22668502.35,,143.92,EQ
12-12-2007,144.4,144.4,132.65,141.75,142.1,217.75,58.95,88429,12500872.95,,141.37,EQ
13-12-2007,142.1,143.5,136.0,139.1,139.0,217.75,58.95,70285,9852412.8,,140.18,EQ
14-12-2007,136.0,142.0,135.0,137.65,137.0,217.75,58.95,95115,13261606.3,,139.43,EQ
17-12-2007,138.0,139.95,127.05,129.85,129.9,217.75,58.95,227438,30800643.65,,135.42,EQ
18-12-2007,128.5,129.85,123.0,127.9,129.3,217.75,58.95,74730,9502917.65,,127.16,EQ
19-12-2007,128.15,135.0,127.0,128.2,127.0,217.75,58.95,81337,10635072.8,,130.75,EQ
20-12-2007,129.0,132.0,125.05,128.1,127.15,217.75,58.95,40933,5255944.15,,128.4,EQ
24-12-2007,128.1,132.0,127.0,128.55,127.95,217.75,58.95,48571,6296069.6,,129.63,EQ
26-12-2007,129.7,154.3,129.0,153.55,154.3,217.75,58.95,1149457,169792627.4,,147.72,EQ
27-12-2007,154.5,159.0,147.0,148.45,148.6,217.75,58.95,553750,83890879.9,,151.5,EQ
28-12-2007,150.0,154.8,143.0,148.75,148.2,217.75,58.95,340520,51239424.55,,150.47,EQ
31-12-2007,151.8,165.9,146.65,151.4,151.9,217.75,58.95,271638,41372621.75,,152.31,EQ
01-01-2008,152.0,154.0,149.1,150.35,151.0,217.75,58.95,125527,19039572.45,,151.68,EQ
02-01-2008,149.9,154.0,146.7,147.35,147.6,217.75,58.95,143227,21332945.6,,148.95,EQ
03-01-2008,148.95,167.1,144.0,162.85,161.5,217.75,58.95,1164797,185515695.4,,159.27,EQ
04-01-2008,168.0,168.9,153.35,156.1,156.5,217.75,58.95,699444,114316887.7,,163.44,EQ
07-01-2008,156.0,166.0,150.7,158.95,158.6,217.75,58.95,544648,87282487.2,,160.25,EQ
08-01-2008,164.7,164.7,150.1,152.9,153.15,217.75,58.95,269761,42217260.2,,156.5,EQ
09-01-2008,152.5,156.0,148.2,149.55,149.0,217.75,58.95,189717,28797805.55,,151.79,EQ
10-01-2008,150.0,153.5,136.0,139.6,140.0,217.75,58.95,127215,18584326.35,,146.09,EQ
11-01-2008,142.0,142.0,132.95,135.5,137.3,217.75,58.95,136032,18485218.0,,135.89,EQ
14-01-2008,135.45,141.4,133.3,138.75,138.0,217.75,58.95,99372,13681778.5,,137.68,EQ
15-01-2008,140.9,146.5,138.0,139.25,138.8,217.75,58.95,152147,21588805.7,,141.89,EQ
16-01-2008,139.35,140.0,130.25,133.0,133.75,217.75,58.95,78920,10574911.05,,134.0,EQ
17-01-2008,136.85,138.05,133.0,134.8,134.0,217.75,58.95,59617,8102446.85,,135.91,EQ
18-01-2008,131.6,135.0,126.5,129.5,126.5,217.75,58.95,60869,8032868.05,,131.97,EQ
21-01-2008,120.0,125.0,103.6,103.6,103.75,217.75,58.95,105074,11802770.1,,112.33,EQ
22-01-2008,82.9,97.0,82.9,83.1,82.9,217.75,58.95,36237,3042370.55,,83.96,EQ
23-01-2008,91.0,91.45,87.05,91.45,91.45,217.75,58.95,53246,4766482.55,,89.52,EQ
24-01-2008,95.0,100.6,86.0,89.4,87.0,217.75,58.95,61850,5867207.1,,94.86,EQ
25-01-2008,93.0,97.7,91.1,95.85,94.05,217.75,58.95,48557,4563779.6,,93.99,EQ
28-01-2008,90.55,96.8,90.55,94.2,94.0,217.75,58.95,40831,3870066.2,,94.78,EQ
29-01-2008,99.8,103.5,97.4,100.1,99.0,217.75,58.95,65167,6536344.4,,100.3,EQ
30-01-2008,101.0,102.0,95.0,96.5,95.0,217.75,58.95,51569,5101662.2,,98.93,EQ
31-01-2008,97.1,98.85,91.5,94.0,95.0,217.75,58.95,33599,3179920.6,,94.64,EQ
01-02-2008,94.0,96.5,92.0,93.9,92.5,217.75,58.95,28279,2678648.6,,94.72,EQ
04-02-2008,94.0,101.0,94.0,98.5,99.0,217.75,58.95,66805,6569247.15,,98.33,EQ
05-02-2008,95.25,103.9,95.1,101.6,101.5,217.75,58.95,85633,8656697.65,,101.09,EQ
06-02-2008,93.0,101.0,93.0,99.4,99.4,217.75,58.95,39562,3920916.75,,99.11,EQ
07-02-2008,99.4,104.5,96.0,97.9,100.0,217.75,58.95,65773,6684581.4,,101.63,EQ
08-02-2008,98.9,98.9,92.55,94.2,94.3,217.75,58.95,32693,3110550.6,,95.14,EQ
11-02-2008,95.0,95.0,85.0,85.9,86.65,217.75,58.95,30565,2706101.0,,88.54,EQ
12-02-2008,88.15,91.0,78.0,79.45,78.95,217.75,58.95,26950,2180315.2,,80.9,EQ
13-02-2008,84.8,87.4,77.5,79.4,79.75,217.75,58.95,33385,2672021.5,,80.04,EQ
14-02-2008,83.0,87.0,82.0,83.25,83.8,217.75,58.95,30723,2558895.5,,83.29,EQ
15-02-2008,83.0,85.95,75.65,85.2,85.0,217.75,58.95,53565,4499286.5,,84.0,EQ
18-02-2008,85.5,93.5,85.5,91.9,91.85,217.75,58.95,60018,5458720.65,,90.95,EQ
19-02-2008,92.25,97.95,90.0,92.1,92.0,217.75,58.95,51763,4882362.45,,94.32,EQ
20-02-2008,91.0,92.0,87.05,88.1,88.9,217.75,58.95,28591,2549689.95,,89.18,EQ
21-02-2008,90.9,91.8,87.5,89.0,87.5,217.75,58.95,30068,2696361.1,,89.68,EQ
22-02-2008,87.15,89.0,86.65,87.6,87.5,217.75,58.95,13979,1222776.0,,87.47,EQ
25-02-2008,90.0,90.5,85.0,86.45,85.65,217.75,58.95,23465,2034803.55,,86.72,EQ
26-02-2008,88.0,89.0,86.0,86.55,86.25,217.75,58.95,27229,2380058.3,,87.41,EQ
27-02-2008,87.0,95.25,87.0,91.85,92.25,217.75,58.95,160533,15013310.2,,93.52,EQ
28-02-2008,92.5,94.9,91.0,91.5,91.0,217.75,58.95,36918,3411441.4,,92.41,EQ
29-02-2008,92.6,96.0,88.55,90.55,89.55,217.75,58.95,71769,6679577.8,,93.07,EQ
03-03-2008,90.5,90.55,82.65,83.35,83.0,217.75,58.95,30111,2567299.4,,85.26,EQ
04-03-2008,84.1,86.0,76.3,78.25,78.05,217.75,58.95,49454,3937114.05,,79.61,EQ
05-03-2008,78.0,81.0,70.45,74.15,73.8,217.75,58.95,33814,2541711.05,,75.17,EQ
07-03-2008,70.0,74.15,67.1,68.65,68.3,217.75,58.95,30313,2088441.45,,68.9,EQ
