DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
11-03-2011,39.3,90.1,39.3,83.55,85.0,90.1,39.3,58455,4442928.9,,76.01,BE
14-03-2011,79.4,79.4,79.4,79.4,79.4,90.1,39.3,4738,376197.2,,79.4,BE
15-03-2011,75.45,75.45,75.45,75.45,75.45,90.1,39.3,232,17504.4,,75.45,BE
16-03-2011,71.7,74.95,71.7,71.7,71.7,90.1,39.3,12599,904007.45,,71.75,BE
17-03-2011,68.15,71.0,68.15,68.15,68.15,90.1,39.3,15340,1045632.75,,68.16,BE
18-03-2011,65.15,67.9,64.75,65.0,64.75,90.1,39.3,9397,609446.45,,64.86,BE
21-03-2011,61.75,66.5,61.75,63.35,66.5,90.1,39.3,1796,112748.85,,62.78,BE
22-03-2011,63.1,66.55,63.1,66.55,66.55,90.1,39.3,1512,98495.4,,65.14,BE
23-03-2011,69.9,69.9,66.65,69.0,69.0,90.1,39.3,15624,1089626.5,,69.74,BE
24-03-2011,66.25,69.8,66.25,69.8,69.8,90.1,39.3,9056,616513.15,,68.08,BE
25-03-2011,72.25,72.25,68.0,70.8,70.0,90.1,39.3,1350,95530.95,,70.76,EQ
28-03-2011,70.0,70.0,65.5,67.8,67.3,90.1,39.3,1958,132899.35,,67.88,EQ
29-03-2011,62.2,70.0,62.2,66.2,66.2,90.1,39.3,226,15169.15,,67.12,EQ
30-03-2011,64.25,69.0,64.25,67.1,67.1,90.1,39.3,1627,109864.15,,67.53,EQ
31-03-2011,70.0,70.0,66.1,70.0,70.0,90.1,39.3,1393,95307.15,,68.42,EQ
01-04-2011,70.0,74.9,64.1,71.45,72.0,90.1,39.3,9083,613183.25,,67.51,EQ
04-04-2011,68.0,75.85,68.0,74.9,75.85,90.1,39.3,2037,151503.85,,74.38,EQ
05-04-2011,71.8,74.9,71.8,72.95,71.8,90.1,39.3,1637,118813.95,,72.58,EQ
06-04-2011,76.7,76.7,70.3,73.1,73.25,90.1,39.3,4023,288710.55,,71.76,EQ
07-04-2011,72.1,73.0,72.1,72.95,73.0,90.1,39.3,746,54263.35,,72.74,EQ
08-04-2011,73.0,76.4,70.25,75.3,75.2,90.1,39.3,3180,236875.65,,74.49,EQ
11-04-2011,73.6,76.8,73.6,74.1,74.1,90.1,39.3,876,65400.1,,74.66,EQ
13-04-2011,71.0,77.0,71.0,73.1,73.1,90.1,39.3,865,63203.05,,73.07,EQ
15-04-2011,75.0,75.1,66.25,71.1,71.1,90.1,39.3,3483,256249.0,,73.57,EQ
18-04-2011,74.0,77.5,71.1,74.95,74.95,90.1,39.3,662,49557.95,,74.86,EQ
19-04-2011,60.1,75.95,60.1,72.6,72.0,90.1,39.3,2101,154979.7,,73.76,EQ
20-04-2011,60.0,75.0,60.0,73.05,74.0,90.1,39.3,2495,181555.9,,72.77,EQ
21-04-2011,68.2,73.0,68.2,71.4,71.4,90.1,39.3,2268,162176.55,,71.51,EQ
25-04-2011,68.0,77.7,68.0,77.35,77.1,90.1,39.3,1269,97618.1,,76.93,EQ
26-04-2011,74.0,76.0,74.0,76.0,76.0,90.1,39.3,224,16844.15,,75.2,EQ
27-04-2011,78.0,78.0,72.4,74.0,75.95,90.1,39.3,12644,928756.6,,73.45,EQ
28-04-2011,73.5,76.45,73.5,75.55,76.45,90.1,39.3,2877,215577.4,,74.93,EQ
29-04-2011,75.0,79.8,72.0,74.6,75.0,90.1,39.3,920,68089.5,,74.01,EQ
02-05-2011,74.9,80.0,74.9,79.3,80.0,90.1,39.3,1197,92339.55,,77.14,EQ
03-05-2011,76.0,82.0,74.35,80.9,82.0,90.1,39.3,2182,171684.55,,78.68,EQ
04-05-2011,77.0,81.5,75.25,75.65,75.35,90.1,39.3,317,24202.6,,76.35,EQ
05-05-2011,71.65,75.0,71.65,73.4,75.0,90.1,39.3,185,13470.9,,72.82,EQ
06-05-2011,75.0,76.0,72.75,75.0,75.0,90.1,39.3,1569,117354.25,,74.8,EQ
09-05-2011,78.0,79.9,72.5,76.15,78.2,90.1,39.3,1572,120489.15,,76.65,EQ
10-05-2011,70.5,79.9,70.5,79.35,79.85,90.1,39.3,400,31123.0,,77.81,EQ
11-05-2011,75.25,79.7,75.2,76.45,76.45,90.1,39.3,535,41175.65,,76.96,EQ
12-05-2011,76.0,80.85,73.05,78.2,78.2,90.1,39.3,1723,136679.6,,79.33,EQ
13-05-2011,79.8,79.85,76.35,78.5,78.5,90.1,39.3,777,61397.65,,79.02,EQ
16-05-2011,75.25,81.8,75.25,79.85,79.0,90.1,39.3,268,21382.65,,79.79,EQ
17-05-2011,79.95,82.8,77.35,82.5,82.8,90.1,39.3,1209,97490.75,,80.64,EQ
18-05-2011,74.65,81.0,74.65,80.95,81.0,90.1,39.3,51,4034.75,,79.11,EQ
19-05-2011,77.45,81.45,77.45,79.85,78.65,90.1,39.3,1504,118781.45,,78.98,EQ
20-05-2011,75.05,80.0,75.05,77.55,77.55,90.1,39.3,194,15336.2,,79.05,EQ
23-05-2011,74.0,82.0,74.0,79.0,79.0,90.1,39.3,312,24160.65,,77.44,EQ
24-05-2011,73.75,80.65,73.75,77.95,78.0,90.1,39.3,763,61047.8,,80.01,EQ
25-05-2011,76.05,84.0,76.05,82.35,84.0,90.1,39.3,863,69399.45,,80.42,EQ
26-05-2011,79.2,83.0,79.2,83.0,83.0,90.1,39.3,143,11696.35,,81.79,EQ
27-05-2011,80.0,82.0,80.0,80.45,80.5,90.1,39.3,164,13222.3,,80.62,EQ
30-05-2011,76.15,81.0,76.1,80.75,81.0,90.1,39.3,301,23727.25,,78.83,EQ
31-05-2011,89.0,89.0,78.75,82.0,82.0,90.1,39.3,329,26659.25,,81.03,EQ
01-06-2011,81.25,84.0,81.25,83.4,83.1,90.1,39.3,1408,116816.0,28.0,82.97,EQ
02-06-2011,84.95,100.1,83.6,100.1,100.1,100.1,39.3,11404,1109398.9,122.0,97.28,EQ
03-06-2011,108.9,120.15,105.2,120.15,120.15,120.15,39.3,53567,6122984.75,1286.0,114.31,EQ
06-06-2011,128.0,131.9,111.3,119.45,116.5,131.9,39.3,109753,13481855.8,1838.0,122.84,EQ
07-06-2011,118.0,124.0,110.2,120.6,120.5,131.9,39.3,17068,2013913.2,376.0,117.99,EQ
08-06-2011,117.0,118.95,111.0,113.15,111.65,131.9,39.3,8100,926110.2,183.0,114.33,EQ
09-06-2011,109.3,124.5,109.3,124.5,124.5,131.9,39.3,16178,1956229.1,230.0,120.92,EQ
10-06-2011,120.2,136.95,118.2,136.95,136.95,136.95,39.3,27724,3725670.7,289.0,134.38,EQ
13-06-2011,143.8,150.65,133.1,150.65,150.65,150.65,39.3,51843,7630858.55,649.0,147.19,EQ
14-06-2011,157.7,158.15,145.5,150.6,149.0,158.15,39.3,32046,4916019.9,718.0,153.41,EQ
15-06-2011,150.05,153.0,143.1,143.1,143.1,158.15,39.3,8715,1281919.0,172.0,147.09,EQ
16-06-2011,143.5,147.5,135.95,141.85,137.15,158.15,39.3,5656,776590.25,105.0,137.3,EQ
17-06-2011,135.0,144.9,134.8,134.8,134.8,158.15,39.3,1420,193376.25,39.0,136.18,BE
20-06-2011,134.9,134.9,128.1,128.1,128.1,158.15,39.3,505,68090.5,6.0,134.83,BE
21-06-2011,124.0,134.5,121.7,128.9,133.9,158.15,39.3,2128,272080.8,35.0,127.86,BE
22-06-2011,122.45,123.0,122.45,122.45,122.45,158.15,39.3,1422,174126.65,42.0,122.45,BE
