DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
29-01-1998,47.05,47.05,42.35,42.35,,0.0,0.0,106600,4612690.0,,43.27,EQ
30-01-1998,39.1,42.5,39.1,41.45,,47.05,42.35,941600,38525085.0,,40.91,EQ
02-02-1998,41.1,42.0,40.15,40.35,,47.05,39.1,399500,16393750.0,,41.04,EQ
03-02-1998,40.5,40.5,37.3,37.9,,47.05,39.1,482800,18674770.0,,38.68,EQ
04-02-1998,39.05,39.75,38.2,38.3,,47.05,37.3,270500,10546780.0,,38.99,EQ
05-02-1998,38.55,38.8,37.8,38.0,,47.05,37.3,114300,4368135.0,,38.22,EQ
06-02-1998,38.1,38.2,36.6,36.8,,47.05,37.3,218700,8104390.0,,37.06,EQ
09-02-1998,37.45,37.45,34.3,34.55,,47.05,36.6,271100,9498735.0,,35.04,EQ
10-02-1998,35.0,37.5,33.0,33.15,,47.05,34.3,371800,12527310.0,,33.69,EQ
11-02-1998,33.7,33.9,33.0,33.7,,47.05,33.0,191000,6401070.0,,33.51,EQ
12-02-1998,33.9,35.75,33.85,34.55,,47.05,33.0,305300,10629650.0,,34.82,EQ
13-02-1998,35.0,35.45,34.05,35.0,,47.05,33.0,250400,8688805.0,,34.7,EQ
17-02-1998,35.4,35.4,33.5,33.9,,47.05,33.0,301000,10307375.0,,34.24,EQ
18-02-1998,34.5,35.25,34.3,34.9,,47.05,33.0,137700,4789700.0,,34.78,EQ
19-02-1998,34.9,35.05,34.75,34.95,,47.05,33.0,60400,2110910.0,,34.95,EQ
20-02-1998,35.0,35.1,34.3,34.6,,47.05,33.0,93600,3242970.0,,34.65,EQ
23-02-1998,34.7,34.9,34.5,34.7,,47.05,33.0,72100,2497905.0,,34.65,EQ
24-02-1998,34.55,34.85,34.05,34.3,,47.05,33.0,166000,5714055.0,,34.42,EQ
25-02-1998,34.5,35.25,31.05,34.85,,47.05,33.0,289000,9689850.0,,33.53,EQ
26-02-1998,35.15,35.2,34.6,34.75,,47.05,31.05,84500,2941140.0,,34.81,EQ
