DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
09-04-2015,400.0,448.85,400.0,438.4,440.55,448.85,400.0,37276199,15653835907.55,449942,419.94,EQ
10-04-2015,441.9,452.0,433.5,439.6,438.75,452.0,400.0,4920286,2179293238.3,71569,442.92,EQ
13-04-2015,437.5,442.75,423.6,430.25,429.5,452.0,400.0,1636434,707840057.15,41176,432.55,EQ
15-04-2015,430.25,464.4,422.5,439.15,441.6,464.4,400.0,4703486,2103474337.05,68325,447.22,EQ
16-04-2015,441.95,487.0,441.9,479.5,477.35,487.0,400.0,5612060,2614723379.1,73382,465.91,EQ
17-04-2015,475.4,494.4,466.3,473.9,474.9,494.4,400.0,3528516,1705995935.1,58626,483.49,EQ
20-04-2015,474.8,477.6,446.65,450.7,452.6,494.4,400.0,1418441,657160327.25,23469,463.3,EQ
21-04-2015,453.4,459.0,436.6,440.8,440.8,494.4,400.0,1155631,516381119.95,19596,446.84,EQ
22-04-2015,443.3,449.5,418.35,441.85,444.2,494.4,400.0,1177867,516115636.1,20962,438.18,EQ
23-04-2015,445.0,455.8,434.1,436.35,437.3,494.4,400.0,823774,366699978.05,15532,445.15,EQ
24-04-2015,438.35,439.5,415.0,420.4,420.0,494.4,400.0,752809,318879053.6,12776,423.59,EQ
27-04-2015,423.3,431.5,402.6,417.55,418.0,494.4,400.0,1214104,506094978.85,27196,416.85,EQ
28-04-2015,417.95,434.9,412.8,429.65,428.0,494.4,400.0,668062,284635670.6,12140,426.06,EQ
29-04-2015,429.0,429.15,413.0,417.45,417.15,494.4,400.0,1125210,469760788.15,15964,417.49,EQ
30-04-2015,416.3,428.8,416.15,426.35,425.25,494.4,400.0,525000,222370655.8,10550,423.56,EQ
04-05-2015,426.7,436.65,423.0,432.7,431.05,494.4,400.0,323518,139627044.95,6615,431.59,EQ
05-05-2015,428.15,432.0,419.35,423.15,422.3,494.4,400.0,212921,90631481.55,3678,425.66,EQ
06-05-2015,422.55,422.55,400.1,404.95,407.0,494.4,400.0,387624,158881652.7,7684,409.89,EQ
07-05-2015,402.0,414.3,401.0,406.15,404.0,494.4,400.0,367788,149696839.05,6249,407.02,EQ
08-05-2015,410.0,425.0,410.0,417.75,416.8,494.4,400.0,357288,149742356.1,8066,419.11,EQ
11-05-2015,418.0,442.4,418.0,434.6,437.0,494.4,400.0,522455,225732265.6,11610,432.06,EQ
12-05-2015,436.0,437.25,421.0,423.55,423.25,494.4,400.0,319958,136165121.35,6929,425.57,EQ
14-05-2015,449.0,458.9,442.85,449.9,449.0,494.4,400.0,633351,286611356.7,15628,452.53,EQ
15-05-2015,450.8,471.7,450.35,467.1,471.0,494.4,400.0,1116014,516565765.45,16772,462.87,EQ
18-05-2015,482.4,482.5,445.1,448.7,446.4,494.4,400.0,1931454,885840862.95,29124,458.64,EQ
19-05-2015,446.7,458.7,444.7,456.4,456.4,494.4,400.0,493880,224234462.55,10183,454.03,EQ
20-05-2015,456.0,461.25,434.0,438.2,437.5,494.4,400.0,523768,232207801.35,9144,443.34,EQ
