DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
23-03-2017,182.0,182.0,170.85,170.85,170.85,182.0,170.85,87665,15161401.55,614,172.95,EQ
24-03-2017,171.0,174.0,164.3,167.8,166.5,182.0,164.3,48946,8272509.7,345,169.01,EQ
27-03-2017,168.0,168.7,160.8,163.75,163.5,182.0,160.8,29004,4804390.35,488,165.65,EQ
28-03-2017,161.3,165.0,155.6,156.15,155.6,182.0,155.6,75252,11979321.65,769,159.19,EQ
29-03-2017,159.9,163.05,152.0,154.6,153.9,182.0,152.0,112407,17504194.45,1197,155.72,EQ
30-03-2017,152.7,159.5,152.7,157.8,159.3,182.0,152.0,70279,11032022.45,477,156.97,EQ
31-03-2017,155.35,159.0,154.7,155.3,155.8,182.0,152.0,69438,10898932.55,492,156.96,EQ
03-04-2017,152.5,163.05,152.35,156.0,156.0,182.0,152.0,166354,26520203.75,1164,159.42,EQ
05-04-2017,152.6,155.9,148.55,149.55,149.0,182.0,148.55,149467,22804725.25,1111,152.57,EQ
06-04-2017,150.0,150.0,142.25,146.15,146.0,182.0,142.25,98287,14234652.7,811,144.83,EQ
07-04-2017,145.0,153.45,142.5,150.9,151.0,182.0,142.25,281158,42675516.25,1444,151.78,EQ
10-04-2017,153.9,153.9,147.6,149.8,152.0,182.0,142.25,76334,11489571.2,732,150.52,EQ
11-04-2017,154.0,157.0,147.5,153.95,153.4,182.0,142.25,61815,9506723.3,760,153.79,EQ
12-04-2017,153.4,155.95,151.0,152.0,153.85,182.0,142.25,30697,4677118.25,444,152.36,EQ
13-04-2017,151.55,153.1,146.45,147.1,147.1,182.0,142.25,45872,6861348.8,543,149.58,EQ
17-04-2017,152.6,152.6,145.0,149.9,150.0,182.0,142.25,42274,6273764.1,480,148.41,EQ
18-04-2017,149.9,154.75,146.5,147.3,146.5,182.0,142.25,33341,4990984.45,376,149.7,EQ
19-04-2017,148.3,149.5,140.0,142.25,141.0,182.0,140.0,44121,6364902.45,366,144.26,EQ
20-04-2017,143.0,145.25,136.05,136.6,137.5,182.0,136.05,93193,13019658.8,765,139.71,EQ
21-04-2017,134.9,137.0,128.0,133.05,135.0,182.0,128.0,202495,26695601.8,2389,131.83,EQ
24-04-2017,134.95,145.0,133.0,139.55,138.25,182.0,128.0,97551,13767443.8,1125,141.13,EQ
25-04-2017,139.6,145.9,139.6,141.2,141.05,182.0,128.0,59795,8504242.55,749,142.22,EQ
26-04-2017,141.75,144.0,135.75,136.6,136.5,182.0,128.0,33105,4616859.75,555,139.46,EQ
27-04-2017,136.3,136.3,130.55,131.7,130.7,182.0,128.0,51239,6832564.3,482,133.35,EQ
28-04-2017,135.45,137.75,130.0,130.7,130.25,182.0,128.0,26513,3509384.1,389,132.36,EQ
02-05-2017,130.5,143.75,118.0,141.2,143.0,182.0,118.0,272286,35115812.05,2849,128.97,EQ
03-05-2017,140.5,145.0,135.0,139.45,139.0,182.0,118.0,116896,16396597.1,1157,140.27,EQ
04-05-2017,141.0,141.9,135.0,136.9,136.6,182.0,118.0,29872,4142913.8,534,138.69,EQ
05-05-2017,132.3,138.7,127.4,130.1,129.8,182.0,118.0,83154,10831359.75,958,130.26,EQ
08-05-2017,127.4,136.5,125.45,132.3,131.25,182.0,118.0,26289,3511016.35,324,133.55,EQ
09-05-2017,134.95,135.0,128.0,129.2,129.5,182.0,118.0,24820,3252529.4,544,131.04,EQ
10-05-2017,129.6,136.5,129.5,135.1,136.0,182.0,118.0,91485,12247514.35,594,133.87,EQ
11-05-2017,136.3,136.5,132.1,132.9,134.0,182.0,118.0,22636,3049128.8,430,134.7,EQ
12-05-2017,132.55,133.45,131.25,132.65,132.0,182.0,118.0,18286,2417635.3,198,132.21,EQ
15-05-2017,136.0,139.0,130.0,132.1,131.8,182.0,118.0,29946,3988353.7,389,133.18,EQ
16-05-2017,131.85,134.7,130.4,130.85,131.4,182.0,118.0,37656,4992500.9,572,132.58,EQ
17-05-2017,131.0,133.4,130.0,130.65,131.25,182.0,118.0,25498,3340695.35,297,131.02,EQ
