DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
22-02-2022,1888.0,1914.0,1845.0,1869.55,1862.0,1914.0,1845.0,6412,11952187.3,1544,1864.03,EQ
23-02-2022,1862.15,1923.8,1850.0,1853.5,1850.0,1923.8,1845.0,5683,10629890.35,839,1870.47,EQ
24-02-2022,1800.0,1844.0,1485.6,1721.15,1718.2,1923.8,1485.6,16278,28262615.95,2621,1736.25,EQ
25-02-2022,1879.0,1900.1,1755.75,1837.7,1821.8,1923.8,1485.6,13948,25359628.6,2338,1818.16,EQ
28-02-2022,1840.65,1873.5,1795.7,1831.6,1812.0,1923.8,1485.6,17830,32629183.25,4422,1830.02,EQ
02-03-2022,1825.0,1837.95,1760.8,1788.1,1773.15,1923.8,1485.6,12463,22326764.45,3827,1791.44,EQ
03-03-2022,1789.9,1842.35,1765.05,1810.45,1801.0,1923.8,1485.6,7402,13343237.75,1972,1802.65,EQ
04-03-2022,1780.0,1850.75,1762.85,1821.4,1838.0,1923.8,1485.6,8901,16164698.6,2464,1816.05,EQ
07-03-2022,1819.75,1819.75,1721.25,1743.9,1735.0,1923.8,1485.6,9499,16738172.2,2563,1762.1,EQ
08-03-2022,1811.0,1811.0,1740.0,1752.6,1745.15,1923.8,1485.6,13542,23813119.1,2318,1758.46,EQ
09-03-2022,1752.5,1812.15,1739.45,1767.65,1776.0,1923.8,1485.6,8256,14600369.0,2074,1768.46,EQ
10-03-2022,1824.0,1874.0,1796.8,1832.1,1824.15,1923.8,1485.6,9259,16842607.4,2339,1819.05,EQ
11-03-2022,1815.0,1868.05,1722.2,1802.5,1799.95,1923.8,1485.6,18943,33890875.35,4638,1789.1,EQ
14-03-2022,1829.55,1829.55,1710.1,1736.15,1725.0,1923.8,1485.6,11880,20882614.2,3464,1757.8,EQ
15-03-2022,1758.85,1758.85,1695.0,1704.75,1704.3,1923.8,1485.6,19073,32834457.8,4201,1721.52,EQ
16-03-2022,1729.9,1737.35,1703.45,1708.0,1706.2,1923.8,1485.6,7942,13635811.25,2096,1716.92,EQ
