DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
01-01-1996,189.0,189.0,186.0,186.0,,,,300,56200.0,,187.33,EQ
02-01-1996,185.0,185.0,182.0,182.0,,,,200,36700.0,,183.5,EQ
03-01-1996,185.0,185.0,183.0,183.5,,,,600,110335.0,,183.89,EQ
04-01-1996,183.5,183.0,180.0,183.0,,,,600,109230.0,,182.05,EQ
05-01-1996,180.0,180.0,180.0,180.0,,,,300,54000.0,,180.0,EQ
08-01-1996,175.0,175.0,170.0,170.05,,,,600,103230.0,,172.05,EQ
09-01-1996,170.0,170.0,166.25,167.25,,,,1400,235600.0,,168.29,EQ
10-01-1996,167.25,168.95,165.0,165.35,,,,600,99855.0,,166.43,EQ
11-01-1996,162.0,173.0,162.0,170.95,,,,800,132785.0,,165.98,EQ
12-01-1996,167.0,169.9,167.0,168.5,,,,500,84415.0,,168.83,EQ
15-01-1996,174.75,175.0,174.0,174.0,,,,500,87175.0,,174.35,EQ
16-01-1996,172.0,172.0,170.0,170.05,,,,500,85600.0,,171.2,EQ
17-01-1996,172.0,172.0,172.0,172.0,,,,100,17200.0,,172.0,EQ
18-01-1996,162.0,170.0,162.0,170.0,,,,900,151450.0,,168.28,EQ
19-01-1996,160.0,165.0,160.0,162.0,,,,900,146200.0,,162.44,EQ
22-01-1996,160.0,160.0,155.0,160.0,,,,1400,221125.0,,157.95,EQ
23-01-1996,155.0,162.0,154.0,155.7,,,,2800,441675.0,,157.74,EQ
24-01-1996,156.5,156.5,153.25,153.9,,,,1900,292485.0,,153.94,EQ
25-01-1996,151.0,155.0,151.0,152.0,,,,500,76425.0,,152.85,EQ
29-01-1996,148.0,152.0,147.5,150.85,,,,1600,239675.0,,149.8,EQ
30-01-1996,147.05,153.0,147.05,152.75,,,,700,105800.0,,151.14,EQ
31-01-1996,149.05,155.0,149.05,153.1,,,,300,45715.0,,152.38,EQ
01-02-1996,158.75,158.75,158.0,158.0,,,,200,31675.0,,158.38,EQ
02-02-1996,158.0,173.0,165.1,170.25,,,,800,135530.0,,169.41,EQ
05-02-1996,170.25,187.0,177.0,180.0,,,,1000,180770.0,,180.77,EQ
06-02-1996,180.0,188.75,180.0,181.0,,,,900,165330.0,,183.7,EQ
07-02-1996,170.0,173.0,169.0,170.0,,,,900,153950.0,,171.06,EQ
08-02-1996,173.0,178.0,172.0,177.5,,,,700,122800.0,,175.43,EQ
09-02-1996,185.0,189.0,179.0,187.6,,,,1800,335025.0,,186.13,EQ
12-02-1996,187.6,190.0,187.0,188.25,,,,2000,378180.0,,189.09,EQ
13-02-1996,187.0,200.0,181.5,190.8,,,,1200,225140.0,,187.62,EQ
14-02-1996,190.8,196.95,190.05,196.0,,,,1100,213145.0,,193.77,EQ
15-02-1996,196.0,199.0,192.0,198.0,,,,1300,255950.0,,196.88,EQ
16-02-1996,198.0,194.95,183.0,183.0,,,,800,150890.0,,188.61,EQ
19-02-1996,183.0,185.0,182.0,185.0,,,,800,146900.0,,183.63,EQ
20-02-1996,185.0,186.5,184.0,184.7,,,,1700,314580.0,,185.05,EQ
22-02-1996,181.0,183.0,181.0,182.0,,,,300,54600.0,,182.0,EQ
23-02-1996,182.0,186.0,183.2,183.2,,,,1000,183950.0,,183.95,EQ
26-02-1996,184.5,184.95,184.5,184.95,,,,200,36945.0,,184.73,EQ
27-02-1996,184.95,183.0,166.0,179.05,,,,900,159360.0,,177.07,EQ
