DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
25-02-2008,194.9,200.0,168.0,189.65,190.0,200.0,168.0,22521617,4159459579.6,,184.69,EQ
26-02-2008,196.55,196.55,182.55,184.9,186.5,200.0,168.0,5365516,1017120303.1,,189.57,EQ
27-02-2008,189.75,210.7,185.3,203.8,201.55,210.7,168.0,14738869,2958388746.65,,200.72,EQ
28-02-2008,203.0,214.0,200.7,205.25,204.0,214.0,168.0,7811243,1621812644.7,,207.63,EQ
29-02-2008,200.0,206.5,192.0,193.55,192.3,214.0,168.0,2006405,398145000.65,,198.44,EQ
03-03-2008,191.0,203.8,184.2,193.65,197.0,214.0,168.0,3412517,675168596.05,,197.85,EQ
04-03-2008,195.05,203.9,189.0,196.85,198.8,214.0,168.0,2293406,452232536.25,,197.19,EQ
05-03-2008,197.0,201.25,195.15,196.45,195.7,214.0,168.0,1106293,219118649.1,,198.07,EQ
07-03-2008,195.0,203.9,182.0,198.7,198.15,214.0,168.0,1849094,358445484.45,,193.85,EQ
10-03-2008,196.9,198.9,185.25,191.75,190.1,214.0,168.0,1267839,244550431.25,,192.89,EQ
11-03-2008,190.0,198.7,189.0,194.6,194.5,214.0,168.0,1159618,225948449.8,,194.85,EQ
12-03-2008,196.0,199.95,192.05,192.6,192.1,214.0,168.0,612383,119356239.5,,194.9,EQ
13-03-2008,189.6,196.8,185.15,185.8,185.55,214.0,168.0,525153,99768979.15,,189.98,EQ
14-03-2008,190.0,192.0,183.5,184.85,184.8,214.0,168.0,368654,68766452.55,,186.53,EQ
17-03-2008,178.0,185.5,175.2,181.05,184.0,214.0,168.0,230166,41583597.2,,180.67,EQ
18-03-2008,184.5,184.5,176.0,177.95,179.0,214.0,168.0,120132,21584665.85,,179.67,EQ
19-03-2008,182.15,186.0,180.0,183.75,184.2,214.0,168.0,253222,46236028.5,,182.59,EQ
24-03-2008,180.1,182.0,160.5,165.7,160.5,214.0,160.5,301849,50480977.65,,167.24,EQ
25-03-2008,168.0,177.5,165.5,172.4,174.7,214.0,160.5,379831,65042262.3,,171.24,EQ
26-03-2008,176.4,179.5,164.0,172.7,172.15,214.0,160.5,225317,39531425.45,,175.45,EQ
27-03-2008,171.2,183.45,168.05,179.4,182.0,214.0,160.5,1032760,181162745.85,,175.42,EQ
