DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
04-04-2018,435.0,463.0,435.0,445.1,441.5,463.0,435.0,7417211,3341162000.2,123741,450.46,EQ
05-04-2018,448.0,455.9,440.0,445.4,444.9,463.0,435.0,1111241,496094447.35,31860,446.43,EQ
06-04-2018,445.0,448.0,440.1,441.3,441.25,463.0,435.0,420849,186072360.05,9290,442.14,EQ
09-04-2018,441.0,443.0,435.0,436.15,435.0,463.0,435.0,311792,136517460.85,10172,437.85,EQ
10-04-2018,436.0,437.75,426.0,427.65,426.05,463.0,426.0,410484,177500192.9,13410,432.42,EQ
11-04-2018,427.4,427.65,418.0,419.1,419.5,463.0,418.0,302726,127324802.5,8853,420.59,EQ
12-04-2018,419.0,419.5,408.0,408.4,408.0,463.0,408.0,288649,118883275.05,8868,411.86,EQ
13-04-2018,405.1,427.0,403.1,423.55,422.3,463.0,403.1,820973,341238320.45,19067,415.65,EQ
16-04-2018,431.1,436.8,425.2,430.0,429.8,463.0,403.1,1002001,431573446.65,23268,430.71,EQ
17-04-2018,431.0,436.45,426.1,432.45,431.5,463.0,403.1,386663,166865133.1,9698,431.55,EQ
18-04-2018,433.0,436.0,427.25,429.65,431.0,463.0,403.1,279199,120489495.15,5599,431.55,EQ
19-04-2018,429.9,431.15,421.5,424.1,422.0,463.0,403.1,833605,357442021.5,2957,428.79,EQ
20-04-2018,422.1,429.9,421.05,426.2,426.0,463.0,403.1,110817,47237597.35,5223,426.27,EQ
23-04-2018,426.0,426.2,422.45,424.0,424.0,463.0,403.1,71568,30350216.45,2143,424.08,EQ
24-04-2018,422.5,424.95,418.15,420.0,419.9,463.0,403.1,69316,29236604.75,2516,421.79,EQ
25-04-2018,420.0,427.3,420.0,425.0,425.15,463.0,403.1,145531,61796278.9,6528,424.63,EQ
26-04-2018,427.7,428.0,422.05,425.35,426.0,463.0,403.1,99233,42238697.85,5587,425.65,EQ
27-04-2018,426.4,426.4,421.6,422.75,422.85,463.0,403.1,85625,36297126.3,3660,423.91,EQ
30-04-2018,422.0,424.9,417.0,419.2,423.0,463.0,403.1,162191,68257925.7,5709,420.85,EQ
02-05-2018,419.5,421.0,397.0,398.35,399.0,463.0,397.0,444449,179270071.05,21554,403.35,EQ
03-05-2018,402.0,402.0,371.5,374.75,373.5,463.0,371.5,431143,164489194.35,14813,381.52,EQ
04-05-2018,383.0,383.0,368.0,369.7,368.05,463.0,368.0,1095078,408688906.3,22623,373.21,EQ
07-05-2018,376.5,376.75,363.5,366.65,364.05,463.0,363.5,530008,195029003.55,27795,367.97,EQ
08-05-2018,365.0,369.9,363.0,363.85,363.6,463.0,363.0,302167,110221027.3,18605,364.77,EQ
09-05-2018,365.0,367.95,359.15,360.8,362.5,463.0,359.15,866640,313526001.7,13499,361.77,EQ
10-05-2018,361.9,365.0,360.5,361.7,361.7,463.0,359.15,384294,139019496.9,7855,361.75,EQ
11-05-2018,365.0,366.7,361.5,363.1,363.0,463.0,359.15,133361,48388018.35,10008,362.83,EQ
14-05-2018,363.0,366.75,361.6,363.05,363.0,463.0,359.15,91827,33341417.9,4249,363.09,EQ
15-05-2018,363.0,364.85,359.25,362.3,360.6,463.0,359.15,373663,135334994.0,9160,362.18,EQ
16-05-2018,360.0,361.0,352.0,360.05,360.0,463.0,352.0,225695,80880455.85,15483,358.36,EQ
17-05-2018,359.25,415.8,359.0,399.5,401.0,463.0,352.0,669303,257526024.95,20825,384.77,EQ
18-05-2018,400.0,407.9,376.05,380.0,381.0,463.0,352.0,936656,357644128.0,7967,381.83,EQ
21-05-2018,373.95,380.0,365.0,369.9,370.0,463.0,352.0,150689,55730936.25,5159,369.84,EQ
22-05-2018,371.0,379.0,368.0,372.9,374.0,463.0,352.0,83130,30958942.55,6224,372.42,EQ
23-05-2018,375.05,381.0,368.0,375.95,376.0,463.0,352.0,134563,50572306.5,8563,375.83,EQ
24-05-2018,373.1,378.75,373.1,376.05,375.0,463.0,352.0,71771,27004210.45,3185,376.26,EQ
25-05-2018,375.05,384.95,375.05,380.2,380.0,463.0,352.0,70018,26504742.0,3148,378.54,EQ
28-05-2018,382.0,390.0,380.3,385.75,386.0,463.0,352.0,61042,23540079.1,3842,385.64,EQ
29-05-2018,385.0,387.95,385.0,386.0,385.95,463.0,352.0,38543,14886141.35,3619,386.22,EQ
30-05-2018,385.0,385.15,376.55,380.35,378.2,463.0,352.0,42129,16076360.75,1579,381.6,EQ
